,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4381,3306,2643,3285,5044,6544,6433,8034,5333,-,-,-,-,-,-,-
1,Market Cap Growth,-49.47%,-49.47%,-58.91%,-59.11%,-5.42%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3299,2172,1450,2147,3905,5304,4996,6561,3860,-,-,-,-,-,-,-
3,Last Close Price,49.60,37.43,29.78,35.09,53.87,69.89,68.71,84.78,56.28,-,-,-,-,-,-,-
4,PE Ratio,55.42,41.31,34.06,33.28,-,40.56,37.71,51.02,36.53,-,-,-,-,-,-,-
5,Forward PE,30.62,25.25,11.85,13.66,22.50,29.52,32.17,42.13,30.12,-,-,-,-,-,-,-
6,PS Ratio,4.04,3.01,2.40,2.98,4.62,6.23,6.51,8.84,6.40,-,-,-,-,-,-,-
7,PB Ratio,2.21,1.65,1.34,1.61,2.41,3.14,3.15,3.81,2.57,-,-,-,-,-,-,-
8,P/TBV Ratio,1.66,1.66,1.34,1.61,2.41,3.14,3.15,3.81,2.57,-,-,-,-,-,-,-
9,P/FCF Ratio,77.66,-,119.03,-74.49,-42.58,-,-,-,-624.45,-,-,-,-,-,-,-
10,P/OCF Ratio,19.91,19.91,34.09,268.47,-87.89,-,-,-,178.53,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.00,1.98,1.32,1.95,3.58,5.05,5.06,7.22,4.63,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,27.20,21.40,18.31,22.69,-,34.20,30.07,41.86,25.89,-,-,-,-,-,-,-
13,EV/EBIT Ratio,35.77,23.56,20.50,24.85,-,35.71,31.21,43.30,26.74,-,-,-,-,-,-,-
14,EV/FCF Ratio,58.47,-,65.30,-48.67,-32.97,-,-,-,-451.94,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.06,0.04,0.04,0.05,-,0.05
16,Debt / EBITDA Ratio,0.74,0.35,0.68,0.67,-,0.34,0.31,0.21,0.25,0.17,0.26,0.18,0.22,0.25,-,0.14
17,Debt / FCF Ratio,1.58,-,4.00,-2.01,-0.48,-,-,-,-4.78,-,-0.84,-,-,-,-,-
18,Asset Turnover,0.48,0.46,0.44,0.48,0.47,0.45,0.42,0.42,0.55,-,-,0.84,-,-,-,
19,Inventory Turnover,0.95,0.82,1.03,0.94,1.10,1.01,1.14,1.04,1.18,0.97,-,-,0.94,-,-,-
20,Quick Ratio,4.49,4.49,4.95,5.18,5.54,5.26,5.34,5.98,6.84,7.83,1.43,-,1.31,1.80,-,-
21,Current Ratio,6.84,6.84,7.35,7.55,8.22,7.90,7.65,8.07,9.01,10.11,3.51,-,3.28,3.85,-,-
22,Return on Equity (ROE),6.45%,5.13%,5.04%,-0.81%,5.64%,8.99%,7.06%,9.36%,11.50%,20.59%,16.17%,20.14%,-,-,-,
23,Return on Assets (ROA),6.65%,2.31%,3.21%,-2.31%,4.23%,3.88%,4.57%,2.91%,8.10%,-,-,6.88%,-,-,-,
24,Return on Capital (ROIC),7.48%,2.58%,3.60%,-2.61%,4.79%,4.40%,5.13%,3.22%,9.39%,10.45%,13.92%,9.20%,-,-,-,
25,Return on Capital Employed (ROCE),4.53%,4.53%,3.50%,4.14%,-,6.96%,7.63%,7.08%,6.84%,6.89%,16.20%,-,17.38%,14.56%,-,-
26,Earnings Yield,1.83%,2.42%,2.94%,3.00%,2.17%,2.47%,2.65%,1.96%,2.74%,-,-,-,-,-,-,-
27,FCF Yield,1.29%,1.71%,0.84%,-1.34%,-2.35%,-2.15%,-1.01%,0.43%,-0.16%,-,-,-,-,-,-,-
28,Dividend Yield,1.78%,-,-,-,1.67%,-,-,-,1.95%,-,-,-,-,-,-,-
29,Payout Ratio,99.45%,0.56%,308.22%,-,-,-,213.29%,0.10%,0.08%,0.12%,-,-,0.09%,0.13%,0.30%,0.30%
30,Buyback Yield / Dilution,-21.34%,1.22%,3.57%,0.17%,-298.29%,0.26%,18.91%,-31.55%,67.31%,-34.34%,-65.61%,-4.09%,-,-,-,-
31,Total Shareholder Return,-19.57%,1.22%,3.57%,0.17%,-296.62%,0.26%,18.91%,-31.55%,69.26%,-34.34%,-65.61%,-4.09%,-,-,-,-
