,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,889.36,957.63,1282,1274,1195,1295,1471,1506,1509,182.71,-,193.46,206.65,-,-
1,Trading Asset Securities,282.49,264.9,-,0.12,-,-,3.56,3.97,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1172,1223,1282,1274,1195,1295,1475,1510,1509,182.71,193.46,193.46,206.65,-,134.63
3,Cash Growth,-1.93%,-5.57%,-13.06%,-15.61%,-20.80%,608.57%,662.17%,680.49%,630.14%,-,43.70%,-,-,-,-
4,Accounts Receivable,234.76,231.94,245.29,237.35,258.28,225.19,219.63,177.37,157.99,160.26,-,124.68,118.41,-,-
5,Other Receivables,12.58,10.14,10.02,10.66,11.76,12.43,17.42,16.79,17.63,12.17,-,9.89,11.34,-,-
6,Receivables,247.35,242.07,255.31,248.01,270.03,237.62,237.05,194.16,175.62,172.43,-,134.57,129.75,-,-
7,Inventory,709.92,686.13,670.41,699.43,695.58,631.89,574.84,521.86,471.79,500.66,-,476.55,365.08,-,-
8,Prepaid Expenses,-,2.08,-,3.63,-,-,-,2.47,-,-,-,0.04,0.54,-,-
9,Other Current Assets,31.58,24.21,32.05,35.89,42.21,31.78,23.61,16.19,19.31,17.2,-,13.1,16.66,-,-
10,Total Current Assets,2161,2177,2240,2261,2203,2196,2310,2245,2176,873,-,817.71,718.69,-,-
11,"Property, Plant & Equipment",147.25,88.15,89.51,97.32,104.47,101.53,77.54,75.45,61.64,59.82,-,60.04,60.06,-,-
12,Long-Term Investments,-,-,-,-,43.25,41.63,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,4.09,4.22,0.53,0.6,0.89,1.28,1.32,0.21,0.46,0.33,-,0.44,0.5,-,-
14,Long-Term Deferred Tax Assets,13.67,15.25,18.84,18.36,6.43,6.05,4.11,3.88,4.7,4.65,-,2.97,3.15,-,-
15,Long-Term Deferred Charges,26.47,29.52,33.06,37.58,39.57,33.63,29.29,16.81,18.27,19.86,-,22.13,22.83,-,-
16,Other Long-Term Assets,-,-,0.23,-,16.89,6.3,3.16,18.25,0.16,1.17,-,2.84,3.16,-,-
17,Total Assets,2352,2314,2382,2415,2414,2386,2425,2359,2261,958.82,-,906.13,808.38,-,-
18,Accounts Payable,179.51,181.24,171.47,179.57,193.87,199.3,206.85,167.37,109.09,183.46,-,206.07,143.54,-,-
19,Accrued Expenses,17.75,26.66,21.12,36.26,13.84,26.87,14.63,30.1,15.74,13.39,-,18.57,25.81,-,-
20,Short-Term Debt,58.39,37.65,39.75,0.23,5.44,0.36,9.67,9.61,10.46,9.66,-,0.07,3.08,-,-
21,Current Portion of Leases,-,16.1,17.05,15.88,-,-,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,18.36,3.65,23.1,6.49,11.96,6.63,12.78,6.22,33.28,24.72,-,8.39,2.63,-,-
23,Current Unearned Revenue,24.9,23.65,19.82,29.07,41.23,30.03,25.82,20.52,16.35,13.82,-,14.68,10.58,-,-
24,Other Current Liabilities,17.09,7.06,4.21,7.47,12.33,23.99,16.48,15.25,30.24,3.46,-,1.78,1.27,-,-
25,Total Current Liabilities,316.01,296.01,296.52,274.97,278.66,287.18,286.23,249.07,215.15,248.52,-,249.56,186.91,-,-
26,Long-Term Leases,31.01,35.1,32.04,41.19,51.65,54.92,28.54,31.21,25.12,28,-,27.71,24.25,-,-
27,Long-Term Deferred Tax Liabilities,7.17,7.87,8.12,8.06,1.6,1.78,2.67,2.77,-,-,-,-,-,-,-
28,Other Long-Term Liabilities,-,-,-,1.27,-,-,-,-,-,-,-,-,-0,-,-
29,Total Liabilities,354.19,338.98,336.68,325.49,331.92,343.88,317.44,283.05,240.27,276.51,-,277.27,211.17,-,-
30,Common Stock,90.88,90.88,90.88,90.88,90.88,90.88,64.92,64.92,64.92,48.69,-,48.69,48.69,-,-
31,Additional Paid-In Capital,1755,1754,1754,1754,1752,1752,1778,1776,1776,483.24,-,483.24,483.24,-,-
32,Retained Earnings,256.06,224.04,278.16,252.08,255.91,226.32,279.41,242.48,194.53,155.68,-,96.51,65.64,-,-
33,Treasury Stock,-99.99,-87.42,-70.43,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-3.59,-6.59,-7.3,-6.96,-15.86,-26.42,-14.1,-7.25,-14.96,-5.29,-,0.43,-0.34,-,-
35,Total Common Equity,1998,1975,2045,2090,2083,2043,2108,2076,2020,682.31,628.86,628.86,597.22,-,364.26
36,Minority Interest,-,-,-,-,-0.75,-0.23,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,1998,1975,2045,2090,2082,2042,2108,2076,2020,682.31,628.86,628.86,597.22,-,364.26
38,Total Liabilities & Equity,2352,2314,2382,2415,2414,2386,2425,2359,2261,958.82,-,906.13,808.38,-,-
39,Total Debt,89.4,88.85,88.84,57.3,57.09,55.28,38.21,40.82,35.58,37.66,27.78,27.78,27.34,-,17.06
40,Net Cash (Debt),1082,1134,1193,1217,1138,1239,1436,1469,1473,145.05,165.68,165.68,179.31,-,117.57
41,Net Cash Growth,-4.87%,-8.53%,-16.93%,-17.17%,-22.77%,754.43%,766.90%,786.71%,721.60%,-,40.92%,-,-,-,-
42,Net Cash Per Share,12.18,12.76,13.27,13.51,12.65,13.45,15.95,64.97,16.33,1.28,2.42,2.40,2.67,-,1.79
43,Filing Date Shares Outstanding,88.86,88.33,88.75,90.88,90.88,90.88,90.88,90.88,90.88,68.16,68.47,68.16,68.16,68.6,65.78
44,Total Common Shares Outstanding,88.86,88.75,88.75,90.88,90.88,90.88,90.88,90.88,90.88,68.16,68.47,68.16,68.16,68.6,65.78
