,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,279.18,269.53,262.67,286.82,282.42,270.14,252.46,245.28,219.85,191.6,177.07,179.44,158.48,143.76,134.07
1,Other Revenue,-0.01,0.01,-,0.03,-0.03,0.03,-,0.03,-,-,-,0.17,-0.17,-,0.08
2,Revenue,279.17,269.54,262.67,286.85,282.38,270.17,252.46,245.31,219.85,191.6,177.07,179.6,158.31,143.76,134.15
3,Revenue Growth (YoY),-1.14%,-0.23%,4.05%,16.94%,28.44%,41.00%,42.58%,36.58%,38.87%,33.28%,31.99%,-,-,-,-
4,Cost of Revenue,142.93,173.86,160.52,192.23,167.38,171.34,142.43,146.76,117.57,114.64,92.32,99.41,82.07,69.9,67.21
5,Gross Profit,136.24,95.68,102.15,94.62,115,98.83,110.02,98.55,102.28,76.97,84.75,80.2,76.25,73.86,66.94
6,"Selling, General & Admin",59.2,60.04,56.09,90.24,58.25,54.47,47.16,51.41,37.91,40.8,37.14,45.77,37.96,32.49,30.72
7,Research & Development,17.74,12.36,15.42,18.57,16.28,8.7,16.16,10.75,15.68,7.3,9.73,6.56,10.19,8.19,7.67
8,Other Operating Expenses,-5.44,0.98,-0.52,8.44,-1.44,-2.16,0.16,8.65,-3.94,-0.59,-0.16,3.74,0.84,-2.95,-1.08
9,Operating Expenses,74.15,74.02,71.32,116.97,74.41,61.52,66.28,71.66,50.15,48.2,48.18,56.62,50.08,38.43,38.02
10,Operating Income,62.08,21.66,30.83,-22.35,40.59,37.31,43.74,26.89,52.13,28.76,36.56,23.58,26.16,35.43,28.92
11,Interest Expense,-0.83,-2.55,-0.86,-0.94,-0.58,-0.59,-0.43,-0.39,-0.52,-0.99,-0.26,-0.29,-0.19,-0.22,-0.22
12,Interest & Investment Income,5.31,6.59,7.76,7.6,8.63,8.1,7.4,7.49,0.49,0.41,0.48,1.02,1.15,1.23,0.87
13,Currency Exchange Gain (Loss),-2.91,2.91,-,5.93,-16.08,16.08,-,12.55,-8.17,8.17,-,-6.67,-,-,-
14,Other Non Operating Income (Expenses),-5.93,-3.87,1.3,-12.84,12.27,2.7,-4.63,-19.04,18.12,0.82,-2.13,2.28,1.83,-4.52,-2.59
15,EBT Excluding Unusual Items,57.72,24.76,39.03,-22.59,44.84,63.6,46.09,27.49,62.05,37.17,34.65,19.91,28.95,31.92,26.97
16,Gain (Loss) on Sale of Investments,1.59,0.9,-1.22,1.49,-1.79,-11.81,-0.52,4.76,-3.4,-1.83,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.22,0.18,0.43,0.32,0.03,0.08,-,-,-,-,-,7.92,-,-,-
18,Asset Writedown,-21.22,6.93,-6.93,8.59,-8.6,2.3,-2.3,8.18,-8.18,4.51,-4.51,7.49,-2.84,-5.91,-2.35
19,Other Unusual Items,-0.18,0.18,-,6.25,-,-,-,10.88,-,-,-,3.87,-,-,-
20,Pretax Income,38.14,32.94,31.31,-5.93,34.49,54.17,43.27,51.32,50.46,39.86,30.13,39.2,26.11,26,24.62
21,Income Tax Expense,6.12,7.18,5.24,-1.73,5.42,7.52,6.34,3.37,11.62,6.11,4.7,8.33,2.63,3.95,3.01
22,Earnings From Continuing Operations,32.01,25.76,26.07,-4.2,29.06,46.65,36.93,47.95,38.84,33.75,25.43,30.87,23.48,22.05,21.61
23,Minority Interest in Earnings,-,-,-,0.37,0.52,0.23,-,-,-,-,-,-,-,-,-
24,Net Income,32.01,25.76,26.07,-3.83,29.59,46.88,36.93,47.95,38.84,33.75,25.43,30.87,23.48,22.05,21.61
25,Net Income to Common,32.01,25.76,26.07,-3.83,29.59,46.88,36.93,47.95,38.84,33.75,25.43,30.87,23.48,22.05,21.61
26,Net Income Growth,8.20%,-45.04%,-29.39%,-,-23.83%,38.92%,45.22%,55.32%,65.44%,53.06%,17.67%,-,-,-,-
27,Shares Outstanding (Basic),89,89,90,90,90,92,90,23,90,114,68,69,67,69,66
28,Shares Outstanding (Diluted),89,89,90,90,90,92,90,23,90,114,68,69,67,69,66
29,Shares Change (YoY),-1.22%,-3.57%,-0.17%,298.29%,-0.26%,-18.91%,31.55%,-67.31%,34.34%,65.61%,4.09%,-,-,-,-
30,EPS (Basic),0.36,0.29,0.29,-0.04,0.33,0.51,0.41,2.12,0.43,0.30,0.37,0.45,0.35,0.32,0.33
31,EPS (Diluted),0.36,0.29,0.29,-0.04,0.33,0.51,0.41,2.12,0.43,0.30,0.37,0.45,0.35,0.32,0.33
32,EPS Growth,9.54%,-43.01%,-29.27%,-,-23.63%,71.32%,10.39%,375.06%,23.15%,-7.58%,13.04%,-,-,-,-
33,Free Cash Flow,-57.23,37.92,45.86,29.87,-91.45,-28.39,-28.5,7.43,-15.79,71.65,-71.84,-22.39,-22.31,-24.69,-24.69
34,Free Cash Flow Per Share,-0.64,0.43,0.51,0.33,-1.02,-0.31,-0.32,0.33,-0.18,0.63,-1.05,-0.32,-0.33,-0.36,-0.38
35,Dividend Per Share,-,-,-,0.900,-,-,-,1.100,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-18.18%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,48.80%,35.50%,38.89%,32.99%,40.72%,36.58%,43.58%,40.17%,46.52%,40.17%,47.86%,44.65%,48.16%,51.38%,49.90%
38,Operating Margin,22.24%,8.04%,11.74%,-7.79%,14.38%,13.81%,17.33%,10.96%,23.71%,15.01%,20.65%,13.13%,16.53%,24.65%,21.56%
39,Profit Margin,11.47%,9.56%,9.93%,-1.33%,10.48%,17.35%,14.63%,19.55%,17.67%,17.61%,14.36%,17.19%,14.83%,15.34%,16.11%
40,Free Cash Flow Margin,-20.50%,14.07%,17.46%,10.41%,-32.38%,-10.51%,-11.29%,3.03%,-7.18%,37.40%,-40.57%,-12.46%,-14.09%,-17.18%,-18.41%
41,EBITDA,64.37,24.09,33.12,-20.06,42.05,39.5,45.2,28.34,53.11,30.11,37.55,24.48,27.09,36.05,29.54
42,EBITDA Margin,23.06%,8.94%,12.61%,-6.99%,14.89%,14.62%,17.90%,11.55%,24.16%,15.71%,21.20%,13.63%,17.11%,25.08%,22.02%
43,D&A For EBITDA,2.29,2.43,2.29,2.29,1.45,2.19,1.45,1.45,0.98,1.35,0.98,0.9,0.93,0.62,0.62
44,EBIT,62.08,21.66,30.83,-22.35,40.59,37.31,43.74,26.89,52.13,28.76,36.56,23.58,26.16,35.43,28.92
45,EBIT Margin,22.24%,8.04%,11.74%,-7.79%,14.38%,13.81%,17.33%,10.96%,23.71%,15.01%,20.65%,13.13%,16.53%,24.65%,21.56%
46,Effective Tax Rate,16.05%,21.79%,16.72%,-,15.73%,13.88%,14.66%,6.56%,23.02%,15.33%,15.61%,21.25%,10.07%,15.21%,12.24%
47,Revenue as Reported,279.17,269.54,262.67,286.85,282.38,270.17,252.46,245.31,219.85,191.6,177.07,179.6,426.61,-,-
