,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,628,778,815,595,713,946,1268,3366,3966,4748,4938
1,Market Cap Growth,30.58%,30.58%,14.29%,-37.09%,-43.77%,-71.88%,-68.03%,-29.12%,-19.67%,-,-
2,Enterprise Value,912,847,862,437,110,23,123,2066,2820,3677,5750
3,Last Close Price,4.18,5.13,5.10,3.73,4.47,5.93,7.63,20.26,23.46,28.60,30.36
4,PE Ratio,11.43,13.69,18.02,19.56,-86.36,-,10.16,13.69,18.29,-8.70,-
5,Forward PE,6.86,9.11,12.24,2.99,2.99,4.08,8.08,11.10,14.73,20.87,-
6,PS Ratio,0.12,0.15,0.17,0.14,0.17,0.19,0.22,0.74,1.18,1.80,1.93
7,PB Ratio,0.45,0.48,0.49,0.37,0.44,0.65,0.81,2.26,2.70,3.63,4.14
8,P/TBV Ratio,0.80,0.80,0.84,0.64,0.76,0.71,0.89,2.28,2.71,3.64,4.14
9,P/FCF Ratio,-,-,-4.84,-,5.87,-,-,-,22.46,32.85,31.90
10,P/OCF Ratio,-,-,-4.87,-,5.30,-,-,-,21.46,30.13,29.33
11,EV/Sales Ratio,0.17,0.16,0.18,0.10,0.03,0.00,0.02,0.46,0.84,1.39,2.25
12,EV/EBITDA Ratio,5.63,6.00,6.07,3.87,1.55,0.47,0.83,8.65,14.84,32.00,43.03
13,EV/EBIT Ratio,9.08,8.22,8.44,5.59,2.83,-,0.93,8.93,15.36,33.35,44.35
14,EV/FCF Ratio,-5.95,-,-5.12,-,0.90,-,-,-,15.97,25.44,37.16
15,Debt / Equity Ratio,0.23,0.23,0.14,0.11,0.10,0.05,0.06,0.07,0.05,0.05,0.07
16,Debt / FCF Ratio,-,-,-1.33,-,1.28,-,-,-,0.39,0.48,0.53
17,Return on Capital Employed (ROCE),6.25%,6.25%,6.09%,4.81%,2.30%,-,8.03%,14.84%,12.11%,8.12%,10.33%
18,Earnings Yield,9.04%,7.30%,5.55%,5.11%,-1.16%,0.17%,9.84%,7.31%,5.47%,-11.50%,-17.67%
19,FCF Yield,-24.37%,-19.69%,-20.66%,-9.19%,17.03%,-9.20%,-11.96%,1.97%,4.45%,3.04%,3.13%
20,Buyback Yield / Dilution,-0.38%,1.21%,-2.01%,-2.19%,6.49%,8.74%,3.28%,2.99%,-150.34%,-198.24%,-16.63%
21,Total Shareholder Return,1.77%,1.21%,-2.01%,-2.19%,6.49%,8.74%,3.28%,2.99%,-150.34%,-198.24%,-16.63%
