,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,255.21,284.88,234.54,354.44,480.66,638.37,999.87,967.23,959.68,1029
1,Short-Term Investments,15.64,19,28.2,12.56,3.89,107.72,42.1,187.38,69.31,1.83
2,Trading Asset Securities,33.91,57.56,72.98,114.74,117.12,112.18,-,-,79.51,-
3,Cash & Short-Term Investments,304.76,361.44,335.71,481.74,601.67,858.27,1042,1155,1109,1031
4,Cash Growth,-9.22%,-24.97%,-44.20%,-43.87%,-42.26%,-25.67%,-6.00%,11.96%,1761.93%,2332.50%
5,Accounts Receivable,1534,1302,1147,955.94,521.19,760.96,575.39,477.9,354.78,341.45
6,Other Receivables,33.33,50.38,22.25,4.32,0.59,3.82,5.39,0.18,1.16,0.63
7,Receivables,1567,1352,1169,960.26,521.77,764.78,580.78,478.08,355.94,342.08
8,Restricted Cash,0.62,0.36,3.42,6.86,3.28,0.24,0.25,1.82,-,-
9,Other Current Assets,40.54,39.7,50.69,47.36,41.32,29.35,19.8,10.32,5.84,4.79
10,Total Current Assets,1913,1754,1559,1496,1168,1653,1643,1645,1470,1378
11,"Property, Plant & Equipment",37.91,31.87,48.64,65.12,87.18,113.21,115.15,73.94,76.15,84.5
12,Long-Term Investments,69.14,71.06,63.97,65.44,71.88,41.52,20.01,19.68,-,-
13,Goodwill,307.86,307.86,307.86,307.86,42.3,58.67,-,-,-,-
14,Other Intangible Assets,80.79,92.89,101.19,112.13,28.52,32.64,5.73,3.14,0.66,0.77
15,Long-Term Deferred Tax Assets,23.11,17.12,20.68,16.22,23.71,12.24,16.8,12.68,15.24,14.94
16,Other Long-Term Assets,20.07,15.28,17.19,10.61,206.4,17.2,31.9,15.67,9.57,6.01
17,Total Assets,2464,2291,2153,2128,1697,1993,1832,1770,1572,1484
18,Accounts Payable,16.02,20.86,17.23,38.12,24.53,22.73,20.54,20.26,16.33,13.5
19,Accrued Expenses,504.89,496.97,421.81,433.34,290.6,525.07,366.41,382.58,245.08,262.53
20,Short-Term Debt,323.99,184.47,136.17,95.16,-,5.02,-,-,-,-
21,Current Portion of Leases,13.51,14.4,21.63,23.44,26.32,27.11,27.64,17.78,16.74,19.05
22,Current Income Taxes Payable,15.91,11.93,8.62,10.5,7.06,17.73,16.26,23.24,7.77,4.67
23,Current Unearned Revenue,18.97,16.37,21.48,14.03,9.18,14.61,19.25,18.85,22.02,22.02
24,Other Current Liabilities,36.96,23.22,22.45,26.52,58.55,45.37,85.44,30.37,26.02,40.85
25,Total Current Liabilities,930.24,768.22,649.39,641.12,416.24,657.64,535.54,493.07,333.97,362.61
26,Long-Term Leases,11.57,4.58,9.56,19.11,36.48,50.76,60.24,40.79,46.88,54.38
27,Long-Term Deferred Tax Liabilities,12.33,14.04,16.07,18.06,6.09,6.79,-,-,-,-
28,Total Liabilities,954.15,786.83,675.02,678.29,458.81,715.19,595.79,533.86,380.85,416.99
29,Common Stock,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
30,Additional Paid-In Capital,2155,2168,2168,2168,2167,2199,2198,2252,2242,2171
31,Retained Earnings,-732.45,-754.3,-785.29,-795.35,-813.47,-788.05,-814.83,-889.71,-1019,-1072
32,Comprehensive Income & Other,-131.8,-129.82,-117.05,-126.45,-139.09,-156.28,-148.14,-128.66,-31.95,-30.91
33,Total Common Equity,1291,1284,1266,1246,1215,1255,1235,1234,1191,1067
34,Minority Interest,219.54,220.76,212.3,203.5,23.71,22.9,1.67,1.9,-,-
35,Shareholders' Equity,1510,1505,1478,1450,1238,1278,1237,1236,1191,1067
36,Total Liabilities & Equity,2464,2291,2153,2128,1697,1993,1832,1770,1572,1484
37,Total Debt,349.07,203.45,167.36,137.72,62.8,82.89,87.89,58.56,63.63,73.43
38,Net Cash (Debt),-44.31,158,168.36,344.02,538.87,775.39,954.08,1096,1045,957.85
39,Net Cash Growth,-,-54.07%,-68.76%,-55.63%,-43.52%,-29.26%,-8.69%,14.43%,-,-
40,Net Cash Per Share,-0.29,1.01,1.08,2.25,3.52,4.74,5.69,6.48,6.04,14.17
41,Filing Date Shares Outstanding,150.26,151.57,153.04,156.7,156.7,156.54,156.54,156.47,153.67,150.54
42,Total Common Shares Outstanding,150.26,151.57,153.04,156.7,156.7,156.54,156.54,156.47,153.67,150.54
43,Working Capital,983.05,985.56,909.47,855.1,751.81,994.99,1107,1152,1136,1016
44,Book Value Per Share,8.59,8.47,8.27,7.95,7.75,8.02,7.89,7.89,7.75,7.09
45,Tangible Book Value,902.11,883.02,856.5,826.11,1144,1164,1229,1231,1190,1067
46,Tangible Book Value Per Share,6.00,5.83,5.60,5.27,7.30,7.43,7.85,7.87,7.75,7.09
47,Machinery,30.41,31.79,35.4,35.75,30.62,32.44,23.35,14.93,15.04,14.83
48,Leasehold Improvements,24.95,24.64,26.01,30.65,29.31,26.09,21.42,16.21,11.69,11.07
