,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,2482,2404,2068,1904,1734,2611,2128,1634,1196,1210
1,Revenue Growth (YoY),20.02%,26.23%,19.29%,-27.06%,-18.53%,59.73%,78.02%,35.05%,10.97%,26.48%
2,Cost of Revenue,2238,2135,1891,1776,1657,2497,1959,1453,1089,1078
3,Gross Profit,244.62,268.67,177.77,128.79,76.7,114.04,169.16,181.07,107.01,132.02
4,"Selling, General & Admin",170.58,173.59,163.24,84.68,82.08,78.63,87.2,75.18,52.42,76.57
5,Research & Development,31.51,31.95,26.22,19.35,13.25,10.9,7.24,8.01,5.93,6.25
6,Other Operating Expenses,5.81,-2.84,-43.85,-14.5,-12.68,-9.75,-2.98,-9.99,-1.03,-8.57
7,Operating Expenses,212.66,204.8,148.93,85.3,85.99,87.31,88.69,69.12,64.34,74.19
8,Operating Income,31.96,63.86,28.84,43.48,-9.29,26.73,80.47,111.96,42.67,57.83
9,Interest Expense,-5.91,-4.89,-4.7,-2.08,-3.03,-2.55,-2.32,-1.84,-1.11,-2.61
10,Interest & Investment Income,3.5,2.96,3.5,6.73,2.64,3.64,6.37,7.15,8.81,1.49
11,Earnings From Equity Investments,-0.96,-1.44,-0.82,0.6,2.07,1.57,0.32,-0.02,-,-
12,Currency Exchange Gain (Loss),-0.23,1.26,-3.45,3.76,0.13,4.7,0.7,20.84,9.91,2.17
13,Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-600.35
14,EBT Excluding Unusual Items,28.37,61.76,23.37,52.49,-7.48,34.08,85.54,138.08,60.27,-541.46
15,Impairment of Goodwill,-,-,-,-,-16.37,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-1.42,-6.92,-3.8,-7.88,-11.8,-2.98,1.47,9.97,-,0.46
17,Gain (Loss) on Sale of Assets,-0.07,-0.35,-0.05,-3.2,-1.36,-0.1,0.01,0.05,-0.06,-0.06
18,Other Unusual Items,-,0.02,0.55,0.07,8.42,2.32,0.09,0.01,0.07,0.03
19,Pretax Income,26.87,54.51,20.07,41.48,-28.59,33.32,87.11,148.11,60.29,-541.04
20,Income Tax Expense,6.48,5.57,1.22,10.01,-3.98,5.63,12.45,18.21,7.27,9.59
21,Earnings From Continuing Operations,20.39,48.94,18.85,31.47,-24.62,27.69,74.65,129.9,53.02,-550.63
22,Minority Interest in Earnings,1.46,-17.95,-8.79,-13.35,-0.81,-0.91,0.23,-0.3,-,-
23,Net Income,21.85,30.99,10.06,18.12,-25.43,26.78,74.88,129.6,53.02,-550.63
24,Net Income to Common,21.85,30.99,10.06,18.12,-25.43,26.78,74.88,129.6,53.02,-550.63
25,Net Income Growth,117.27%,70.99%,-,-32.34%,-,-79.33%,41.24%,-,-,-
26,Shares Outstanding (Basic),151,153,153,153,153,153,153,152,154,68
27,Shares Outstanding (Diluted),154,156,156,153,153,164,168,169,173,68
28,Shares Change (YoY),-1.21%,2.01%,2.19%,-6.49%,-8.74%,-3.28%,-2.99%,150.34%,198.24%,16.63%
29,EPS (Basic),0.14,0.20,0.07,0.12,-0.17,0.18,0.49,0.85,0.35,-8.15
30,EPS (Diluted),0.14,0.20,0.06,0.12,-0.17,0.16,0.45,0.76,0.31,-8.15
31,EPS Growth,133.33%,69.00%,-,-24.31%,-,-79.55%,45.16%,-,-,-
32,Free Cash Flow,-176.24,33.76,-186.58,135.93,-28.52,-45.79,-77.73,132.95,15.79,115.95
33,Free Cash Flow Per Share,-1.14,0.22,-1.19,0.89,-0.19,-0.28,-0.46,0.79,0.09,1.72
34,Operating Margin,1.29%,2.66%,1.39%,2.28%,-0.54%,1.02%,3.78%,6.85%,3.57%,4.78%
35,Profit Margin,0.88%,1.29%,0.49%,0.95%,-1.47%,1.03%,3.52%,7.93%,4.43%,-45.50%
36,Free Cash Flow Margin,-7.10%,1.40%,-9.02%,7.14%,-1.64%,-1.75%,-3.65%,8.13%,1.32%,9.58%
37,EBITDA,49.62,81.61,47.26,57.2,5.46,36.14,83.97,114.65,45.37,59.35
38,D&A For EBITDA,17.66,17.74,18.42,13.71,14.75,9.41,3.5,2.7,2.7,1.52
39,EBIT,31.96,63.86,28.84,43.48,-9.29,26.73,80.47,111.96,42.67,57.83
