,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,392.09,490.39,602.11,505.8,-
1,Trading Asset Securities,249.26,246.69,306.61,-,-
2,Cash & Short-Term Investments,641.36,737.08,908.72,505.8,-
3,Cash Growth,-29.42%,45.72%,-,-,-
4,Receivables,259.25,320.1,256.93,215.46,-
5,Inventory,1.52,1.6,4.15,3.93,-
6,Other Current Assets,32.22,37.51,54.44,54.42,-
7,Total Current Assets,934.35,1096,1224,779.6,-
8,"Property, Plant & Equipment",2101,1984,1923,1952,-
9,Other Intangible Assets,0.04,0.24,0.44,0.65,-
10,Long-Term Accounts Receivable,190.13,190.13,184.66,220.44,-
11,Long-Term Deferred Tax Assets,38.67,41.25,33.93,39.18,-
12,Other Long-Term Assets,-,-,44.22,45.5,-
13,Total Assets,3264,3312,3411,3038,-
14,Accounts Payable,49.21,61.58,41.21,103.71,-
15,Accrued Expenses,32.42,67.99,28.63,77.38,-
16,Short-Term Debt,-,-,-,1.84,-
17,Current Portion of Long-Term Debt,814.64,852.05,1059,1084,-
18,Current Portion of Leases,219.64,178.37,186.07,185.93,-
19,Current Income Taxes Payable,3.84,3.84,3.84,3.84,-
20,Current Unearned Revenue,18.27,12.34,12.78,12.39,-
21,Other Current Liabilities,89.38,76.94,263.18,70.79,-
22,Total Current Liabilities,1227,1253,1594,1540,-
23,Long-Term Debt,548.32,667.77,424.9,3305,-
24,Long-Term Leases,224.94,159.02,149.19,103.36,-
25,Long-Term Deferred Tax Liabilities,2.06,-,-,-,-
26,Total Liabilities,2003,2080,2168,4948,-
27,Common Stock,0.2,0.2,0.2,0.04,-
28,Additional Paid-In Capital,4052,4036,4029,3.53,-
29,Retained Earnings,-2891,-2908,-2889,-2007,-
30,Treasury Stock,-3.49,-,-,-,-
31,Comprehensive Income & Other,103.53,103.28,101.81,93.01,-
32,Shareholders' Equity,1262,1232,1242,-1910,-
33,Total Liabilities & Equity,3264,3312,3411,3038,-
34,Total Debt,1808,1857,1819,4680,-
35,Net Cash (Debt),-1166,-1120,-910.01,-4174,-
36,Net Cash Per Share,-2.01,-1.94,-4.20,-35.40,-
37,Filing Date Shares Outstanding,578.52,575.92,574.26,134.88,117.92
38,Total Common Shares Outstanding,578.52,575.92,574.26,134.88,117.92
39,Working Capital,-293.05,-156.81,-370.04,-760.03,-
40,Book Value Per Share,2.18,2.14,2.16,-14.16,-
41,Tangible Book Value,1261,1232,1242,-1911,-
42,Tangible Book Value Per Share,2.18,2.14,2.16,-14.17,-
