,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,646.89,634.78,635.96,716.42,655.47
1,Revenue Growth (YoY),1.72%,-11.40%,-2.98%,-,-
2,Cost of Revenue,369.92,365.2,353.19,423.3,322.05
3,Gross Profit,276.97,269.58,282.77,293.12,333.43
4,"Selling, General & Admin",151.56,161.01,131.7,146.22,124.59
5,Research & Development,32.99,42.22,39.55,47.28,36.74
6,Operating Expenses,198.81,228.23,184.82,212.39,193.5
7,Operating Income,78.17,41.35,97.95,80.72,139.92
8,Interest Expense,-57.89,-72.7,-71.71,-85.09,-84.51
9,Interest & Investment Income,4.15,4.76,6.71,6.62,5.04
10,Currency Exchange Gain (Loss),-,0.56,-,6.21,-
11,Other Non Operating Income (Expenses),4.54,10.21,-896.67,-36.96,-656.32
12,EBT Excluding Unusual Items,28.96,-15.82,-863.73,-28.49,-595.87
13,Gain (Loss) on Sale of Investments,3.53,-1.75,6.07,0.48,0.43
14,Asset Writedown,-11.22,-7.8,-18.7,-8.73,-14.09
15,Other Unusual Items,-,-0.66,-,-,-
16,Pretax Income,21.27,-26.03,-876.35,-36.74,-609.53
17,Income Tax Expense,4.79,-7.08,5.33,-49.64,14.98
18,Net Income,16.48,-18.95,-881.68,12.9,-624.5
19,Net Income to Common,16.48,-18.95,-881.68,12.9,-624.5
20,Shares Outstanding (Basic),578,577,217,118,118
21,Shares Outstanding (Diluted),579,577,217,118,118
22,Shares Change (YoY),167.34%,389.72%,83.79%,-,-
23,EPS (Basic),0.03,-0.03,-4.07,0.11,-5.30
24,EPS (Diluted),0.03,-0.03,-4.07,0.11,-5.30
25,Free Cash Flow,244.2,89.39,209.27,330.65,264.9
26,Free Cash Flow Per Share,0.42,0.15,0.97,2.80,2.25
27,Operating Margin,12.08%,6.51%,15.40%,11.27%,21.35%
28,Profit Margin,2.55%,-2.99%,-138.64%,1.80%,-95.28%
29,Free Cash Flow Margin,37.75%,14.08%,32.91%,46.15%,40.41%
30,EBITDA,296.87,166.97,289.87,206.23,323.45
31,D&A For EBITDA,218.7,125.62,191.92,125.51,183.52
32,EBIT,78.17,41.35,97.95,80.72,139.92
33,Advertising Expenses,2.25,-,3.42,-,3.59
