,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,1060,1083,2707,6512,-,-
1,Market Cap Growth,-83.38%,-83.38%,-,-,-,-
2,Enterprise Value,2313,2317,3690,11231,-,-
3,Last Close Price,1.99,1.87,4.70,11.34,-,-
4,PE Ratio,-,-407.38,-,-,-,-
5,PS Ratio,0.83,0.79,1.93,4.46,-,-
6,PB Ratio,0.85,0.80,1.99,4.85,-,-
7,P/TBV Ratio,0.80,0.80,1.99,4.85,-,-
8,P/FCF Ratio,3.02,3.02,8.23,11.16,-,-
9,P/OCF Ratio,3.02,3.02,8.23,11.16,-,-
10,EV/Sales Ratio,1.68,1.68,2.64,7.69,-,-
11,EV/EBITDA Ratio,3.81,4.65,7.33,20.95,-,-
12,EV/EBIT Ratio,18.01,18.04,24.05,58.17,-,-
13,EV/FCF Ratio,6.46,6.46,11.22,19.25,-,-
14,Debt / Equity Ratio,1.43,1.43,1.51,1.46,-2.45,-
15,Debt / FCF Ratio,5.42,5.42,6.22,3.37,7.86,-
16,Return on Capital Employed (ROCE),5.87%,5.87%,6.77%,9.84%,14.73%,-
17,Earnings Yield,-0.25%,-0.25%,-36.66%,-14.42%,-,-
18,FCF Yield,33.11%,33.11%,12.16%,8.96%,-,-
19,Buyback Yield / Dilution,-245.22%,-167.34%,-389.72%,-83.79%,-,-
20,Total Shareholder Return,-245.22%,-167.34%,-389.72%,-83.79%,-,-
