,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,411.24,417.66,551.09,626.62,347,466.45,-
1,Short-Term Investments,4.22,7.89,9.18,9.15,7.81,106.98,-
2,Trading Asset Securities,8.62,8.49,8.58,8.2,-,-,-
3,Cash & Short-Term Investments,424.07,434.04,568.86,643.97,354.81,573.42,-
4,Cash Growth,-25.45%,-32.60%,60.33%,12.30%,-,-,-
5,Accounts Receivable,184.63,142.38,114.68,107.68,99.04,103.09,-
6,Other Receivables,8.06,6.04,6.66,4.17,10.44,14.96,-
7,Receivables,192.69,148.43,121.34,111.85,109.48,118.05,-
8,Inventory,6.9,9.9,18.22,23.73,34.78,21.65,-
9,Other Current Assets,142.49,130.69,138.11,139.74,191.61,161.11,-
10,Total Current Assets,766.14,723.05,846.52,919.3,690.68,874.24,-
11,"Property, Plant & Equipment",1395,1451,1592,1599,1444,1391,-
12,Long-Term Investments,246.74,241.24,193.42,250.81,0.69,9.69,-
13,Other Intangible Assets,24.44,28.13,31.97,30.65,5.74,6.06,-
14,Other Long-Term Assets,-,6.16,54.34,-,33.64,21.86,-
15,Total Assets,2432,2449,2718,2800,2175,2303,-
16,Accounts Payable,117.78,175.23,124.88,146.19,121.32,102.44,-
17,Accrued Expenses,19.51,27.89,24.51,51.62,25,53.66,-
18,Short-Term Debt,-,-,-,-,57.28,-,-
19,Current Portion of Long-Term Debt,223.61,176.84,182.26,126.67,-,-,-
20,Current Portion of Leases,23.08,26.36,47.54,44.94,29.75,26.9,-
21,Current Income Taxes Payable,10.63,4.51,3.77,4.2,4.37,5.02,-
22,Current Unearned Revenue,73.2,69.22,81.37,56.38,104.74,61.58,-
23,Other Current Liabilities,104.8,97.56,185.24,176.06,203.5,196.96,-
24,Total Current Liabilities,572.61,577.62,649.56,606.05,545.95,446.56,-
25,Long-Term Debt,171.87,173.91,52.51,52.17,-,-,-
26,Long-Term Leases,156.69,167.01,186.78,191.51,57.27,62.9,-
27,Long-Term Unearned Revenue,85.72,87.07,88.5,89.93,91.37,92.8,-
28,Long-Term Deferred Tax Liabilities,1.41,1.9,-,-,-,-,-
29,Other Long-Term Liabilities,699.69,651.48,775.53,709.36,482.07,448.55,-
30,Total Liabilities,1688,1659,1753,1649,1177,1051,-
31,Common Stock,399.4,399.4,399.4,399.4,374.93,374.93,-
32,Additional Paid-In Capital,1992,1992,1992,1992,1516,1516,-
33,Retained Earnings,-1838,-1787,-1594,-1404,-1075,-802.32,-
34,Treasury Stock,-23.64,-27.18,-,-18.99,-,-,-
35,Comprehensive Income & Other,210.02,209.09,163.23,178.32,177.51,159.03,-
36,Total Common Equity,739.69,785.89,960.36,1146,993.31,1247,-
37,Minority Interest,4.55,4.55,4.55,4.55,4.56,4.76,-
38,Shareholders' Equity,744.24,790.44,964.91,1151,997.86,1252,-
39,Total Liabilities & Equity,2432,2449,2718,2800,2175,2303,-
40,Total Debt,575.25,544.11,469.08,415.28,144.3,89.8,-
41,Net Cash (Debt),-151.17,-110.07,99.78,228.69,210.51,483.62,-
42,Net Cash Growth,-,-,-52.60%,-52.71%,-,-,-
43,Net Cash Per Share,-0.38,-0.28,0.25,0.59,0.56,1.33,-
44,Filing Date Shares Outstanding,399.4,399.4,399.4,399.4,396.69,396.69,360.4
45,Total Common Shares Outstanding,399.4,399.4,399.4,399.4,396.69,374.93,360.4
46,Working Capital,193.54,145.43,196.96,313.25,144.73,427.68,-
47,Book Value Per Share,1.85,1.97,2.40,2.87,2.50,3.33,-
48,Tangible Book Value,715.25,757.76,928.39,1116,987.57,1241,-
49,Tangible Book Value Per Share,1.79,1.90,2.32,2.79,2.49,3.31,-
50,Machinery,-,1437,-,1208,-,1107,-
51,Construction In Progress,-,5.19,-,268.29,-,181.96,-
52,Leasehold Improvements,-,240.53,-,161.75,-,166.43,-
