,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,5440,3055,4785,8387,10245,-,-,-
1,Market Cap Growth,-63.57%,-63.57%,-53.29%,-,-,-,-,-
2,Enterprise Value,5607,3182,4682,8134,10003,-,-,-
3,Last Close Price,13.62,7.65,11.98,21.00,25.65,-,-,-
4,PS Ratio,6.31,3.55,6.06,12.29,16.97,-,-,-
5,PB Ratio,6.84,3.82,5.49,8.04,7.87,-,-,-
6,P/TBV Ratio,3.98,3.98,5.73,8.36,8.12,-,-,-
7,P/FCF Ratio,-,-32.21,-,-,-,-,-,-
8,P/OCF Ratio,-,-96.49,-,-,-,-,-,-
9,EV/Sales Ratio,6.52,3.70,5.93,11.92,16.57,-,-,-
10,EV/EBITDA Ratio,124.25,218.43,-,-,-,-,-,-
11,EV/EBIT Ratio,-,-23.19,-,-,-,-,-,-
12,EV/FCF Ratio,-59.11,-33.54,-,-,-,-,-,-
13,Debt / Equity Ratio,0.77,0.77,0.69,0.49,0.36,0.14,0.07,-
14,Debt / FCF Ratio,-,-6.52,-,-,-,-,-,-
15,Return on Capital Employed (ROCE),-,-6.87%,-,-,-,-,-,-
16,Earnings Yield,-4.82%,-8.57%,-8.82%,-6.69%,-6.64%,-,-,-
17,FCF Yield,-1.74%,-3.10%,-4.68%,-5.20%,-6.00%,-,-,-
18,Buyback Yield / Dilution,-1.41%,0.03%,-2.89%,-6.25%,-6.22%,-4.03%,-,-
19,Total Shareholder Return,-1.41%,0.03%,-2.89%,-6.25%,-6.22%,-4.03%,-,-
