,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,410.5,390.08,326.84,304.75,229.13,223.5,131.06
1,Revenue Growth (YoY),25.60%,28.00%,42.64%,36.35%,74.84%,-,-
2,Cost of Revenue,98.52,115.47,90.53,86.28,51.93,41.49,55.82
3,Gross Profit,311.98,274.61,236.31,218.47,177.2,182.01,75.24
4,"Selling, General & Admin",145.09,202.05,147.04,181.79,131.87,120.38,109.77
5,Research & Development,161.68,226.4,247.97,371.35,327.82,347.57,210.92
6,Other Operating Expenses,-2.33,-18.59,-2.46,-11.16,-1.4,-6.74,-5.59
7,Operating Expenses,304.44,409.86,392.55,541.98,458.29,461.22,315.1
8,Operating Income,7.54,-135.25,-156.25,-323.51,-281.09,-279.2,-239.86
9,Interest Expense,-52.73,-53.18,-46.66,-37.13,-19.01,-19.45,-19.97
10,Interest & Investment Income,3.45,4.65,5.5,1.35,0.82,4.87,7.64
11,Earnings From Equity Investments,-9.09,-5.04,-4.98,-5.29,-9.48,-0.18,-0.22
12,Currency Exchange Gain (Loss),4.65,-3.82,12.9,16.89,10.49,-4.33,2.55
13,EBT Excluding Unusual Items,-46.18,-192.65,-189.49,-347.7,-298.27,-298.29,-249.87
14,Gain (Loss) on Sale of Investments,-0.9,0.07,0.08,-4.86,24.12,1.03,1.1
15,Gain (Loss) on Sale of Assets,-,1.81,0.03,23.79,1.55,0.89,-0.5
16,Pretax Income,-47.08,-190.77,-189.39,-328.76,-272.59,-296.37,-249.28
17,Income Tax Expense,3.6,2.38,0.42,0.8,-,-,-
18,Earnings From Continuing Operations,-50.67,-193.14,-189.81,-329.56,-272.59,-296.37,-249.28
19,Minority Interest in Earnings,-,-,0,0,0.21,0.07,0
20,Net Income,-50.67,-193.14,-189.81,-329.56,-272.39,-296.3,-249.27
21,Net Income to Common,-50.67,-193.14,-189.81,-329.56,-272.39,-296.3,-249.27
22,Shares Outstanding (Basic),398,398,398,387,375,364,360
23,Shares Outstanding (Diluted),398,398,398,387,375,364,360
24,Shares Change (YoY),-0.03%,2.89%,6.25%,6.22%,4.03%,-,-
25,EPS (Basic),-0.13,-0.48,-0.48,-0.85,-0.73,-0.81,-0.69
26,EPS (Diluted),-0.13,-0.48,-0.48,-0.85,-0.73,-0.81,-0.69
27,Free Cash Flow,7.18,-95.45,-107.81,-296.18,-247.36,-284.84,-279.61
28,Free Cash Flow Per Share,0.02,-0.24,-0.27,-0.77,-0.66,-0.78,-0.78
29,Operating Margin,1.84%,-34.67%,-47.81%,-106.16%,-122.67%,-124.92%,-183.02%
30,Profit Margin,-12.34%,-49.51%,-58.07%,-108.14%,-118.88%,-132.57%,-190.21%
31,Free Cash Flow Margin,1.75%,-24.47%,-32.99%,-97.19%,-107.95%,-127.44%,-213.35%
32,EBITDA,93,-79.45,-72.18,-262.17,-203.68,-221.06,-194.41
33,D&A For EBITDA,85.46,55.81,84.06,61.34,77.4,58.14,45.45
34,EBIT,7.54,-135.25,-156.25,-323.51,-281.09,-279.2,-239.86
