,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5982,4468,3457,3280,4099,4882,4844,6596,7004,5939,7052,4194,-,-,-,-,-
1,Market Cap Growth,-8.48%,-8.48%,-28.63%,-50.27%,-41.48%,-17.81%,-31.31%,57.27%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5477,3962,2879,2676,3435,4217,4264,5929,6229,5201,6245,3980,-,-,-,-,-
3,Last Close Price,58.54,43.72,33.78,32.06,39.92,47.55,47.18,66.40,70.07,59.42,70.55,41.96,-,-,-,-,-
4,PE Ratio,158.22,119.41,-,89.45,-,140.73,-,68.31,55.98,48.86,71.30,42.24,-,-,-,-,-
5,Forward PE,37.29,31.08,27.23,28.69,25.46,30.55,28.74,39.24,43.52,39.09,52.27,37.29,-,-,-,-,-
6,PS Ratio,21.52,16.24,12.54,12.74,18.08,19.11,13.13,16.19,14.64,12.81,16.91,10.36,-,-,-,-,-
7,PB Ratio,4.86,3.63,2.81,2.63,3.33,3.87,3.94,6.42,6.59,5.62,7.18,4.34,-,-,-,-,-
8,P/TBV Ratio,3.77,3.77,2.92,2.74,3.47,4.03,4.11,6.73,6.89,5.82,7.44,4.50,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-34.91,-,-,-,-82.04,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,50.65,-,218.56,93.65,541.66,-,113.25,-,-,-,-,-,-,-
11,EV/Sales Ratio,19.91,14.41,10.44,10.39,15.15,16.51,11.56,14.55,13.02,11.22,14.97,9.84,-,-,-,-,-
12,EV/EBITDA Ratio,126.87,92.41,-,356.79,-,354.46,-,-,57.86,48.57,61.95,38.01,-,-,-,-,-
13,EV/EBIT Ratio,144.93,104.86,-,1180.31,-,710.89,-,-,60.88,50.85,64.68,39.54,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-30.16,-,-,-,-71.84,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.05,0.04,0.03,0.02,0.01,0.00,0.00,0.01,0.01,0.02,0.02,-,-,0.01
16,Debt / EBITDA Ratio,1.37,0.26,-,0.98,-,0.34,-,-,0.29,0.02,0.12,0.03,0.60,0.04,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-0.26,-,-,-,-0.07,-,-,-,0.10,-,-,-
18,Asset Turnover,-,0.15,0.19,0.06,0.33,0.10,0.13,0.16,0.71,0.23,0.44,0.21,-,-,-,-,
19,Inventory Turnover,-,-,1.44,1.62,0.53,2.52,0.70,0.88,1.10,4.34,0.91,1.39,0.44,-,-,-,-
20,Quick Ratio,-,-,3.96,4.56,4.42,3.65,3.57,3.74,4.15,3.24,3.18,3.04,1.11,1.24,-,-,-
21,Current Ratio,-,-,4.53,5.16,5.01,4.05,4.09,4.27,4.58,3.54,3.70,3.53,1.64,1.65,-,-,-
22,Return on Equity (ROE),10.17%,-1.94%,7.68%,-3.74%,10.41%,-2.81%,1.79%,2.20%,28.27%,5.75%,20.78%,2.91%,-,-,-,-,
23,Return on Assets (ROA),-,-1.70%,1.75%,-2.79%,3.07%,-1.82%,-0.92%,0.33%,9.63%,2.21%,9.31%,0.63%,-,-,-,-,
24,Return on Capital (ROIC),10.58%,-1.97%,2.03%,-3.31%,3.73%,-2.22%,-1.12%,0.42%,12.60%,2.94%,14.45%,1.38%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,0.17%,-,0.46%,-,-,9.59%,9.67%,9.80%,10.38%,25.94%,23.47%,-,-,-
26,Earnings Yield,0.63%,0.84%,1.15%,1.12%,0.43%,0.71%,1.53%,1.46%,1.79%,2.05%,1.40%,2.37%,-,-,-,-,-
27,FCF Yield,-,-3.57%,-2.42%,-2.57%,-2.86%,-2.61%,-2.43%,-2.22%,-1.22%,-0.21%,0.54%,-,-,-,-,-,
28,Dividend Yield,0.16%,-,0.46%,-,-,0.22%,-,-,-,0.70%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,45.31%,-,0.59%,-,881.07%,-,-,-,-,-,-,0.37%,1.58%,-
30,Buyback Yield / Dilution,-2.04%,-42.00%,29.74%,11.42%,-11.97%,7.41%,-25.31%,21.79%,-47.14%,-42.19%,-40.64%,-27.17%,10.32%,-,-,-,-
31,Total Shareholder Return,-1.88%,-42.00%,30.20%,11.42%,-11.97%,7.63%,-25.31%,21.79%,-47.14%,-41.49%,-40.64%,-27.17%,10.32%,-,-,-,-
