,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,413.21,339.18,370.83,400.02,437.47,355.12,437.47,486.93,549.59,611.51,220.13,210.58,-,-,-
1,Trading Asset Securities,-,152.68,299.38,287.03,334.39,252.28,231.19,233.26,293.26,195,200,-,40,-,-,-
2,Cash & Short-Term Investments,565.89,565.89,638.56,657.86,734.41,689.76,586.32,670.73,780.2,744.59,811.51,220.13,250.58,-,-,204.89
3,Cash Growth,-22.95%,-17.96%,8.91%,-1.92%,-5.87%,-7.36%,-27.75%,204.70%,211.36%,-,-,7.44%,-,-,-,-
4,Accounts Receivable,-,246.5,236.95,231.92,243.99,264.51,263.23,282.77,273.18,233.44,220.62,187.28,212.17,-,-,-
5,Other Receivables,-,6.73,7.23,6.59,8.94,8.61,4.2,3.97,3.16,19.23,2.12,3.42,3.73,-,-,-
6,Receivables,-,253.23,244.17,238.52,252.93,273.12,267.43,286.74,276.34,252.67,222.74,190.7,215.9,-,-,-
7,Inventory,-,95.1,92.64,102.07,97.1,121.82,104.52,85.11,87.6,151.38,162.99,177.48,148.22,-,-,-
8,Other Current Assets,-,23.93,22.55,18.66,13.1,19.16,15.87,14.57,10.68,12.31,5.24,20.9,5.86,-,-,-
9,Total Current Assets,-,938.15,997.93,1017,1098,1104,974.14,1057,1155,1161,1202,609.21,620.56,-,-,-
10,"Property, Plant & Equipment",-,389.41,333.72,306.14,304.71,238.03,209.21,175.12,159.46,87.41,62.96,58.23,60.19,-,-,-
11,Long-Term Investments,-,106.81,106.81,101.55,101.55,36,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,46.28,46.73,47.17,47.65,48.49,48.47,47,35.56,35.22,35.46,14.21,0.93,-,-,-
13,Long-Term Accounts Receivable,-,6.06,6.85,8.87,11.85,24.4,24.41,-,29.47,-,6.16,-,7.75,-,-,-
14,Long-Term Deferred Tax Assets,-,15.13,8.72,8.52,7.91,6.04,6.68,5.02,4.28,3.19,2.88,3.4,3.24,-,-,-
15,Long-Term Deferred Charges,-,0.28,0.25,0.27,0.38,0.2,0.31,0.43,0.57,0.7,0.76,0.88,1.01,-,-,-
16,Other Long-Term Assets,-,-,-,-,-,65.07,-,12.9,-,12.07,-,7.75,0.13,-,-,-
17,Total Assets,-,1502,1501,1490,1572,1522,1263,1298,1384,1300,1311,693.68,693.81,-,-,-
18,Accounts Payable,-,131.04,96.63,97.36,110.24,123.99,96.03,111.03,96.47,113.99,149.93,175.22,166.78,-,-,-
19,Accrued Expenses,-,8.13,12.49,6.99,21.25,12.32,25.35,11.35,46.62,12.16,31.66,4.59,27.8,-,-,-
20,Current Portion of Leases,-,0.87,2.05,2.91,2.88,4.3,4.98,2.79,4.14,4.1,3.63,5.66,5.65,-,-,-
21,Current Income Taxes Payable,-,4.14,1.11,0.64,2.68,0.92,-,-,18.83,15.44,9.91,12.32,10.34,-,-,-
22,Current Unearned Revenue,-,58.65,71.5,85.66,88.6,125.07,89.45,92.1,117.49,161.66,138.58,166.86,156.96,-,-,-
23,Other Current Liabilities,-,4.27,9.69,9.39,45.07,3.05,12.57,13.57,42.53,6.56,6.79,7.06,8.69,-,-,-
24,Total Current Liabilities,-,207.09,193.46,202.96,270.72,269.64,228.38,230.84,326.07,313.92,340.5,371.72,376.23,-,-,-
25,Long-Term Debt,-,57.49,55.18,47.41,32.29,15.43,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,-,0.77,0.76,1.14,1.12,3.11,1.21,0.94,0.69,1.87,1.24,0.8,1.97,-,-,-
27,Long-Term Unearned Revenue,-,4.55,5.55,5.55,4.55,5.15,5.15,2.35,1.05,1.05,1.62,8.66,6.71,-,-,-
28,Long-Term Deferred Tax Liabilities,-,0.08,0.09,0.09,0.1,0.16,0.17,-,-,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,-,0.7,0.7,0.7,0.7,0.2,0.2,0.2,0.2,-,-,-,-,-,-,-
30,Total Liabilities,-,270.68,255.74,257.85,309.48,293.68,235.1,234.34,328.01,316.83,343.35,381.18,384.9,-,-,-
31,Common Stock,-,102.19,102.19,102.19,102.19,102.19,98.88,82.4,82.4,82.4,82.4,61.8,61.8,-,-,-
32,Additional Paid-In Capital,-,919.11,917.78,916.44,915.11,913.72,710.97,726.11,724.77,723.44,722.11,121.09,119.75,-,-,-
33,Retained Earnings,-,238.72,244.14,231.27,242.44,209.76,218.27,254.79,248.95,176.87,162.85,129.61,127.35,-,-,-
34,Treasury Stock,-,-30,-20.86,-20,-,-,-,-,-,-,-,-,-,-,-,-
35,Total Common Equity,1230,1230,1243,1230,1260,1226,1028,1063,1056,982.71,967.36,312.5,308.91,-,-,243.83
36,Minority Interest,-,1.42,2.02,1.88,2.37,2.72,-0.01,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,1231,1231,1245,1232,1262,1228,1028,1063,1056,982.71,967.36,312.5,308.91,-,-,243.83
38,Total Liabilities & Equity,-,1502,1501,1490,1572,1522,1263,1298,1384,1300,1311,693.68,693.81,-,-,-
39,Total Debt,59.13,59.13,57.99,51.46,36.3,22.83,6.18,3.73,4.82,5.96,4.87,6.47,7.61,-,-,1.36
40,Net Cash (Debt),506.76,506.76,580.57,606.4,698.12,666.92,580.13,667.01,775.37,738.63,806.65,213.66,242.96,-,-,203.53
41,Net Cash Growth,-27.41%,-24.02%,0.08%,-9.09%,-9.96%,-9.71%,-28.08%,212.18%,219.13%,-,-,4.98%,-,-,-,-
42,Net Cash Per Share,3.63,5.86,8.73,5.43,7.10,5.42,7.72,6.68,7.30,7.52,8.40,3.15,3.25,-,-,2.69
43,Filing Date Shares Outstanding,102.19,102.19,102.19,102.19,102.19,102.19,98.88,98.88,98.88,98.88,98.88,98.88,74.16,69.86,75.52,75.64
44,Total Common Shares Outstanding,102.19,102.19,102.19,102.19,102.19,102.19,98.88,98.88,98.88,98.88,98.88,74.16,74.16,69.86,75.52,75.64
45,Working Capital,-,731.06,804.46,814.16,826.82,834.21,745.76,826.31,828.74,847.04,861.99,237.48,244.33,-,-,-
46,Book Value Per Share,12.04,12.04,12.17,12.04,12.33,11.99,10.40,10.75,10.68,9.94,9.78,4.21,4.17,-,-,3.29
47,Tangible Book Value,1184,1184,1197,1183,1212,1177,979.65,1016,1021,947.49,931.9,298.29,307.98,-,-,243.08
48,Tangible Book Value Per Share,11.58,11.58,11.71,11.57,11.86,11.52,9.91,10.28,10.32,9.58,9.42,4.02,4.15,-,-,3.28
49,Buildings,-,-,37.17,-,37.17,-,37.17,-,37.17,-,37.17,-,37.17,-,-,-
50,Machinery,-,-,26.72,-,27.41,-,29,-,27.28,-,27.32,-,26.22,-,-,-
51,Construction In Progress,-,-,288.25,-,253.34,-,153.56,-,106.02,-,6.42,-,0.7,-,-,-
