,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,125.75,55.27,70.75,23.26,125.17,37.24,39.85,51.99,237.83,75.56,110.92,37.19,193.13,62.84,84.43,7.98
1,Other Revenue,-,-0.68,0.68,-,1.2,-0.81,0.81,-,1.99,-0.55,0.55,-,0.33,-0.26,0.26,-
2,Revenue,125.75,54.59,71.43,23.26,126.37,36.43,40.66,51.99,239.82,75.01,111.48,37.19,193.47,62.58,84.69,7.98
3,Revenue Growth (YoY),-0.49%,49.86%,75.68%,-55.26%,-47.31%,-51.44%,-63.53%,39.80%,23.96%,19.86%,31.63%,366.17%,-,-,-,-
4,Cost of Revenue,-86.33,33.8,39.34,13.2,68.9,19.93,20.78,23.77,129.71,35.76,58.99,18.08,110.96,31.7,47.29,3.36
5,Gross Profit,212.08,20.78,32.1,10.06,57.47,16.49,19.89,28.22,110.11,39.25,52.49,19.1,82.51,30.88,37.4,4.62
6,"Selling, General & Admin",-51.83,16.8,17.99,17.04,18.34,16.72,16.09,15.71,16.94,14.62,17,12.57,13.89,9.37,13.04,7.47
7,Research & Development,-18.61,8.07,1.83,8.71,5.74,11.62,12.81,10.41,13.57,13.14,9.62,6.01,11.52,5.41,5.98,5.69
8,Other Operating Expenses,241.32,-4.07,0.95,-0.96,10.58,-3.87,-6.93,0.11,16.86,-2.36,-11.41,-0.15,5.56,-1.13,-2.05,-0.22
9,Operating Expenses,157.48,31.01,21.6,27.15,38.47,26.64,24.59,26.44,58.44,27.71,15.17,17.35,36.57,15.21,17.25,11.85
10,Operating Income,54.6,-10.22,10.5,-17.08,19,-10.15,-4.7,1.78,51.67,11.55,37.32,1.75,45.94,15.67,20.15,-7.23
11,Interest Expense,-19.3,-0.6,-0.06,-0.02,-0.07,-0.06,-0.06,-0.03,-0.05,-0.06,-0.05,-0.09,-0.1,-0.12,-0.28,-
12,Interest & Investment Income,0.68,10.38,6.07,2.85,3.95,2.75,3.94,3.42,6.58,3.46,1.71,1.42,1.73,0.3,1.14,0.88
13,Currency Exchange Gain (Loss),-,-,-,-,-0.04,0.04,-0.04,-,0.18,-0.19,0.19,-,0.01,-,-,-
14,Other Non Operating Income (Expenses),-0.09,-0.05,-0.26,0.33,0.2,-0.12,0.35,-0.57,-0.21,0.58,-0.3,-0.19,0.04,0.15,-0.22,0.18
