,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,70.9,80.3,81.26,53.85,92.1,87.63,126.99,81.53,77.35,80.1,Upgrade
1,Short-Term Investments,53.73,43.23,62.8,58.75,39.48,36.89,20.23,25.44,386.17,254.06,Upgrade
2,Trading Asset Securities,21.5,20.01,45.15,34.02,48.72,69.34,60.2,24.02,55.48,146.16,Upgrade
3,Cash & Short-Term Investments,146.12,143.55,189.21,146.62,180.3,193.86,207.42,130.99,519.01,480.32,Upgrade
4,Cash Growth,-22.77%,-2.10%,4.94%,-24.37%,-13.07%,47.99%,-60.04%,-72.73%,86.93%,235.23%,Upgrade
5,Accounts Receivable,-,-,5.18,4.16,3.79,3.4,3.51,10.29,38.75,34.99,Upgrade
6,Other Receivables,235.26,233.23,339.69,300.92,239.46,227.53,230.77,67.05,-,-,Upgrade
7,Receivables,235.26,233.23,344.87,305.09,271.31,259.29,293.15,136.95,88.1,115.16,Upgrade
8,Inventory,2.42,1.81,2.29,1.94,2.5,2.92,2.97,117.92,35.72,35.92,Upgrade
9,Prepaid Expenses,66.8,68.32,43.83,38.98,38.68,2.78,36.83,5.2,-,-,Upgrade
10,Other Current Assets,-,-,-,-,805.06,757.01,647.9,580.04,255.51,246.11,Upgrade
11,Total Current Assets,450.6,446.9,580.18,492.63,1298,1216,1188,971.1,898.34,877.51,Upgrade
12,"Property, Plant & Equipment",255.87,293.29,372.85,480.28,696.59,527.15,441.19,519.43,460.54,542.5,Upgrade
13,Long-Term Investments,1.48,1.7,1.39,1.41,21.95,22.04,22.22,132.71,214.32,216.06,Upgrade
14,Goodwill,387.91,397.42,399.93,401.41,417.3,437.11,428.38,426.47,619.83,627.53,Upgrade
