,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,105.04,137.21,-,-
1,Trading Asset Securities,53.26,75.29,-,-
2,Cash & Short-Term Investments,158.31,212.5,-,243.49
3,Other Receivables,3.29,2.32,-,-
4,Receivables,3.29,2.32,-,-
5,Prepaid Expenses,29.76,36.27,-,-
6,Other Current Assets,6.98,9.5,-,-
7,Total Current Assets,198.34,260.58,-,-
8,"Property, Plant & Equipment",241.24,246.85,-,-
9,Other Intangible Assets,65.24,66.66,-,-
10,Other Long-Term Assets,24.47,28.9,-,-
11,Total Assets,529.3,602.99,-,-
12,Accounts Payable,29.58,22.06,-,-
13,Accrued Expenses,48.72,44.59,-,-
14,Short-Term Debt,80.48,80.49,-,-
15,Current Portion of Leases,23.13,22.63,-,-
16,Current Income Taxes Payable,0.01,0.01,-,-
17,Other Current Liabilities,1228,1203.0,-,-
18,Total Current Liabilities,1410,1372.0,-,-
19,Long-Term Leases,17.11,18.28,-,-
20,Long-Term Unearned Revenue,49.18,53.15,-,-
21,Other Long-Term Liabilities,95.82,93.93,-,-
22,Total Liabilities,1572,1538.0,-,-
23,Common Stock,322.96,322.96,-,-
24,Additional Paid-In Capital,802.74,802.74,-,-
25,Retained Earnings,-1228,-1117.0,-,-
26,Comprehensive Income & Other,-944.05,-947.95,-,-
27,Total Common Equity,-1046,-938.86,-,-505.94
28,Minority Interest,3.97,4.19,-,-
29,Shareholders' Equity,-1043,-934.67,-,-500.75
30,Total Liabilities & Equity,529.3,602.99,-,-
31,Total Debt,120.72,121.39,-,55.95
32,Net Cash (Debt),37.59,91.1,-,187.54
33,Net Cash Per Share,0.12,0.29,-,0.65
34,Filing Date Shares Outstanding,370.84,370.84,287.99,287.99
35,Total Common Shares Outstanding,370.84,322.96,287.99,287.99
36,Working Capital,-1211,-1112.0,-,-
37,Book Value Per Share,-2.82,-2.91,-,-1.82
38,Tangible Book Value,-1112,-1006.0,-,-579.67
39,Tangible Book Value Per Share,-3.00,-3.11,-,-2.09
40,Machinery,-,18.65,-,-
41,Construction In Progress,-,136.77,-,-
42,Leasehold Improvements,-,21.0,-,-
