,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,426.63,105.53,120.04,83.36,419.85,124.28,95.88,79.54,1188,-,-,69.57,-,-,-
1,Short-Term Investments,-,133.36,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,635.86,970.81,1090,1061,642.81,1379,1505,1461,363.48,-,-,544.83,-,-,-
3,Cash & Short-Term Investments,1062,1210,1210,1144,1063,1503,1600,1541,1551,-,614.4,614.4,-,-,483.06
4,Cash Growth,-0.02%,-19.53%,-24.41%,-25.74%,-31.50%,-,160.49%,150.79%,-,-,27.19%,-,-,-,-
5,Accounts Receivable,38.44,20.88,23.06,38.49,24.54,21.49,24.2,36.58,30.66,-,-,36.66,-,-,-
6,Other Receivables,11.41,17.55,8.41,8.4,8.52,8.9,8.77,9.03,8.38,-,-,9.14,-,-,-
7,Receivables,49.85,38.43,31.48,46.9,33.06,30.4,32.97,45.61,39.05,-,-,45.8,-,-,-
8,Inventory,515.68,404.79,382.93,424.44,508.16,394.19,405.92,449.44,508.2,-,-,381.77,-,-,-
9,Prepaid Expenses,-,0.21,-,-,-,0.28,-,-,-,-,-,0.09,-,-,-
10,Other Current Assets,189.09,31.91,35.02,43.02,54.09,17.59,28.37,28.07,37.89,-,-,36.3,-,-,-
11,Total Current Assets,1817,1685,1659,1659,1658,1946,2068,2064,2136,-,-,1078,-,-,-
12,"Property, Plant & Equipment",113.38,115.48,116.22,120.31,120.96,89.22,88.93,86.81,76.91,-,-,76.07,-,-,-
13,Long-Term Investments,-,77.15,-,207.34,-,169.62,-,137.39,-,-,-,-,-,-,-
14,Goodwill,-,-,-,-,1.5,1.5,1.5,1.5,1.5,-,-,1.5,-,-,-
15,Other Intangible Assets,400.24,405.12,410.4,415.67,13.14,13.2,13.39,13.35,13.52,-,-,14.08,-,-,-
16,Long-Term Deferred Tax Assets,60.35,59.31,57.62,67.04,69.85,63.06,54.51,65.93,56.31,-,-,38.56,-,-,-
17,Long-Term Deferred Charges,12.39,10.55,9.59,11.17,10.71,8.2,9.2,10.24,9.52,-,-,13.2,-,-,-
18,Other Long-Term Assets,68.78,1.74,210.76,1.23,538.35,1.28,138.86,1.1,0.82,-,-,0.71,-,-,-
19,Total Assets,2472,2354,2464,2481,2412,2292,2374,2380,2295,-,-,1222,-,-,-
20,Accounts Payable,314.52,221.56,290.74,344.73,338.84,257.76,316.11,376.65,359.97,-,-,334.62,-,-,-
21,Accrued Expenses,9.63,21.62,16.42,29.77,9.87,19.64,14.97,27.31,9.12,-,-,33.23,-,-,-
22,Current Portion of Leases,14.69,11.98,13.43,12.71,11.1,11.03,-,9.75,10.86,-,-,9.9,-,-,-
23,Current Income Taxes Payable,14.92,13.81,10.72,21.93,24.96,14.85,36.82,34.36,30.78,-,-,38.56,-,-,-
24,Current Unearned Revenue,8.3,12.64,13.61,9.64,7.06,11.16,10.72,7.77,7.38,-,-,10.16,-,-,-
25,Other Current Liabilities,33.79,18.31,23.01,14.51,23.09,16.27,33.48,14.6,33.27,-,-,14.58,-,-,-
26,Total Current Liabilities,395.84,299.92,367.92,433.29,414.92,330.71,412.1,470.44,451.39,-,-,441.05,-,-,-
27,Long-Term Leases,2.65,6.01,4.96,8.43,10.91,11.81,13.94,16.69,19.97,-,-,23.66,-,-,-
28,Long-Term Deferred Tax Liabilities,7.04,7.51,6.81,6.72,7.15,9.67,3.28,9.1,1.4,-,-,0.87,-,-,-
29,Other Long-Term Liabilities,31.8,18.92,20.45,23.83,24.25,16.7,16.6,20.06,20.67,-,-,24.81,-,-,-
30,Total Liabilities,437.34,332.37,400.14,472.27,457.23,368.89,445.92,516.29,493.43,-,-,490.39,-,-,-
31,Common Stock,108,108,108,108,108,108,108,108,108,-,-,81,-,-,-
32,Additional Paid-In Capital,1006,1004,1003,1002,1001,999.24,997.98,997.73,997.73,-,-,30.15,-,-,-
33,Retained Earnings,921.12,909.6,952.47,899.32,846.73,815.71,822.18,758.28,695.8,-,-,620.94,-,-,-
34,Shareholders' Equity,2035,2022,2064,2009,1955,1923,1928,1864,1802,-,732.09,732.09,-,-,547.53
35,Total Liabilities & Equity,2472,2354,2464,2481,2412,2292,2374,2380,2295,-,-,1222,-,-,-
36,Total Debt,17.34,17.99,18.38,21.14,22.01,22.83,13.94,26.44,30.84,-,33.55,33.55,-,-,-
37,Net Cash (Debt),1045,1192,1191,1123,1041,1480,1586,1514,1520,-,580.84,580.84,-,-,483.06
38,Net Cash Growth,0.43%,-19.51%,-24.91%,-25.84%,-31.55%,-,173.14%,160.73%,-,-,20.24%,-,-,-,-
39,Net Cash Per Share,9.51,10.95,10.98,10.23,9.70,13.58,14.77,14.17,18.46,-,7.16,7.09,-,-,-
40,Filing Date Shares Outstanding,108,108,108,108,108,108,108,108,108,80.44,81.12,81,80.85,-,-
41,Total Common Shares Outstanding,108,108,108,108,108,108,108,108,108,80.44,81.12,81,80.85,-,-
42,Working Capital,1421,1385,1291,1225,1243,1615,1656,1594,1685,-,-,637.32,-,-,-
43,Book Value Per Share,18.84,18.72,19.11,18.60,18.10,17.81,17.85,17.26,16.68,-,9.04,9.04,-,-,6.76
44,Tangible Book Value,1635,1617,1653,1593,1941,1908,1913,1849,1787,-,716.51,716.51,-,-,531.74
45,Tangible Book Value Per Share,15.14,14.97,15.31,14.75,17.97,17.67,17.72,17.12,16.54,-,8.85,8.85,-,-,6.56
46,Buildings,-,118.04,-,118.04,-,59.38,-,59.38,-,-,-,59.38,-,-,-
47,Machinery,-,14.63,-,13.47,-,12.82,-,12.1,-,-,-,11.05,-,-,-
48,Construction In Progress,-,-,-,-,-,25.8,-,19.83,-,-,-,-,-,-,-
