,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2241,2311,2264,2155,2633,3073,2754,2682,2515,2636,-,-,-,-,-,-
1,Market Cap Growth,-24.78%,-24.78%,-17.80%,-19.65%,4.68%,16.55%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1196,1119,1072,1114,1592,1592,1168,1161,995,2055,-,-,-,-,-,-
3,Last Close Price,20.75,21.40,20.96,19.32,23.61,27.55,24.69,23.70,22.23,23.30,-,-,-,-,-,-
4,PE Ratio,14.40,14.77,12.86,12.78,14.63,16.26,14.67,15.04,15.18,14.21,-,-,-,-,-,-
5,Forward PE,13.30,11.96,9.84,7.64,9.33,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.00,2.06,2.04,1.88,2.29,2.70,2.36,2.35,2.20,2.21,-,-,-,-,-,-
7,PB Ratio,1.10,1.14,1.12,1.04,1.31,1.57,1.43,1.39,1.35,1.46,-,-,-,-,-,-
8,P/TBV Ratio,1.41,1.41,1.40,1.30,1.65,1.58,1.44,1.40,1.36,1.48,-,-,-,-,-,-
9,P/FCF Ratio,19.60,-,-,-6.86,-8.61,-,-,28.09,26.52,-,-,-,-,-,-,-
10,P/OCF Ratio,12.11,12.11,-,14.42,16.25,-,-,20.50,19.89,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.07,1.00,0.97,0.97,1.38,1.40,1.00,1.02,0.87,1.72,-,-,-,-,-,-
12,EV/EBITDA Ratio,8.15,6.12,5.57,5.59,7.33,8.02,5.61,5.80,5.31,9.18,-,-,-,-,-,-
13,EV/EBIT Ratio,9.63,6.61,5.95,5.79,7.52,8.22,5.74,5.94,5.45,9.37,-,-,-,-,-,-
14,EV/FCF Ratio,10.46,-,-,-3.54,-5.20,-,-,12.17,10.49,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,-,0.05,0.05,-,-,-
16,Debt / EBITDA Ratio,0.12,0.12,0.15,0.07,0.08,0.12,0.16,0.04,0.14,0.13,-,0.12,0.10,-,-,-
17,Debt / FCF Ratio,0.15,-,-,-0.06,-0.07,-,-,0.15,0.28,-,-,0.14,0.18,-,-,-
18,Asset Turnover,0.34,0.32,0.47,0.71,0.33,0.39,0.49,0.72,-,-,-,-,-,-,-,
19,Inventory Turnover,0.91,0.59,0.86,1.07,1.75,0.64,1.01,1.06,1.72,-,-,-,-,-,-,-
20,Quick Ratio,2.81,2.81,4.16,3.37,2.75,2.64,4.64,3.96,3.37,3.52,-,-,1.50,-,-,-
21,Current Ratio,4.59,4.59,5.62,4.51,3.83,4.00,5.88,5.02,4.39,4.73,-,-,2.44,-,-,-
22,Return on Equity (ROE),2.27%,7.68%,10.44%,10.61%,6.40%,6.62%,13.59%,13.46%,-,-,28.37%,-,-,-,-,
23,Return on Assets (ROA),3.68%,1.70%,6.44%,5.52%,4.92%,3.06%,8.71%,3.84%,-,-,-,-,-,-,-,
24,Return on Capital (ROIC),4.34%,1.98%,7.74%,6.74%,5.90%,3.68%,10.80%,4.83%,-,-,22.79%,-,-,-,-,
25,Return on Capital Employed (ROCE),5.98%,8.16%,8.78%,9.19%,10.34%,9.69%,10.37%,9.97%,9.56%,11.90%,-,-,29.53%,-,-,-
26,Earnings Yield,6.98%,6.77%,7.77%,7.83%,6.83%,6.15%,6.82%,6.65%,6.59%,7.04%,-,-,-,-,-,-
27,FCF Yield,5.10%,4.95%,-13.99%,-14.59%,-11.62%,-9.66%,2.77%,3.56%,3.77%,4.86%,-,-,-,-,-,-
28,Dividend Yield,3.66%,-,-,-,3.22%,-,-,-,1.62%,-,-,-,-,-,-,-
29,Payout Ratio,52.46%,-,209.38%,-,-,-,121.96%,-,-,-,-,56.17%,-,40.01%,-,-
30,Buyback Yield / Dilution,-0.90%,-2.39%,0.19%,-1.01%,-2.78%,-30.23%,-35.56%,-32.38%,-30.45%,-1.89%,-,-,-,-,-,-
31,Total Shareholder Return,2.76%,-2.39%,0.19%,-1.01%,0.44%,-30.23%,-35.56%,-32.38%,-28.83%,-1.89%,-,-,-,-,-,-
