,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,221.4,177.64,287.64,434.11,192.66,229.82,294.04,423.35,221.97,202.82,294.95,474.57,203.61,268.04,268.04
1,Other Revenue,-15.11,15.11,-,1.13,-,-,-,-,-,-,-,0.16,-,-,-
2,Revenue,206.29,192.75,287.64,435.24,192.66,229.82,294.04,423.35,221.97,202.82,294.95,474.73,203.61,268.04,268.04
3,Revenue Growth (YoY),7.08%,-16.13%,-2.18%,2.81%,-13.21%,13.31%,-0.31%,-10.82%,9.02%,-24.33%,10.04%,-,-,-,-
4,Cost of Revenue,67.61,84.95,107.54,203.89,72.18,100.98,113.46,205.86,80.41,95.47,111.76,217.74,297.55,-,-
5,Gross Profit,138.69,107.8,180.1,231.36,120.48,128.84,180.58,217.49,141.56,107.35,183.19,256.99,-93.94,268.04,268.04
6,"Selling, General & Admin",98.06,91.09,115.26,174.76,95.65,101.85,114.55,163.65,93.64,87.88,116.15,169.36,291.26,-,-
7,Other Operating Expenses,1.67,1.36,0.89,2.27,-22.58,-0.59,-17.08,19.27,-9.45,-0.5,-2.53,15.17,-426.67,210.19,210.19
8,Operating Expenses,103.18,91.46,116.45,177.37,74.16,100.26,97.77,181.56,85.48,86.66,113.4,184.23,-136.27,210.19,210.19
9,Operating Income,35.51,16.34,63.65,53.99,46.31,28.58,82.8,35.94,56.08,20.69,69.79,72.76,42.33,57.85,57.85
10,Interest Expense,-0.18,-0.2,-0.21,-0.24,-0.24,-0.26,-0.27,-0.3,-0.31,-0.33,-0.35,-0.43,-1.19,-,-
11,Interest & Investment Income,4.05,3.16,3.78,2.73,8.99,4.7,2.99,3.81,0.73,2.05,1.73,1.88,6.3,-,-
12,Currency Exchange Gain (Loss),0.45,-0.45,-,-0.66,0.39,-0.39,-,-0.54,-0.12,0.12,-,0.94,-,-,-
13,Other Non Operating Income (Expenses),1.58,-2.28,-0.28,0.33,-0.18,-3.26,-0.22,-0.54,0.2,-0.68,0.04,-3.81,3.11,-,-
14,EBT Excluding Unusual Items,41.4,16.57,66.95,56.14,55.28,29.37,85.3,38.36,56.59,21.85,71.21,71.34,50.54,57.85,57.85
15,Impairment of Goodwill,-,-,-,-1.5,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,3.15,5.41,4.72,5.03,3.06,7.6,6.02,8.78,1.45,2.29,3.23,2.02,3.78,-,-
17,Gain (Loss) on Sale of Assets,-0.05,-0,-,0.11,0.07,0.01,-,-,-,0,-,-,0.02,-,-
18,Asset Writedown,-29.73,5.28,-5.28,17.42,-17.52,5.71,-5.71,18.91,-18.91,5.62,-5.62,20.78,-20.82,-,-
19,Legal Settlements,0.01,-0.01,-,-0.59,0.41,-0.41,-,-,-,-,-,3.3,-,-,-
20,Other Unusual Items,0.14,24.76,4.27,-2.6,-0.29,0.29,-,16.64,0,-0,-,11.49,-,-,-
21,Pretax Income,14.93,52,70.65,74.01,41.01,42.57,85.61,82.69,39.13,29.75,68.83,108.93,33.51,57.85,57.85
22,Income Tax Expense,3.4,12.8,17.5,21.42,9.99,10.69,21.18,21.02,9.37,7.35,16.91,27.44,8.2,13.91,13.91
23,Net Income,11.53,39.2,53.15,52.59,31.01,31.88,64.43,61.67,29.76,22.4,51.92,81.49,25.31,43.94,43.94
24,Net Income to Common,11.53,39.2,53.15,52.59,31.01,31.88,64.43,61.67,29.76,22.4,51.92,81.49,25.31,43.94,43.94
25,Net Income Growth,-62.84%,22.97%,-17.51%,-14.72%,4.20%,42.31%,24.11%,-24.32%,17.61%,-49.02%,18.14%,-,-,-,-
26,Shares Outstanding (Basic),110,106,108,107,107,109,107,107,82,80,81,82,81,-,-
27,Shares Outstanding (Diluted),110,109,108,110,107,109,107,107,82,80,81,82,81,-,-
28,Shares Change (YoY),2.39%,-0.19%,1.01%,2.78%,30.23%,35.56%,32.38%,30.45%,1.89%,-,-,-,-,-,-
29,EPS (Basic),0.10,0.37,0.49,0.49,0.29,0.29,0.60,0.58,0.36,0.28,0.64,0.99,0.31,-,-
30,EPS (Diluted),0.10,0.36,0.49,0.48,0.29,0.29,0.60,0.58,0.36,0.28,0.64,0.99,0.31,-,-
31,EPS Growth,-63.71%,23.21%,-18.33%,-17.03%,-19.98%,4.98%,-6.25%,-41.99%,15.43%,-,-,-,-,-,-
32,Free Cash Flow,-3.71,-47.94,52.53,113.47,-434.69,-45.57,60.84,122.7,-61.72,-26.36,60.22,155.92,27.68,2.96,2.96
33,Free Cash Flow Per Share,-0.03,-0.44,0.48,1.03,-4.05,-0.42,0.57,1.15,-0.75,-0.33,0.74,1.90,0.34,-,-
34,Dividend Per Share,-,-,-,0.760,-,-,-,0.360,-,-,-,0.360,-,-,-
35,Dividend Growth,-,-,-,111.11%,-,-,-,0%,-,-,-,-,-,-,-
36,Gross Margin,67.23%,55.93%,62.61%,53.16%,62.53%,56.06%,61.41%,51.37%,63.77%,52.93%,62.11%,54.13%,-46.14%,100.00%,100.00%
37,Operating Margin,17.21%,8.48%,22.13%,12.40%,24.04%,12.44%,28.16%,8.49%,25.27%,10.20%,23.66%,15.33%,20.79%,21.58%,21.58%
38,Profit Margin,5.59%,20.34%,18.48%,12.08%,16.10%,13.87%,21.91%,14.57%,13.41%,11.05%,17.60%,17.17%,12.43%,16.39%,16.39%
39,Free Cash Flow Margin,-1.80%,-24.87%,18.26%,26.07%,-225.63%,-19.83%,20.69%,28.98%,-27.81%,-13.00%,20.42%,32.84%,13.60%,1.10%,1.10%
40,EBITDA,37.63,23.3,65.78,56.11,47.51,29.77,84,37.14,57.23,21.9,70.93,73.91,43.43,58.96,58.96
41,EBITDA Margin,18.24%,12.09%,22.87%,12.89%,24.66%,12.95%,28.57%,8.77%,25.78%,10.80%,24.05%,15.57%,21.33%,22.00%,22.00%
42,D&A For EBITDA,2.12,6.96,2.12,2.12,1.2,1.19,1.2,1.2,1.15,1.21,1.15,1.15,1.11,1.11,1.11
43,EBIT,35.51,16.34,63.65,53.99,46.31,28.58,82.8,35.94,56.08,20.69,69.79,72.76,42.33,57.85,57.85
44,EBIT Margin,17.21%,8.48%,22.13%,12.40%,24.04%,12.44%,28.16%,8.49%,25.27%,10.20%,23.66%,15.33%,20.79%,21.58%,21.58%
45,Effective Tax Rate,22.79%,24.62%,24.77%,28.94%,24.37%,25.11%,24.74%,25.42%,23.93%,24.71%,24.57%,25.19%,24.48%,24.04%,24.04%
46,Revenue as Reported,206.29,192.75,287.64,435.24,192.66,229.82,294.04,423.35,221.97,202.82,294.95,474.73,739.7,-,-
