,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,68.66,77.66,150.61,122.6,133.18,167.96,107.68,165.82,225.26,148.3,Upgrade
1,Short-Term Investments,10,10,20,20,20,16,19.5,20.47,20.28,20,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,14.7,8.5,148.39,68.1,Upgrade
3,Cash & Short-Term Investments,78.66,87.66,170.61,142.6,153.18,183.96,141.88,194.79,393.92,236.39,Upgrade
4,Cash Growth,-53.89%,-38.53%,11.38%,-22.49%,7.97%,-5.56%,-63.98%,-17.60%,40.52%,-9.15%,Upgrade
5,Accounts Receivable,143.54,106.52,107.33,255.11,237.18,273.38,155.53,288.01,338.73,351.73,Upgrade
6,Other Receivables,275.16,258.59,286.13,117.3,144.42,116.53,314.47,150.98,1237,1059,Upgrade
7,Receivables,418.7,365.11,407.95,379.04,391.2,401.72,474.19,438.99,1649,1516,Upgrade
8,Inventory,91.26,98.27,99.77,111.74,114.38,129.19,117.07,102.81,144.85,127.94,Upgrade
9,Prepaid Expenses,-,2.16,-,3.04,-,5.82,-,2.55,-,10.88,Upgrade
10,Other Current Assets,6.25,34.57,5.63,53.09,290.96,59.99,13.21,43.67,70.63,119.22,Upgrade
11,Total Current Assets,594.87,587.76,683.95,689.5,949.71,780.68,746.34,782.8,2258,2010,Upgrade
12,"Property, Plant & Equipment",535.49,574.41,582.23,801.17,901.94,1110,986.4,987.64,1167,1162,Upgrade
13,Goodwill,253.38,253.42,253.33,301.26,302.35,358.78,358.44,404.27,433.07,433.6,Upgrade
14,Other Intangible Assets,233.25,249.36,257.93,262.32,277.4,271.57,331.37,276.74,321.63,293.91,Upgrade
15,Long-Term Deferred Tax Assets,0.16,0.16,0.16,0.16,0.17,0.23,0.19,0.19,0.18,0.08,Upgrade
16,Long-Term Deferred Charges,1.9,2.17,1.48,6.48,0.63,7.13,1.16,46.26,2.19,43.48,Upgrade
17,Other Long-Term Assets,72.84,60.06,48.3,59.56,26.9,30.45,30.25,44.39,55.8,56.67,Upgrade
18,Total Assets,1692,1727,1827,2120,2459,2559,2454,2542,4239,4000,Upgrade
19,Accounts Payable,6.92,6.67,8.76,21.4,26.62,39.27,52.86,59.4,314.56,451.06,Upgrade
