,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2618,1906,1506,1980,2408,2664,3227,2533,2115,1827,2686,2718,3386,2278,-,-,-,-,-,-
1,Market Cap Growth,-28.48%,-28.48%,-53.33%,-21.85%,13.85%,45.82%,20.16%,-6.78%,-37.54%,-19.79%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2490,1744,1263,1699,2127,2361,2966,2261,1843,1587,2472,2325,2994,2002,-,-,-,-,-,-
3,Last Close Price,14.04,10.22,8.10,10.51,12.79,14.15,17.12,13.35,11.15,9.63,14.16,14.25,17.76,11.94,-,-,-,-,-,-
4,PE Ratio,66.70,49.76,34.81,50.53,69.32,348.15,413.95,595.90,-,117.11,127.31,66.45,66.52,33.49,-,-,-,-,-,-
5,PS Ratio,3.73,2.78,2.14,2.75,3.48,4.19,5.40,4.74,3.85,3.19,4.33,4.03,5.06,3.21,-,-,-,-,-,-
6,PB Ratio,3.92,2.82,2.26,2.97,3.68,4.08,4.97,3.93,3.33,2.75,4.10,4.10,5.16,3.47,-,-,-,-,-,-
7,P/TBV Ratio,3.25,3.25,2.61,3.42,4.27,4.73,5.77,4.57,3.89,3.19,4.75,4.72,5.69,3.54,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,59.65,-,39.61,-,-180.01,-28.88,-22.99,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,28.22,28.22,23.21,-,19.89,25.94,25.71,20.35,107.47,266.63,-56.31,-,-159.95,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.63,2.54,1.80,2.36,3.07,3.71,4.97,4.23,3.36,2.77,3.98,3.45,4.47,2.83,-,-,-,-,-,-
11,EV/EBITDA Ratio,51.92,35.00,22.12,30.01,39.99,606.65,304.06,-5166.28,-,96.81,115.44,47.94,-,21.47,-,-,-,-,-,-
12,EV/EBIT Ratio,82.98,51.08,30.75,42.31,58.45,-178.39,-405.34,-133.15,-,-45515.66,-,70.39,-,25.21,-,-,-,-,-,-
13,EV/FCF Ratio,-19.08,-,-,-,52.68,-,36.40,-,-156.86,-25.08,-21.16,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.11,0.11,0.05,0.04,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,1.62,2.34,0.67,0.39,0.05,0.07,0.07,0.06,-,0.05,0.59,0.21,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,-,0.08,-,0.04,-,-0.41,-0.07,-0.04,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.64,0.72,0.69,0.87,0.83,0.92,0.66,0.67,0.68,0.62,0.71,0.74,0.92,-,-,-,-,1.26,-,
18,Inventory Turnover,2.41,2.25,2.71,2.22,2.87,2.40,2.91,1.76,2.40,1.66,1.97,2.01,2.64,2.37,-,-,-,-,4.11,-
