,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,161.45,166.87,162.62,175.11,184.22,178.19,135.11,106.98,165.37,95.87,149.25,141.43,186.07,175.71,144.88,197.05,149.14,192.28,192.28
1,Other Revenue,-3.55,3.55,-,19.65,-8.47,8.47,-,31.5,-28.44,28.44,-,21.54,-2.09,2.09,-,4.96,-2.32,1.16,1.16
2,Revenue,157.89,170.42,162.62,194.76,175.75,186.65,135.11,138.48,136.93,124.31,149.25,162.97,183.97,177.8,144.88,202.01,146.81,193.44,193.44
3,Revenue Growth (YoY),-10.16%,-8.70%,20.36%,40.64%,28.35%,50.15%,-9.47%,-15.03%,-25.57%,-30.08%,3.02%,-19.32%,25.31%,-8.09%,-25.11%,-,-,-,-
4,Cost of Revenue,82.99,100.56,86.13,117.62,94.36,108.89,69.69,99.3,70.35,90.18,95.45,120.08,95.58,106.6,81.92,135.59,71.16,127.09,127.09
5,Gross Profit,74.9,69.87,76.49,77.15,81.39,77.76,65.42,39.18,66.58,34.14,53.79,42.9,88.39,71.2,62.96,66.42,75.66,66.34,66.34
6,"Selling, General & Admin",59.48,51.98,52.95,65.23,56.47,60.38,47,54.23,40.65,39.81,39.7,42.56,53.08,39.38,36.18,36.53,49.81,32.95,32.95
7,Research & Development,9.53,9.16,8.11,9.94,9.37,10.28,8.29,9.8,8.29,8.62,9.44,12.43,8.37,9.7,8.04,16.03,5.7,7.39,7.39
8,Other Operating Expenses,0.27,0.89,-0.65,-3.67,0.96,1.08,-1.5,15.45,-2.39,-11.59,0.23,5.27,0.77,-2.56,0.42,4.56,-0.19,0.43,0.43
