,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,89293,96822,60748,53491,122812,155177,20177,121845,137520,284832,227403,173086,105336,215093,175171,180887,201901,128068,58521,160310,Upgrade
1,Short-Term Investments,200000,160000,175000,170000,255000,244000,305000,313000,257650,222650,272650,352650,302650,322650,380650,402650,382650,522650,542650,624650,Upgrade
2,Accounts Receivable,48643,80531,167438,53190,51210,154756,293991,88446,244386,179770,83768,13005,438226,86696,290279,256841,85193,89119,76418,231945,Upgrade
3,Other Receivables,9302,10006,9849,17972,32192,10546,9672,56250,18407,6900,5721,6984,12980,10331,18039,16248,22431,12439,24960,12078,Upgrade
4,Inventory,151006,156260,161145,163376,166546,165738,169713,107293,106484,107774,104031,106522,106516,105121,105540,109234,114851,180296,176095,177534,Upgrade
5,Prepaid Expenses,801.9,2180,751.21,391.11,580.3,360.67,158.58,165.05,406.54,134.97,126.55,172.5,568.91,167.28,158.84,150.71,617.33,193.25,95.19,152.16,Upgrade
6,Loans Receivable Current,-,-,-,-,-,1.26,-,-,-,1.26,-,-,-,1.26,-,1.26,-,1.26,-,1.26,Upgrade
7,Other Current Assets,12464,12867,16309,17879,21690,28279,22050,25601,20457,24150,32437,36521,3456,39728,16679,3598,11951,6582,2518,8789,Upgrade
8,Total Current Assets,511510,518667,591240,476299,650032,758857,820762,712600,785310,826211,726137,688940,969732,779787,986517,969610,819594,939348,881258,1215460,Upgrade
9,"Property, Plant & Equipment",232303,249683,264614,278245,291879,298968,298343,311649,324984,320771,321567,331827,328496,312758,263638,260248,270323,275937,283361,293131,Upgrade
10,Other Intangible Assets,1605,1759,1914,2069,2227,2407,2586,2768,2954,1853,1958,2064,2170,2275,2381,2486,2592,2698,2803,2871,Upgrade
11,Long-Term Investments,447251,447251,447251,447251,447251,447251,357251,415251,415251,468251,533251,541251,541251,537205,537205,543027,543027,538373,538373,357251,Upgrade
12,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2176,2176,-,Upgrade
13,Other Long-Term Assets,64716,62874,64568,64528,66016,68811,71016,73797,70903,73692,75881,66357,67711,69501,70970,72575,74024,1103,1322,1628,Upgrade
14,Total Assets,1257385,1280235,1369588,1268392,1457404,1576293,1549958,1516065,1599402,1690778,1658795,1630439,1909360,1701526,1860711,1847946,1709560,1759634,1709292,1870340,Upgrade
15,Accounts Payable,39059,17257,116208,1106,6655,13571,28689,2275,79031,45783,50897,58131,294382,34232,8318,4838,62781,18182,9998,194938,Upgrade
16,Accrued Expenses,18654,12957,14741,4708,16525,38910,12597,13121,24109,31042,76810,4770,27085,74645,260620,219549,21594,64661,35115,8376,Upgrade
17,Current Portion of Long-Term Debt,45155,48929,48229,48179,48879,64205,47029,47329,49154,40145,45093,47567,48241,48416,52615,52665,54964,51215,50753,50953,Upgrade
18,Current Income Taxes Payable,-,-,-,-,-,-,-,-,-,15000,-,-,2910,2321,-,937.69,114.9,-,8484,1251,Upgrade
19,Other Current Liabilities,8427,37235,27471,18523,36729,78723,23006,6480,7512,96503,5913,6061,7437,72183,5675,5746,10388,72063,72269,6528,Upgrade
20,Total Current Liabilities,111296,116378,206649,72516,108788,195409,111321,69205,159806,228472,178713,116529,380055,231798,327227,283736,149841,206120,176619,262046,Upgrade
21,Long-Term Debt,90311,122322,120572,144537,146636,167589,164603,189317,196614,201062,214669,250653,254027,280178,295634,322722,336516,340114,329894,356669,Upgrade
22,Total Liabilities,201607,238699,327222,217053,255424,362998,275924,258522,356420,429534,393382,367182,634082,511976,622860,606458,486356,546235,506512,618716,Upgrade
23,Common Stock,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,604856,Upgrade
24,Additional Paid-In Capital,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,Upgrade
25,Retained Earnings,423568,409325,410156,419129,569770,581084,641824,625332,610772,628855,633024,630869,642889,557162,605461,609099,590814,581010,570391,619263,Upgrade
26,Comprehensive Income & Other,19794,19794,19794,19794,19794,19794,19794,19794,19794,19973,19973,19973,19973,19973,19973,19973,19973,19973,19973,19945,Upgrade
27,Shareholders' Equity,1055778,1041535,1042366,1051339,1201981,1213294,1274034,1257542,1242982,1261244,1265413,1263258,1275278,1189551,1237850,1241488,1223203,1213399,1202780,1251625,Upgrade
28,Total Liabilities & Equity,1257385,1280235,1369588,1268392,1457404,1576293,1549958,1516065,1599402,1690778,1658795,1630439,1909360,1701526,1860711,1847946,1709560,1759634,1709292,1870340,Upgrade
29,Total Debt,135466,171250,168801,192716,195515,231794,211633,236647,245768,241207,259762,298220,302268,328594,348248,375386,391479,391329,380647,407622,Upgrade
30,Net Cash (Debt),153827,85572,66946,30775,182298,167383,113544,198198,149402,266274,240291,227517,105717,209148,207573,208151,193071,259389,220525,377338,Upgrade
31,Net Cash Growth,-15.62%,-48.88%,-41.04%,-84.47%,22.02%,-37.14%,-52.75%,-12.89%,41.32%,27.31%,15.76%,9.30%,-45.24%,-19.37%,-5.87%,-44.84%,96.50%,9.93%,-18.59%,20.20%,Upgrade
32,Net Cash Per Share,2543.20,1414.75,1106.81,508.79,3013.90,2767.32,1877.21,3276.78,2470.04,4402.28,3972.70,3761.50,1747.81,3457.82,3431.78,3441.33,3192.02,4288.44,3645.91,-,Upgrade
33,Filing Date Shares Outstanding,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,-,Upgrade
34,Total Common Shares Outstanding,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,-,Upgrade
35,Working Capital,400214,402290,384591,403783,541244,563448,709440,643395,625504,597739,547424,572412,589677,547989,659290,685874,669753,733228,704639,953414,Upgrade
36,Book Value Per Share,17455.03,17219.56,17233.29,17381.64,19872.18,20059.23,21063.42,20790.77,20550.05,20851.97,20920.90,20885.26,21083.99,19666.67,20465.20,20525.35,20223.05,20060.96,19885.39,-,Upgrade
37,Tangible Book Value,1054174,1039776,1040452,1049270,1199754,1210888,1271448,1254774,1240028,1259391,1263455,1261194,1273108,1187275,1235469,1239002,1220611,1210701,1199977,1248754,Upgrade
38,Tangible Book Value Per Share,17428.50,17190.47,17201.65,17347.44,19835.36,20019.44,21020.67,20745.01,20501.21,20821.34,20888.52,20851.14,21048.12,19629.06,20425.84,20484.24,20180.20,20016.36,19839.05,-,Upgrade
39,Buildings,-,99296,99296,99296,99296,99296,99296,99296,99296,99296,99296,99296,99296,99296,99679,99679,-,99679,99679,99679,Upgrade
40,Machinery,-,2681360,2681360,2681360,2682310,2668841,2660971,2660971,2661871,2644798,2573043,2572081,2557539,2531652,2531652,2518096,-,2514065,2514322,2513268,Upgrade
