,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,737924,725827,786313,837726,898211,961721,837726,946600,777240,846798,1058498,1010110,1094789,1076644,1067571,1016158,895187,880065,858896,880065,665342,Upgrade
1,Market Cap Growth,-24.53%,-24.53%,-6.14%,-11.50%,15.56%,13.57%,-20.86%,-6.29%,-29.01%,-21.35%,-0.85%,-0.60%,22.30%,22.34%,24.30%,15.46%,34.55%,18.29%,12.70%,14.57%,-17.29%,Upgrade
2,Enterprise Value,584097,640255,719367,806951,715914,794338,724182,748401,627838,580524,818207,782593,989072,867495,859998,808007,702116,620677,638371,502727,567084,Upgrade
3,PE Ratio,21.09,20.75,-,19.77,13.46,13.39,33.76,9.51,9.03,-,6.52,10.73,-,9.36,25.01,28.97,14.37,12.17,4.79,5.07,3.46,Upgrade
4,PS Ratio,2.06,2.03,2.41,2.83,1.15,1.23,0.96,0.95,1.39,1.65,1.23,1.27,1.11,0.89,1.23,1.16,1.59,1.17,0.56,0.53,0.32,Upgrade
5,PB Ratio,0.70,0.69,0.75,0.80,0.85,0.80,0.69,0.74,0.62,0.68,0.84,0.80,0.87,0.84,0.90,0.82,0.72,0.72,0.71,0.73,0.53,Upgrade
6,P/FCF Ratio,8.71,8.57,6.39,3.78,26.00,17.83,-9.62,-,-4.71,-,-,-,-33.75,-,-,-,-,-,4.56,8.56,23.29,Upgrade
7,P/OCF Ratio,8.54,8.54,6.06,3.46,16.62,10.94,-47.37,-,-10.60,-,-,-,48.51,-,-,-,-,2.82,3.51,-,5.09,Upgrade
8,EV/Sales Ratio,1.63,1.79,2.20,2.73,0.91,1.02,0.83,0.75,1.12,1.13,0.95,0.98,1.00,0.72,0.99,0.92,1.25,0.83,0.42,0.30,0.28,Upgrade
