,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,194,193.33,110.58,77.56,27.83,86.56,164.61,236.02,263.54,297.69
1,Short-Term Investments,8.13,6.87,15.36,20.53,27.35,26.07,17.66,8.75,5.67,4.12
2,Cash & Short-Term Investments,202.14,200.2,125.94,98.09,55.18,112.63,182.28,244.77,269.22,301.82
3,Cash Growth,60.50%,104.09%,128.22%,-12.91%,-69.73%,-53.99%,-32.29%,-18.90%,-15.40%,-2.23%
4,Accounts Receivable,218.62,182.61,252.78,265.33,296.8,245.25,298.71,218.68,173.68,115.83
5,Other Receivables,4.24,3.43,2.48,2.57,1.47,0.82,1.28,1.05,4.91,2.97
6,Receivables,222.85,186.04,255.26,267.9,298.26,246.07,299.99,219.73,178.59,118.8
7,Inventory,15.49,42.54,48,61.29,80.08,76.67,67.05,41.42,38.13,30.96
8,Total Current Assets,440.48,428.78,429.2,427.28,433.53,435.36,549.31,505.92,485.94,451.58
9,"Property, Plant & Equipment",111.88,113.55,116.81,120.97,124.08,129.52,132.82,135.75,103.94,106.05
10,Long-Term Investments,-,-,-,6.71,6.49,6.94,-,-,-,-
11,Long-Term Deferred Tax Assets,2.26,2.23,2.81,1.72,0.88,1.06,1.35,0.58,0.14,0.06
12,Other Long-Term Assets,27.7,28.7,29.8,29.8,30.4,30.4,30.4,30.4,64,64
13,Total Assets,657.51,648.01,655,659.21,664.78,669.13,713.88,672.65,654.01,621.69
14,Accounts Payable,3.95,4.1,6.43,6.97,13.45,10.95,27.84,15.3,14.58,4.25
15,Accrued Expenses,10.8,11.47,12.93,13.82,10.18,11.15,15.29,11.95,11.32,9.4
16,Current Portion of Leases,0.66,0.18,0.22,0.18,0.04,0.1,0.19,0.23,0.2,0.1
17,Current Income Taxes Payable,10.63,10.09,8.78,6.94,8.06,8.06,12.55,8.84,5.11,1.33
18,Current Unearned Revenue,1.28,0.68,0.15,0.08,0.71,0.93,7.77,0.33,2.57,0.03
19,Other Current Liabilities,56.71,48.43,44.69,45.41,44.95,39.1,42.58,33.47,30.84,35.6
20,Total Current Liabilities,84.03,74.95,73.2,73.4,77.39,70.29,106.21,70.11,64.62,50.7
21,Long-Term Leases,0.37,0.02,0.1,0.17,-,-,0.02,0.1,0.13,0.07
22,Long-Term Unearned Revenue,0.02,0.03,0.06,0.08,0.11,0.12,0.09,0.11,0.12,0.13
23,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,0.1
24,Other Long-Term Liabilities,45.44,46.53,58.45,53.52,63.33,59.38,63.93,56.46,59.67,55.8
25,Total Liabilities,129.85,121.53,131.81,127.16,140.83,129.79,170.25,126.78,124.54,106.81
26,Common Stock,41.01,41.16,41.25,41.76,41.87,41.87,42.15,44.27,43.63,43.63
27,Additional Paid-In Capital,7.9,7.9,7.9,7.9,7.9,7.9,7.8,6.14,-,-
28,Retained Earnings,250.44,243.69,236.74,232.23,222.02,220.07,216.51,194.71,175.78,155.73
29,Treasury Stock,-0.04,-0.11,-,-0.55,-,-0.03,-0.15,-5.02,-,-
30,Comprehensive Income & Other,228.34,233.84,237.31,250.7,252.16,269.52,277.31,305.77,310.07,315.52
31,Shareholders' Equity,527.66,526.48,523.2,532.04,523.95,539.33,543.63,545.87,529.48,514.88
32,Total Liabilities & Equity,657.51,648.01,655,659.21,664.78,669.13,713.88,672.65,654.01,621.69
33,Total Debt,1.02,0.21,0.32,0.35,0.04,0.1,0.21,0.33,0.33,0.18
34,Net Cash (Debt),201.12,199.99,125.62,97.74,55.14,112.53,182.06,244.44,268.88,301.64
35,Net Cash Growth,60.10%,104.61%,127.82%,-13.14%,-69.71%,-53.96%,-32.29%,-18.96%,-15.45%,2.06%
36,Net Cash Per Share,0.49,0.49,0.30,0.23,0.13,0.27,0.43,0.56,0.62,0.69
37,Filing Date Shares Outstanding,410.01,411.37,412.47,416.4,418.65,418.65,421.3,436.83,436.33,436.33
38,Total Common Shares Outstanding,410.01,411.37,412.47,416.4,418.65,418.65,421.3,436.83,436.33,436.33
39,Working Capital,356.45,353.83,356,353.89,356.14,365.07,443.1,435.81,421.32,400.88
40,Book Value Per Share,1.29,1.28,1.27,1.28,1.25,1.29,1.29,1.25,1.21,1.18
41,Tangible Book Value,527.66,526.48,523.2,532.04,523.95,539.33,543.63,545.87,529.48,514.88
42,Tangible Book Value Per Share,1.29,1.28,1.27,1.28,1.25,1.29,1.29,1.25,1.21,1.18
43,Buildings,-,146.57,-,147.95,-,149.89,-,148.84,-,112.79
44,Machinery,-,31.91,-,32.53,-,33.59,-,31.36,-,29.26
45,Leasehold Improvements,-,5.56,-,5.58,-,5.61,-,5.6,-,5.13
46,Order Backlog,815.2,-,-,-,-,-,-,-,-,-
