,Fiscal Quarter,Q4 2024,Q4 2023,Q1 2018,Q1 2017
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Mar '18 Mar 31, 2018","Mar '17 Mar 31, 2017"
0,Revenue,1446437,1423496,167318,215641
1,Cost of Revenue,1242456,1205708,121193,158979
2,Gross Profit,203981,217787,46125,56661
3,"Selling, General & Admin",27625,34275,10615,11584
4,Operating Expenses,27625,34275,10615,11584
5,Operating Income,176355,183512,35511,45077
6,Interest Expense,-27740,-55330,-14650,-13361
7,Interest & Investment Income,4056,5616,3121,1222
8,Other Non Operating Income (Expenses),-6002,-144.14,6885,3899
9,EBT Excluding Unusual Items,146670,133654,30867,36838
10,Gain (Loss) on Sale of Assets,-,-,180.36,-
11,Pretax Income,146670,133654,31047,36838
12,Income Tax Expense,16511,18860,1687,2276
13,Earnings From Continuing Operations,130159,114793,29360,34562
14,Minority Interest in Earnings,-33531,-30806,-9220,-10227
15,Net Income,96628,83987,20140,24335
16,Net Income to Common,96628,83987,20140,24335
17,Shares Outstanding (Basic),63,63,63,56
18,Shares Outstanding (Diluted),63,63,63,56
19,EPS (Basic),1533.78,1333.14,319.69,433.91
20,EPS (Diluted),1533.78,1333.00,319.69,433.91
21,Free Cash Flow,-,-,-435462,-198060
22,Free Cash Flow Per Share,-,-,-6912.10,-3531.56
23,Dividend Per Share,-,1000.000,-,-
24,Gross Margin,14.10%,15.30%,27.57%,26.28%
25,Operating Margin,12.19%,12.89%,21.22%,20.90%
26,Profit Margin,6.68%,5.90%,12.04%,11.28%
27,Free Cash Flow Margin,-,-,-260.26%,-91.85%
28,EBITDA,212878,-,51502,61370
29,EBITDA Margin,14.72%,-,30.78%,28.46%
30,D&A For EBITDA,36523,-,15991,16293
31,EBIT,176355,183512,35511,45077
32,EBIT Margin,12.19%,12.89%,21.22%,20.90%
33,Effective Tax Rate,11.26%,14.11%,5.43%,6.18%
34,Revenue as Reported,1446437,1423496,167318,215641
