,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,719.5,709.9,717.83,602.03,540.92,313.04,207.25,218.54,180.68,202.35
1,Revenue Growth (YoY),0.23%,17.92%,32.71%,92.32%,161.00%,43.25%,14.71%,8.00%,-13.36%,-3.25%
2,Cost of Revenue,566.88,590.7,597.68,523.31,468.76,198.06,108,104.91,99.98,112.93
3,Gross Profit,152.62,119.21,120.15,78.72,72.16,114.98,99.25,113.63,80.7,89.42
4,"Selling, General & Admin",49.8,82.55,49.83,59.95,35.55,75.98,21.9,22.4,29.51,30.82
5,Other Operating Expenses,-10.3,-110.5,0.12,-16.71,35.37,-2.33,20.23,-58.22,-4.3,-24.09
6,Operating Expenses,39.5,-27.95,49.96,43.25,70.92,73.66,42.13,-35.83,25.21,6.73
7,Operating Income,113.12,147.16,70.2,35.48,1.24,41.33,57.12,149.45,55.5,82.69
8,Interest Expense,-1.37,-1.54,-1.3,-3.25,-1.66,-0.41,-5.68,-2.06,-11,-8.58
9,Interest & Investment Income,3.89,5.76,3.98,5.06,3.93,3.04,3.7,8.51,9.92,7.34
10,Currency Exchange Gain (Loss),-,-0.3,-,1.44,4.17,-6.34,-7.01,-45.96,11.21,10.51
11,Other Non Operating Income (Expenses),-53.58,0.16,128.25,0.24,-0.3,-1.15,-0.18,-6.5,-0.09,-9.86
12,EBT Excluding Unusual Items,62.06,151.24,201.13,38.97,7.38,36.47,47.95,103.44,65.52,82.1
13,Impairment of Goodwill,-,-,-,-,-362.82,-9.27,-132.01,-,-467.08,-
14,Gain (Loss) on Sale of Investments,0.68,0.25,1.98,2.25,3.48,4,1.76,1.77,0.78,0.85
15,Gain (Loss) on Sale of Assets,-,-0.06,-,-0.65,-,-0.14,-,-2.23,-,-0.33
16,Asset Writedown,-,-,-,-,-97.46,-,-410.71,-,-201.14,-
17,Other Unusual Items,-1.29,-136.2,-2.14,-121.63,-2.14,12.84,-,63.1,-,-
18,Pretax Income,61.45,15.23,200.97,-81.07,-451.56,43.9,-493,166.09,-601.91,82.63
19,Income Tax Expense,35.95,24.8,23.06,10.24,-14.27,-4.13,-82.58,20.17,-34.92,8.11
20,Earnings From Continuing Operations,25.5,-9.57,177.92,-91.3,-437.29,48.03,-410.42,145.92,-566.99,74.52
21,Minority Interest in Earnings,-44.22,-36.96,-51.7,47.65,-,12.37,69.32,-14.86,31.59,-5.65
22,Net Income,-18.72,-46.53,126.22,-43.66,-437.29,60.4,-341.1,131.06,-535.4,68.87
23,Preferred Dividends & Other Adjustments,-,-51.7,-,9.73,-9.73,-,-,-,-,-
24,Net Income to Common,-18.72,5.17,126.22,-53.39,-427.56,60.4,-341.1,131.06,-535.4,68.87
25,Net Income Growth,-,-,-,-,-,-53.92%,-,90.30%,-,-
26,Shares Outstanding (Basic),137,137,138,138,138,138,138,138,138,138
27,Shares Outstanding (Diluted),137,201,203,138,138,138,138,138,138,203
28,Shares Change (YoY),-32.42%,45.76%,46.81%,-,-,-,-,-31.89%,-31.86%,46.99%
29,EPS (Basic),-0.14,0.04,0.91,-0.39,-3.09,0.44,-2.47,0.95,-3.87,0.50
30,EPS (Diluted),-0.14,0.04,-0.02,-0.39,-3.09,0.44,-2.47,0.95,-3.87,0.22
31,EPS Growth,-,-,-,-,-,-53.91%,-,325.45%,-,-
32,Free Cash Flow,45.92,13.44,58.33,120.31,7.25,32.43,88.23,59.35,15.12,61.68
33,Free Cash Flow Per Share,0.33,0.07,0.29,0.87,0.05,0.23,0.64,0.43,0.11,0.30
34,Operating Margin,15.72%,20.73%,9.78%,5.89%,0.23%,13.20%,27.56%,68.39%,30.72%,40.87%
35,Profit Margin,-2.60%,0.73%,17.58%,-8.87%,-79.04%,19.29%,-164.59%,59.97%,-296.33%,34.04%
36,Free Cash Flow Margin,6.38%,1.89%,8.13%,19.98%,1.34%,10.36%,42.57%,27.16%,8.37%,30.48%
37,EBITDA,144.57,173.02,103.2,62.86,32.59,58.67,77.52,168.41,76.08,103.27
38,D&A For EBITDA,31.45,25.86,33,27.38,31.35,17.35,20.4,18.96,20.58,20.58
39,EBIT,113.12,147.16,70.2,35.48,1.24,41.33,57.12,149.45,55.5,82.69
