,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,208.54,230.24,430.32,473.39,277.32,338.93,-,300.9,-,35.41,35.41,208.98,208.98,67.82,67.82
1,Trading Asset Securities,241.57,250.85,150.3,253.8,252.35,250.61,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,450.12,481.08,580.62,727.19,529.67,589.55,300.9,300.9,-,35.41,35.41,208.98,208.98,67.82,67.82
3,Cash Growth,-15.02%,-18.40%,92.96%,141.67%,-,1564.85%,749.73%,43.98%,-,-47.79%,-47.79%,-,-,-,-
4,Accounts Receivable,2525,2379,2078,2369,2309,2138,-,2073,-,1387,1387,1609,1609,1270,1270
5,Other Receivables,10.33,11.9,16.77,14.84,14.68,12.45,-,11.92,-,9.09,9.09,13.76,13.76,35.3,35.3
6,Receivables,2535,2390,2095,2384,2324,2151,-,2085,-,1396,1396,1623,1623,1305,1305
7,Inventory,121.22,113.51,93.39,75.51,117.71,99.68,-,85.82,-,117.63,117.63,78.95,78.95,78.77,78.77
8,Other Current Assets,54.74,52.07,50.94,35.06,34.71,33.21,-,15.59,-,44.26,44.26,27.68,27.68,30.22,30.22
9,Total Current Assets,3161,3037,2820,3221,3006,2873,-,2487,-,1593,1593,1939,1939,1482,1482
10,"Property, Plant & Equipment",155.35,156.13,156.43,158.58,160.56,157.82,-,163.57,-,173.01,173.01,171.83,171.83,176.34,176.34
11,Other Intangible Assets,36.82,37.05,37.28,37.51,37.76,37.98,-,38.44,-,38.9,38.9,39.37,39.37,39.83,39.83
12,Long-Term Deferred Tax Assets,33.1,32.18,29.29,33.08,33.45,28.58,-,29.83,-,21.47,21.47,25.63,25.63,20.72,20.72
13,Long-Term Deferred Charges,2.17,2.12,1.25,2.23,1.44,1.51,-,1.64,-,1.43,1.43,-,-,-,-
14,Other Long-Term Assets,-,-,-,0.18,-,-,-,-,-,-,-,0.96,0.96,2.18,2.18
15,Total Assets,3389,3265,3044,3453,3239,3099,-,2720,-,1828,1828,2177,2177,1721,1721
16,Accounts Payable,1522,1397,1347,1629,1567,1312,-,1304,-,706.1,706.1,1231,1276,883.47,883.47
17,Accrued Expenses,14.6,26,8.46,45.84,14.58,32.94,-,35.74,-,16.04,16.04,42.27,29.02,22.9,22.9
18,Short-Term Debt,441.21,413.98,363.51,386.84,335.62,415.89,-,235.49,-,208.64,208.64,340.46,340.46,334.49,334.49
19,Current Portion of Long-Term Debt,1.76,-,1.72,4.1,2.08,-,-,8.48,-,-,-,-,2.04,-,-
20,Current Portion of Leases,-,1.74,-,2.1,-,2.05,-,3.44,-,2.64,2.64,2.04,-,2.07,2.07
21,Current Income Taxes Payable,3.65,2.2,2.12,2.58,3.68,2.52,-,13.49,-,0.03,0.03,6,6,6.13,6.13
22,Current Unearned Revenue,88.66,42.26,55.92,82.6,87.61,79.14,-,139.53,-,65.08,65.08,65.56,65.56,42.44,42.44
23,Other Current Liabilities,22.13,127.63,1.09,45.11,21.64,33.53,-,38.2,-,18.1,18.1,41.31,9.3,19.77,19.77
24,Total Current Liabilities,2094,2011,1779,2198,2032,1878,-,1779,-,1017,1017,1729,1729,1311,1311
25,Long-Term Debt,78.61,58.61,59.61,97.45,90.93,119.97,-,374.8,-,309.94,309.94,-,-,-,-
26,Long-Term Leases,3.22,3.2,3.18,5.84,7.84,7.75,-,6.33,-,10.65,10.65,6.95,6.95,7.58,7.58
27,Long-Term Deferred Tax Liabilities,0.79,0.75,1.88,1.83,0.35,0.09,-,-,-,-,-,-,-,-,-
28,Other Long-Term Liabilities,7.81,7.6,7.02,7.02,6.55,5.96,-,5.05,-,3.94,3.94,3.38,3.38,2.35,2.35
29,Total Liabilities,2184,2081,1851,2310,2138,2012,-,2165,-,1341,1341,1739,1739,1321,1321
30,Common Stock,182.93,182.93,130.67,130.67,130.67,130.67,-,98,-,98,98,98,98,98,98
