,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2078,2021,1866,2085,2564,2562,2536,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-21.11%,-21.11%,-26.43%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2153,2018,1713,1992,2470,2518,2864,-,-,-,-,-,-,-,-,-
3,Last Close Price,11.36,11.05,10.20,11.25,13.82,13.82,13.68,-,-,-,-,-,-,-,-,-
4,PE Ratio,14.09,15.56,15.14,18.61,20.16,19.09,18.16,-,-,-,-,-,-,-,-,-
5,PS Ratio,0.87,0.96,0.85,0.96,1.16,1.06,1.08,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.73,1.68,1.58,1.75,2.24,2.33,2.33,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.73,1.73,1.63,1.80,2.32,2.41,2.42,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,49.75,29.91,109.92,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,31.89,21.62,48.91,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.02,0.95,0.78,0.92,1.12,1.04,1.22,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,13.80,13.12,10.98,12.15,14.39,12.55,14.78,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,15.49,14.50,12.12,13.39,15.78,13.57,16.03,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-24.09,-,-,-,47.94,29.40,124.12,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.44,0.44,0.40,0.36,0.43,0.40,0.50,1.13,1.13,-,1.09,1.09,0.80,0.80,0.86,0.86
15,Debt / EBITDA Ratio,3.36,5.01,3.38,2.23,2.60,3.84,3.23,2.82,2.12,-,3.94,3.94,3.08,3.08,2.22,2.22
16,Debt / FCF Ratio,-,-,-,-,9.63,5.09,23.65,-,-2.89,-,-,-,-40.23,-3.81,-,-
17,Asset Turnover,0.63,0.72,0.53,0.71,0.76,-,-,-,-,0.68,0.62,1.04,1.16,1.09,-,
18,Inventory Turnover,15.16,15.54,18.87,16.93,21.08,18.84,-,-,-,-,8.95,10.71,24.75,24.78,20.27,-
19,Quick Ratio,1.43,1.43,1.43,1.50,1.42,1.40,1.46,-,1.34,-,1.41,1.41,1.06,1.06,1.05,1.05
20,Current Ratio,1.51,1.51,1.51,1.58,1.47,1.48,1.53,-,1.40,-,1.57,1.57,1.12,1.12,1.13,1.13
21,Return on Equity (ROE),6.94%,5.62%,17.16%,15.11%,5.13%,2.70%,46.98%,-,-,20.12%,21.19%,17.20%,17.97%,25.68%,-,
22,Return on Assets (ROA),1.70%,2.42%,3.41%,3.11%,1.95%,-,-,-,-,4.12%,3.76%,2.69%,3.00%,5.26%,-,
23,Return on Capital (ROIC),3.33%,4.65%,6.80%,6.55%,3.90%,6.75%,11.01%,-,-,7.40%,8.35%,7.43%,7.63%,12.18%,-,
24,Return on Capital Employed (ROCE),10.74%,10.74%,11.27%,11.76%,12.47%,15.38%,14.64%,-,15.80%,-,13.20%,13.95%,26.62%,21.40%,17.69%,8.84%
25,Earnings Yield,6.25%,6.43%,6.60%,5.37%,4.96%,5.24%,5.51%,-,-,-,-,-,-,-,-,-
26,FCF Yield,-4.30%,-4.42%,-1.60%,8.33%,2.01%,3.34%,0.91%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.25%,-,-,-,1.03%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,30.54%,88.99%,83.65%,7.64%,8.14%,36.41%,124.25%,8.84%,14.01%,35.09%,19.07%,19.07%,23.23%,23.23%,16.77%,16.77%
29,Buyback Yield / Dilution,-2.71%,0.48%,44.43%,-35.43%,-31.85%,-34.38%,-22.96%,0.58%,-1.76%,0.68%,0.08%,0.08%,-,-,-,-
30,Total Shareholder Return,-1.45%,0.48%,44.43%,-35.43%,-30.81%,-34.38%,-22.96%,0.58%,-1.76%,0.68%,0.08%,0.08%,-,-,-,-
