,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,528.87,564.63,428.8,584.78,601.17,544.37,471.37,803.88,514.42,309.56,309.56,562.97,562.97,467.83,467.83
1,Other Revenue,-2.42,2.42,-,8.14,-2.85,2.85,-,6.17,-,-,-,2.69,2.69,0.25,0.25
2,Revenue,526.45,567.04,428.8,592.91,598.32,547.23,471.37,810.05,514.42,309.56,309.56,565.66,565.66,468.08,468.08
3,Revenue Growth (YoY),-12.01%,3.62%,-9.03%,-26.80%,16.31%,76.77%,52.27%,43.20%,-9.06%,-33.87%,-33.87%,-,-,-,-
4,Cost of Revenue,455.88,488.08,357.53,509.16,512.04,474.67,386.65,665.46,433.32,263.13,263.13,488.49,488.49,399.23,399.23
5,Gross Profit,70.57,78.97,71.27,83.75,86.28,72.55,84.73,144.59,81.1,46.43,46.43,77.17,77.17,68.85,68.85
6,"Selling, General & Admin",14.52,16.99,16.34,20.43,15.59,16.97,17.65,17.38,19.24,15.54,15.54,17.68,17.68,17.24,17.24
7,Research & Development,19.31,22.56,19.22,22.08,21.56,23.72,15.54,20.95,21.44,12.03,12.03,18.15,18.15,16.46,16.46
8,Other Operating Expenses,1.84,1.4,1.99,1.79,1.71,1.14,1.31,2.44,0.63,0.98,0.98,1.23,1.23,1.3,1.3
9,Operating Expenses,48.01,48.41,26.9,42.1,61.52,34.52,32.58,73.93,63.24,16.28,16.28,53.79,53.79,32.6,32.6
10,Operating Income,22.56,30.56,44.37,41.65,24.76,38.03,52.15,70.66,17.85,30.15,30.15,23.38,23.38,36.25,36.25
11,Interest Expense,-4.53,-3.84,-3.3,-3.39,-5,-6.99,-5.57,-7.71,-6.14,-4.71,-4.71,-3.37,-5.51,-4.31,-4.31
12,Interest & Investment Income,-,1.03,0.47,0.39,0.31,0.38,0.23,0.04,0.09,0.09,0.09,0.12,0.12,0.15,0.15
13,Other Non Operating Income (Expenses),-0.89,0.2,-0.38,0.16,1.09,-0.24,-1.32,-5.41,1.27,-0.91,-0.91,-1.36,0.78,-1.55,-1.55
14,EBT Excluding Unusual Items,17.14,27.94,41.15,38.81,21.16,31.18,45.49,57.59,13.08,24.63,24.63,18.78,18.78,30.53,30.53
15,Gain (Loss) on Sale of Investments,0.64,0.78,0.06,-2.98,1.73,0.61,-,-,-,-,-,-,-,-,-
