,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,347.22,430.32,693.54,778.41,907.2,1020,310.75,419.83,-,-,-
1,Short-Term Investments,-,-,-,-,-,-,2.33,-,-,-,-,-
2,Trading Asset Securities,-,110.14,118.13,165.12,206.13,0.13,-,0.05,0.14,-,-,-
3,Cash & Short-Term Investments,457.36,457.36,548.45,858.66,984.54,907.33,1022,310.8,419.97,-,-,338.98
4,Cash Growth,-53.55%,-49.59%,-46.33%,176.28%,134.43%,-,-,-8.31%,-,-,-,-
5,Accounts Receivable,-,699.97,669.24,728,647.68,621.72,569.93,658.16,642.58,-,-,-
6,Other Receivables,-,9.21,6.59,6.47,3.04,7.19,1.01,1.46,0.99,-,-,-
7,Receivables,-,709.18,675.83,734.47,650.72,628.91,570.94,659.62,643.57,-,-,-
8,Inventory,-,302.15,309.55,264.97,230.74,271.49,256.46,261.18,222.68,-,-,-
9,Other Current Assets,-,7.98,9.35,12.06,5.87,5.62,3.94,15.68,15.17,-,-,-
10,Total Current Assets,-,1477,1543,1870,1872,1813,1853,1247,1301,-,-,-
11,"Property, Plant & Equipment",-,773.97,652.57,586.57,578.01,557.67,535.05,523.58,517.1,-,-,-
12,Long-Term Investments,-,318.85,313.73,14.15,13.6,13.76,14.84,15.61,15.73,-,-,-
13,Other Intangible Assets,-,64.92,65.52,66.88,68.85,61.84,59.45,53.33,54.31,-,-,-
14,Long-Term Deferred Tax Assets,-,26.94,26.54,25.57,26.01,23.1,22.06,8.32,8.58,-,-,-
15,Long-Term Deferred Charges,-,7.19,5.7,4.45,4.48,4.07,4.39,4.51,4.13,-,-,-
16,Other Long-Term Assets,-,6.66,66.47,11.1,6.86,16.1,20.91,17.12,15.78,-,-,-
17,Total Assets,-,2675,2674,2579,2570,2490,2510,1870,1917,-,-,-
18,Accounts Payable,-,585.07,510.66,430.09,350.34,344.66,305.03,304.45,327.85,-,-,-
19,Accrued Expenses,-,4.75,50.45,3.78,22.88,10.35,18.24,16.03,36.94,-,-,-
20,Short-Term Debt,-,32.74,26.11,2.92,7.15,-,5.01,5.01,-,-,-,-
21,Current Portion of Long-Term Debt,-,1.83,15.27,6.88,5.21,0.71,0.01,0.01,0.01,-,-,-
22,Current Portion of Leases,-,-,1.62,-,3.99,-,1.19,2.45,2.29,-,-,-
23,Current Income Taxes Payable,-,5.95,0.07,8.36,0.02,2.83,-,-,-,-,-,-
24,Current Unearned Revenue,-,11.83,6.7,5.78,8.5,5.88,6.56,5.81,6.15,-,-,-
25,Other Current Liabilities,-,72.6,56.45,59.79,111.2,68.65,122.32,95.1,113.82,-,-,-
26,Total Current Liabilities,-,714.77,667.34,517.62,509.29,433.07,458.36,428.86,487.05,-,-,-
27,Long-Term Debt,-,272.05,277.05,287.05,287.05,292.24,292.26,292.26,292.28,-,-,-
28,Long-Term Leases,-,10.35,11.95,9.07,8.8,10.78,6.72,5.15,5.87,-,-,-
29,Long-Term Unearned Revenue,-,216.8,223.95,220.67,228.68,249.76,249.83,241.31,241.35,-,-,-
30,Long-Term Deferred Tax Liabilities,-,3.46,3.54,3.42,3.87,4.24,3.22,3.17,3.21,-,-,-
31,Other Long-Term Liabilities,-,9.23,9.58,8.12,9.04,8.89,9.14,10.09,9.84,-,-,-
32,Total Liabilities,-,1227,1193,1046,1047,998.98,1020,980.84,1040,-,-,-
33,Common Stock,-,460.99,460.99,460.99,460.99,460.99,460.99,391.84,391.84,-,-,-
34,Additional Paid-In Capital,-,800.09,799.66,799.23,798.84,798.45,798.07,293.81,293.43,-,-,-
35,Retained Earnings,-,171.08,201.8,253.14,242.78,210.11,208.06,182.07,170.41,-,-,-
36,Comprehensive Income & Other,-,0.19,0.33,0.3,0.21,-0.68,-0.17,0.13,0.14,-,-,-
37,Total Common Equity,1432,1432,1463,1514,1503,1469,1467,867.85,855.82,-,-,755.35
38,Minority Interest,-,16.2,17.52,19.27,20.13,22.03,23.44,21.05,21.57,-,-,-
39,Shareholders' Equity,1449,1449,1480,1533,1523,1491,1490,888.91,877.4,-,-,761.44
40,Total Liabilities & Equity,-,2675,2674,2579,2570,2490,2510,1870,1917,-,-,-
41,Total Debt,316.97,316.97,332,305.93,312.2,303.73,305.18,304.87,300.45,-,-,211.81
42,Net Cash (Debt),140.39,140.39,216.45,552.73,672.33,603.61,716.7,5.92,119.52,-,-,127.17
43,Net Cash Growth,-79.12%,-76.74%,-69.80%,9229.80%,462.51%,-,-,-95.34%,-,-,-,-
44,Net Cash Per Share,0.27,0.33,0.57,1.07,1.31,1.38,1.97,0.02,0.32,-,-,-
45,Filing Date Shares Outstanding,460.99,460.99,460.99,460.99,460.99,460.99,460.99,391.84,391.84,448.76,378.15,-
46,Total Common Shares Outstanding,460.99,460.99,460.99,460.99,460.99,460.99,460.99,391.84,391.84,448.76,378.15,-
47,Working Capital,-,761.9,875.84,1353,1363,1380,1395,818.42,814.34,-,-,-
48,Book Value Per Share,3.11,3.11,3.17,3.28,3.26,3.19,3.18,2.21,2.18,-,-,2.10
49,Tangible Book Value,1367,1367,1397,1447,1434,1407,1407,814.53,801.52,-,-,699.41
50,Tangible Book Value Per Share,2.97,2.97,3.03,3.14,3.11,3.05,3.05,2.08,2.05,-,-,1.94
51,Buildings,-,-,184.84,-,185.06,-,185.19,185.26,185.15,-,-,-
52,Machinery,-,-,834.3,-,770.55,-,715.05,689.77,664.35,-,-,-
53,Construction In Progress,-,-,98.61,-,44.21,-,23.25,16.6,15.08,-,-,-
