,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,342.68,270.9,252.75,225.51,274.15,205.43,235.37,178.3,271.51,223.4,335.57,147.88
1,Other Revenue,-,-5.78,5.78,-,10.39,-1.57,1.57,-,5.63,-1.39,0.81,0.58
2,Revenue,342.68,265.12,258.53,225.51,284.54,203.86,236.94,178.3,277.14,222.01,336.38,148.45
3,Revenue Growth (YoY),20.43%,30.05%,9.11%,26.48%,2.67%,-8.18%,-29.56%,20.11%,-,-,-,-
4,Cost of Revenue,-622.58,219.74,212.69,190.15,233.87,134.46,175.38,127.15,210.98,152.54,224.65,117.34
5,Gross Profit,965.26,45.38,45.83,35.36,50.67,69.4,61.56,51.15,66.16,69.47,111.74,31.11
6,"Selling, General & Admin",-130.5,46.19,48.58,35.72,41.96,44.16,34.74,27.8,35.34,36.99,37.25,25.22
7,Research & Development,-82.71,31.67,29.93,21.1,25.42,25.37,25.53,17.97,23.11,19.07,23.82,16.87
8,Other Operating Expenses,1163,-30.24,7.44,-21.73,19.58,-10.71,-5.99,-10.86,25.44,-20.47,-17.87,0.19
9,Operating Expenses,944.4,47.14,94.32,32.87,88.6,58.27,58.73,34.81,81.68,33.2,50.66,45.88
10,Operating Income,20.85,-1.76,-48.48,2.5,-37.93,11.13,2.83,16.34,-15.53,36.27,61.08,-14.77
11,Interest Expense,-15.65,-1.62,-2.97,-2.46,-2.83,-2.53,-2.45,-2.41,-2.79,-2.73,-1.91,-1.31
12,Interest & Investment Income,7.05,7.54,1.89,6.21,3.87,5.06,2.01,1.92,1.64,0.51,1.32,0.17
13,Currency Exchange Gain (Loss),-,0.08,-0.08,-,1.06,-1.08,1.08,-,0.64,-0.21,0.13,0.08
14,Other Non Operating Income (Expenses),5.08,-4.95,0.15,-0.16,0.75,-0.57,0.63,-0.87,-2.87,1.58,-0.38,0.17
15,EBT Excluding Unusual Items,17.33,-0.7,-49.49,6.09,-35.08,12.03,4.1,14.99,-18.91,35.41,60.24,-15.65
16,Gain (Loss) on Sale of Investments,-0,0.07,-0,-0.06,-0.63,0.38,-1.24,-0.05,-0.01,-0.02,-0.24,0.12
17,Gain (Loss) on Sale of Assets,-,-,-,-,0.05,-,-,-,0,-,-,-
18,Asset Writedown,10.53,-10.53,-2.85,2.85,7.16,-7.21,3.57,-3.57,7.99,-7.99,-,-
19,Legal Settlements,-,-,-,-,-,-,-,-,-0.01,-,-,-
20,Other Unusual Items,-0.11,-22.11,22.24,-0.02,56,-4.57,4.57,-,32.15,-2.07,-5.68,7.75
21,Pretax Income,27.75,-33.28,-30.1,8.85,27.51,0.63,11.01,11.37,21.22,25.33,54.32,-7.78
22,Income Tax Expense,-7.1,-0.47,-0.78,0.08,-3.26,-0.02,-13.69,0.22,-0.61,2.56,-2,-3.43
23,Earnings From Continuing Operations,34.85,-32.8,-29.31,8.77,30.77,0.65,24.7,11.14,21.83,22.77,56.32,-4.35
24,Minority Interest in Earnings,-4.69,2.08,1.03,1.58,1.9,1.4,1.29,0.52,0.63,0.61,0.29,0.68
25,Net Income,30.16,-30.73,-28.28,10.36,32.67,2.05,25.99,11.66,22.46,23.38,56.61,-3.67
26,Net Income to Common,30.16,-30.73,-28.28,10.36,32.67,2.05,25.99,11.66,22.46,23.38,56.61,-3.67
27,Net Income Growth,-7.68%,-,-,-11.20%,45.43%,-91.22%,-54.10%,-,-,-,-,-
28,Shares Outstanding (Basic),523,431,379,518,512,438,364,389,375,449,378,-
29,Shares Outstanding (Diluted),523,431,379,518,512,438,364,389,375,449,378,-
30,Shares Change (YoY),2.13%,-1.71%,3.93%,33.20%,36.30%,-2.38%,-3.68%,-,-,-,-,-
31,EPS (Basic),0.06,-0.07,-0.07,0.02,0.06,0.00,0.07,0.03,0.06,0.05,0.15,-
32,EPS (Diluted),0.06,-0.07,-0.07,0.02,0.06,0.00,0.07,0.03,0.06,0.05,0.15,-
33,EPS Growth,-9.61%,-,-,-33.33%,6.70%,-91.01%,-52.34%,-,-,-,-,-
34,Free Cash Flow,-,-112.88,-66.73,-105,89.33,-102.44,105.63,-89.94,77.88,48.24,-14.32,-131.3
35,Free Cash Flow Per Share,-,-0.26,-0.18,-0.20,0.17,-0.23,0.29,-0.23,0.21,0.11,-0.04,-
36,Dividend Per Share,-,-,-,-,0.050,-,-,-,-,-,-,-
37,Gross Margin,281.68%,17.12%,17.73%,15.68%,17.81%,34.04%,25.98%,28.69%,23.87%,31.29%,33.22%,20.96%
38,Operating Margin,6.09%,-0.66%,-18.75%,1.11%,-13.33%,5.46%,1.19%,9.17%,-5.60%,16.34%,18.16%,-9.95%
39,Profit Margin,8.80%,-11.59%,-10.94%,4.59%,11.48%,1.01%,10.97%,6.54%,8.11%,10.53%,16.83%,-2.47%
40,Free Cash Flow Margin,-,-42.58%,-25.81%,-46.56%,31.39%,-50.25%,44.58%,-50.45%,28.10%,21.73%,-4.26%,-88.44%
41,EBITDA,42.39,19.78,-25.19,24.03,-16.39,32.15,23.84,37,4.04,68.12,92.93,-8.84
42,EBITDA Margin,12.37%,7.46%,-9.74%,10.66%,-5.76%,15.77%,10.06%,20.75%,1.46%,30.68%,27.63%,-5.95%
43,D&A For EBITDA,21.54,21.54,23.29,21.54,21.54,21.01,21.01,20.66,19.57,31.85,31.85,5.94
44,EBIT,20.85,-1.76,-48.48,2.5,-37.93,11.13,2.83,16.34,-15.53,36.27,61.08,-14.77
45,EBIT Margin,6.09%,-0.66%,-18.75%,1.11%,-13.33%,5.46%,1.19%,9.16%,-5.60%,16.34%,18.16%,-9.95%
46,Effective Tax Rate,-,-,-,0.91%,-,-,-,1.97%,-,10.12%,-,-
47,Revenue as Reported,-,265.12,258.53,225.51,284.54,203.86,236.94,178.3,277.14,222.01,484.84,-
48,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,0.79
