,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,29504,15439,12673,12152,12184,10096,9561,10704,-,-,-,-,-
1,Market Cap Growth,52.92%,52.92%,32.55%,13.52%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,29379,15314,12474,11618,11602,9514,8868,10719,-,-,-,-,-
3,Last Close Price,64.00,33.49,27.49,26.36,26.38,21.86,20.70,23.18,-,-,-,-,-
4,PE Ratio,-,-834.72,-,-,171.45,139.50,153.80,128.21,-,-,-,-,-
5,Forward PE,84.21,66.32,66.24,70.77,85.26,75.83,72.77,-,-,-,-,-,-
6,PS Ratio,27.10,14.14,12.26,12.50,12.81,11.17,10.67,11.71,-,-,-,-,-
7,PB Ratio,20.60,10.66,8.75,8.21,7.95,6.63,6.41,7.18,-,-,-,-,-
8,P/TBV Ratio,11.29,11.29,9.27,8.70,8.42,7.04,6.80,7.61,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,3934.51,-,75.49,-,-,-,-,-
10,P/OCF Ratio,-,-,-,540.11,-,83.69,-,46.62,-,-,-,-,-
11,EV/Sales Ratio,26.91,14.03,12.07,11.95,12.20,10.53,9.89,11.72,-,-,-,-,-
12,EV/EBITDA Ratio,258.46,251.03,5607.91,-,182.34,-,91.39,80.60,-,-,-,-,-
13,EV/EBIT Ratio,-,-569.57,-,-,-540.45,-,600.08,268.59,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,3707.86,-,75.60,-,-,-,-,-
15,Debt / Equity Ratio,0.22,0.22,0.22,0.22,0.20,0.20,0.20,0.20,0.34,0.34,-,-,0.28
16,Debt / EBITDA Ratio,5.35,1.87,4.01,-,3.18,-,2.36,3.03,2.06,11.52,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,121.67,-,2.15,-,-15.41,-,-,-
18,Asset Turnover,-,0.40,0.39,0.35,0.45,0.33,0.43,0.38,-,-,-,-,
19,Inventory Turnover,-,-,2.87,2.96,3.07,3.73,2.04,2.71,2.10,-,-,-,-
20,Quick Ratio,-,-,1.63,1.83,3.08,3.21,3.55,3.48,2.26,2.18,-,-,-
21,Current Ratio,-,-,2.07,2.31,3.61,3.68,4.19,4.04,2.91,2.67,-,-,-
22,Return on Equity (ROE),9.62%,-8.96%,-7.78%,2.30%,8.17%,0.17%,8.30%,5.05%,-,-,-,-,
23,Return on Assets (ROA),-,-0.16%,-4.61%,0.24%,-3.75%,1.11%,0.32%,2.16%,-,-,-,-,
24,Return on Capital (ROIC),2.95%,-0.25%,-6.64%,0.34%,-5.22%,1.55%,0.47%,3.44%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-1.04%,-,0.72%,1.95%,6.81%,-,-,-,-
26,Earnings Yield,-0.06%,-0.12%,-0.13%,0.14%,0.58%,0.72%,0.65%,0.78%,-,-,-,-,-
27,FCF Yield,-,-1.54%,-1.52%,-0.10%,0.03%,-0.09%,1.32%,-,-,-,-,-,
28,Dividend Yield,0.08%,-,-,-,-,0.23%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,22.88%,6.60%,126.39%,8.96%,20.65%,12.56%,10.28%,2.35%,-
30,Buyback Yield / Dilution,-8.62%,-2.13%,1.71%,-3.93%,-33.20%,-36.30%,2.38%,3.68%,-,-,-,-,-
31,Total Shareholder Return,-8.54%,-2.13%,1.71%,-3.93%,-33.20%,-36.07%,2.38%,3.68%,-,-,-,-,-
