,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,13498,6837,6687,4319,3521,4346,4744,2775,1545,1845,2400
1,Market Cap Growth,58.30%,58.30%,89.89%,-0.61%,-25.77%,56.60%,207.04%,50.41%,-35.62%,-,-
2,Enterprise Value,15244,8316,8254,5997,5588,6698,6945,4564,2868,3416,4199
3,Last Close Price,8.98,4.55,4.42,2.86,2.30,2.83,3.05,1.79,1.00,1.19,1.41
4,PE Ratio,1561.93,-,45.12,22.55,20.55,38.39,46.60,-35.08,-,-,6.43
5,PS Ratio,3.72,1.93,1.58,0.91,0.74,0.88,1.03,0.83,0.58,0.71,0.76
6,PB Ratio,9.36,4.74,4.15,2.87,2.22,2.79,2.87,1.80,1.03,1.24,1.41
7,P/TBV Ratio,4.74,4.74,4.15,2.87,2.22,2.79,2.87,1.80,1.03,1.25,1.42
8,P/FCF Ratio,-,-,19.69,5.53,4.57,151.17,-,-,-,11.42,-
9,P/OCF Ratio,32.86,-,13.95,5.08,4.08,37.86,-,-,-,5.20,-
10,EV/Sales Ratio,4.30,2.34,1.95,1.27,1.17,1.36,1.50,1.37,1.07,1.31,1.33
11,EV/EBITDA Ratio,64.38,36.80,20.99,13.40,12.43,15.92,16.47,20.82,18.82,7.33,6.76
12,EV/EBIT Ratio,170.79,-,32.38,19.12,17.91,23.93,25.04,57.39,-,9.47,7.85
13,EV/FCF Ratio,-217.66,-,24.31,7.68,7.26,233.01,-,-,-,21.14,-
14,Debt / Equity Ratio,1.53,1.53,1.22,1.37,1.39,1.76,1.83,1.76,1.52,1.33,1.44
15,Debt / FCF Ratio,-,-,5.76,2.65,2.86,95.22,-,-,-,12.29,-
16,Return on Capital Employed (ROCE),4.74%,-,11.10%,13.20%,12.56%,11.22%,11.20%,4.26%,-,14.53%,19.95%
17,Earnings Yield,0.06%,0.13%,2.22%,4.43%,4.87%,2.60%,2.15%,-2.85%,-8.95%,10.99%,15.56%
18,FCF Yield,-0.52%,-1.02%,5.08%,18.08%,21.87%,0.66%,-9.60%,-14.97%,20.77%,8.76%,-16.14%
19,Buyback Yield / Dilution,1.16%,0.76%,1.56%,1.72%,-0.03%,-0.06%,-0.04%,-0.30%,-16.07%,-25.00%,-
20,Total Shareholder Return,1.61%,0.76%,1.56%,1.72%,-0.03%,-0.06%,-0.04%,-0.30%,-16.07%,-25.00%,-
