,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1152266,1428027,1120232,1336740,979226,1094000,1174573,1257265,1793750,1803901,1773444,1469904,1283387,1574771,1547718,1619841,1472902,1462423,981407,1120448,Upgrade
1,Short-Term Investments,3428098,3729157,3769812,3334654,3267956,3474624,3475300,3171051,2706631,1890980,1777920,1728100,1789508,1730317,1528299,1475678,1853069,1961540,2106194,1686626,Upgrade
2,Cash & Short-Term Investments,4580364,5157184,4890044,4671394,4247182,4568624,4649872,4428317,4500381,3694881,3551364,3198004,3072895,3305088,3076017,3095519,3325970,3423963,3087601,2807074,Upgrade
3,Cash Growth,7.84%,12.88%,5.17%,5.49%,-5.63%,23.65%,30.93%,38.47%,46.45%,11.79%,15.45%,3.31%,-7.61%,-3.47%,-0.38%,10.28%,23.79%,32.13%,12.43%,-5.46%,Upgrade
4,Accounts Receivable,976353,980873,1038514,895922,944337,1026573,915797,1086608,982153,1523331,1312332,1142728,1192942,1197453,1089844,1036953,889653,726713,883095,925153,Upgrade
5,Other Receivables,283022,218724,43566,165207,136204,149804,146474,61411,115039,138385,-139732,-8871,94050,56866,111450,126930,76717,116849,78180,82177,Upgrade
6,Receivables,1259374,1199597,1082080,1061129,1080541,1176377,1062270,1148019,1097192,1661716,1172600,1133858,1286991,1254319,1201294,1163883,966370,843562,961275,1007330,Upgrade
7,Inventory,331073,268653,271553,244311,232665,207942,182647,165067,179275,165109,176978,149537,141926,149294,141672,142305,112296,111241,133541,154128,Upgrade
8,Prepaid Expenses,87075,86726,77876,73072,68918,49432,60642,33829,38409,50435,45126,42338,26264,39538,50839,32090,20826,43006,30892,39353,Upgrade
9,Other Current Assets,467131,544495,576339,479450,668165,529306,556352,472344,471010,404573,434077,333311,321651,327469,253174,234911,236607,151864,153850,118740,Upgrade
10,Total Current Assets,6725017,7256654,6897891,6529356,6297471,6531681,6511783,6247576,6286266,5976714,5380145,4857047,4849728,5075708,4722996,4668708,4662071,4573635,4367159,4126626,Upgrade
11,"Property, Plant & Equipment",12069284,10524869,9605627,10013890,10090599,9397896,7693296,7030227,7282151,7695197,7584503,7188472,6976269,7177852,7163510,6283492,6014185,6096766,6362569,6572272,Upgrade
12,Long-Term Investments,212734,189703,187432,203510,200846,192938,187632,205204,198584,190291,183818,201375,194133,211049,211049,211049,204766,195537,187671,209136,Upgrade
13,Other Intangible Assets,2499,2065,1824,2017,2231,1152,443.86,351.89,156.65,243.25,424.33,698.3,890.07,1082,1278,1409,1500,1154,1285,3418,Upgrade
14,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,434.26,-,-,-,-,-,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,64337,69566,74207,69883,64864,108184,98228,103498,81861,95963,91663,91004,94124,87662,88551,92330,100361,87413,87187,79249,Upgrade
16,Other Long-Term Assets,814824,785957,799553,783327,833941,733352,660971,589108,402634,291724,530399,481931,378076,431483,264473,122510,116513,261811,130377,223738,Upgrade
17,Total Assets,19888695,18828814,17566534,17601984,17489953,16965203,15152354,14175965,14251653,14250132,13770951,12820962,12493220,12984836,12451858,11379499,11099396,11216316,11136247,11214439,Upgrade
18,Accounts Payable,882773,893507,871840,871043,825423,571317,509233,660421,836684,643791,713481,543660,676929,831466,603399,716320,629989,576557,660882,1133391,Upgrade
19,Accrued Expenses,649479,696070,695371,522212,628376,790545,727241,564592,621086,690313,512063,426605,551544,621121,542377,420704,525659,569770,519168,384263,Upgrade
20,Short-Term Debt,14955,13898,-,1218380,235201,69922,211396,446882,257290,58816,75555,34168,48114,37631,45531,34699,59848,342156,-,518177,Upgrade
21,Current Portion of Long-Term Debt,1419349,1101834,1111455,-,1152571,636207,863780,514765,842142,880668,796213,788562,730240,623369,625897,586533,555270,586602,860432,508451,Upgrade
22,Current Income Taxes Payable,135448,170604,80005,59453,61241,106117,106942,59118,80424,111842,56917,28694,52829,54460,53956,29305,83948,100500,70033,31520,Upgrade
23,Current Unearned Revenue,40115,43009,23303,36482,30284,24640,62986,21909,23711,28735,22797,19932,18597,8757,12046,9583,1525,10165,616.25,3194,Upgrade
24,Other Current Liabilities,546395,703346,622657,518095,459118,641491,545650,414183,393965,552901,668252,585132,371666,821760,903652,501193,339668,681769,568494,160301,Upgrade
