,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,3347909,2934146,2994254,2536123,2847267,2550625,2120748,2037339,2438545,2330409,2256738,2021670,2172470,1679694,1891290,1716780,2132411,1855603,1829484,1565197,Upgrade
1,Revenue Growth (YoY),17.58%,15.04%,41.19%,24.48%,16.76%,9.45%,-6.03%,0.78%,12.25%,38.74%,19.32%,17.76%,1.88%,-9.48%,3.38%,9.68%,10.34%,6.46%,-17.60%,-15.96%,Upgrade
2,Cost of Revenue,2771631,2302353,2283720,2010159,2347020,2034848,1591827,1743789,1931743,1915675,1814702,1730214,1856392,1397376,1509400,1459109,1737601,1569580,1606129,1339480,Upgrade
3,Gross Profit,576279,631793,710534,525964,500247,515777,528921,293551,506802,414734,442036,291456,316078,282318,381890,257671,394810,286023,223355,225718,Upgrade
4,"Selling, General & Admin",204136,118272,102911,80068,165264,94264,100492,63392,150279,102642,113320,54286,65772,76170,89628,56410,71465,77617,66363,49084,Upgrade
5,Operating Expenses,204136,118272,102911,80068,165264,94264,100492,63392,150279,102642,113320,54286,65772,76170,89628,56410,71465,77617,66363,49084,Upgrade
6,Operating Income,372143,513521,607622,445896,334983,421513,428429,230159,356523,312092,328716,237171,250306,206148,292262,201261,323345,208406,156992,176634,Upgrade
7,Interest Expense,-112075,-96780,-98678,-107622,-143849,-88299,-77843,-69923,-76086,-69492,-49125,-43340,-39213,-42706,-24783,-35974,-23112,-36999,-,-90413,Upgrade
8,Interest & Investment Income,100996,45856,83219,78974,35012,79903,94709,103335,30767,41369,47293,44268,17533,32528,33094,50708,29143,27341,72790,50914,Upgrade
9,Earnings From Equity Investments,3030,2272,9027,2664,7909,5305,6375,6828,8293,6473,13098,-,10916,1153,12481,-,7719,7866,14065,-,Upgrade
10,Currency Exchange Gain (Loss),-,20025,-32772,12746,-27488,-33773,39034,-5261,-16015,-11956,-1627,13583,33045,11555,-3790,-7765,68860,5350,21397,-26747,Upgrade
11,Other Non Operating Income (Expenses),589.5,16231,63397,-59094,91945,-10200,30427,30804,-135511,-2770,181576,-12195,-34400,-10498,61582,-10644,45666,9944,-8438,-426.65,Upgrade
12,EBT Excluding Unusual Items,364683,501125,631816,373564,298511,374449,521131,295942,167971,275717,519932,239487,238187,198182,370847,197585,451621,221908,256805,109960,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-217.36,217.36,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,153733,-153733,-,58578,24541,-24541,-,253765,205428,-205428,-,35416,-,-,-,10869,138.18,-138.18,-,Upgrade
15,Pretax Income,364683,654858,478082,373564,357089,398990,496590,295942,421736,481145,314504,239487,273603,197964,371065,197585,462490,222046,256667,109960,Upgrade
16,Income Tax Expense,93378,132758,93481,79365,93468,77952,84387,71303,97400,95160,63330,45135,41935,44931,60469,58367,71858,52644,52141,31152,Upgrade
17,Earnings From Continuing Operations,271305,522100,384601,294199,263621,321038,412203,224638,324336,385985,251174,194351,231668,153033,310596,139218,390632,169402,204526,78808,Upgrade
18,Minority Interest in Earnings,-60901,-157126,-84340,-75259,-34647,-71850,-91877,-50683,-94031,-115190,-46135,-43153,-40308,-58733,-37928,-37789,-67685,-60964,-16916,-21718,Upgrade
19,Net Income,210405,364974,300261,218940,228974,249189,320326,173955,230305,270796,205040,151198,191359,94300,272667,101430,322947,108438,187610,57090,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,56850,-,-,-,50121,-,-,-,37158,-,-,-,35006,-,-,-,Upgrade
21,Net Income to Common,210405,364974,300261,218940,172124,249189,320326,173955,180185,270796,205040,151198,154201,94300,272667,101430,287941,108438,187610,57090,Upgrade
22,Net Income Growth,-8.11%,46.46%,-6.26%,25.86%,-0.58%,-7.98%,56.23%,15.05%,20.35%,187.16%,-24.80%,49.07%,-40.75%,-13.04%,45.34%,77.67%,62.76%,-22.17%,-8.63%,-61.04%,Upgrade
23,Shares Outstanding (Basic),356,356,356,356,356,356,324,389,356,356,314,398,356,356,317,395,356,356,364,348,Upgrade
24,Shares Outstanding (Diluted),356,356,356,356,356,356,324,389,356,356,314,398,356,356,317,395,356,356,364,348,Upgrade
25,Shares Change (YoY),-0.03%,0.02%,9.96%,-8.38%,0.04%,0.03%,2.98%,-2.42%,-0.03%,-0.16%,-0.86%,0.85%,0.03%,0.05%,-12.88%,13.53%,-0.08%,0.06%,2.07%,-2.24%,Upgrade
26,EPS (Basic),591.03,1025.00,844.01,614.97,483.37,700.00,990.08,447.66,506.20,760.91,652.66,379.70,433.06,264.55,860.44,256.87,808.88,304.35,515.75,164.15,Upgrade
27,EPS (Diluted),591.03,1025.00,844.01,614.97,483.37,700.00,990.08,447.66,505.94,760.91,652.66,379.70,433.06,264.55,860.44,256.87,808.88,304.35,515.75,164.15,Upgrade
28,EPS Growth,22.27%,46.43%,-14.75%,37.38%,-4.46%,-8.00%,51.70%,17.90%,16.83%,187.63%,-24.15%,47.81%,-46.46%,-13.08%,66.83%,56.49%,83.07%,-22.22%,-10.48%,-60.14%,Upgrade
29,Free Cash Flow,-2216347,1252244,-793262,177989,-835865,-1152911,-466950,-31238,1061599,-270913,-112964,-166535,-1043987,1130081,-789073,-403915,236221,427411,506654,189120,Upgrade
30,Free Cash Flow Per Share,-6225.71,3516.82,-2229.80,499.94,-2347.33,-3238.66,-1443.27,-80.39,2982.41,-761.24,-359.57,-418.21,-2931.96,3170.27,-2490.02,-1022.93,663.59,1199.59,1392.81,543.77,Upgrade
31,Dividend Per Share,-,-,-,-,272.727,-,-,-,272.727,-,-,-,-,-,-,-,909.091,-,-,-,Upgrade
32,Dividend Growth,-,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-,187.50%,-,-,-,Upgrade
33,Gross Margin,17.21%,21.53%,23.73%,20.74%,17.57%,20.22%,24.94%,14.41%,20.78%,17.80%,19.59%,14.42%,14.55%,16.81%,20.19%,15.01%,18.51%,15.41%,12.21%,14.42%,Upgrade
34,Operating Margin,11.12%,17.50%,20.29%,17.58%,11.77%,16.53%,20.20%,11.30%,14.62%,13.39%,14.57%,11.73%,11.52%,12.27%,15.45%,11.72%,15.16%,11.23%,8.58%,11.29%,Upgrade
35,Profit Margin,6.28%,12.44%,10.03%,8.63%,6.05%,9.77%,15.10%,8.54%,7.39%,11.62%,9.09%,7.48%,7.10%,5.61%,14.42%,5.91%,13.50%,5.84%,10.25%,3.65%,Upgrade
36,Free Cash Flow Margin,-66.20%,42.68%,-26.49%,7.02%,-29.36%,-45.20%,-22.02%,-1.53%,43.53%,-11.63%,-5.01%,-8.24%,-48.06%,67.28%,-41.72%,-23.53%,11.08%,23.03%,27.69%,12.08%,Upgrade
37,EBITDA,909333,932946,1034165,860157,770112,740760,732284,526287,665648,624785,622652,516739,555555,437611,487900,398658,553409,433826,367767,387662,Upgrade
38,EBITDA Margin,27.16%,31.80%,34.54%,33.92%,27.05%,29.04%,34.53%,25.83%,27.30%,26.81%,27.59%,25.56%,25.57%,26.05%,25.80%,23.22%,25.95%,23.38%,20.10%,24.77%,Upgrade
39,D&A For EBITDA,537190,419425,426542,414261,435129,319247,303855,296129,309125,312692,293936,279568,305248,231462,195638,197397,230064,225420,210775,211029,Upgrade
40,EBIT,372143,513521,607622,445896,334983,421513,428429,230159,356523,312092,328716,237171,250306,206148,292262,201261,323345,208406,156992,176634,Upgrade
41,EBIT Margin,11.12%,17.50%,20.29%,17.58%,11.77%,16.53%,20.20%,11.30%,14.62%,13.39%,14.57%,11.73%,11.52%,12.27%,15.45%,11.72%,15.16%,11.23%,8.58%,11.29%,Upgrade
42,Effective Tax Rate,25.61%,20.27%,19.55%,21.25%,26.17%,19.54%,16.99%,24.09%,23.09%,19.78%,20.14%,18.85%,15.33%,22.70%,16.30%,29.54%,15.54%,23.71%,20.31%,28.33%,Upgrade
43,Revenue as Reported,3347909,2934146,2994254,2536123,2847267,2550625,2120748,2037339,2438545,2330409,2256738,2021670,2172470,1679694,1891290,1716780,2132411,1855603,1829484,1565197,Upgrade
