,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,6513,6269,6577,7826,9039,9104,9940,11492,9649,12238,9698,Upgrade
1,Market Cap Growth,-19.90%,-19.90%,-27.24%,-14.04%,-9.06%,-20.78%,3.02%,-6.09%,-0.50%,19.91%,52.67%,Upgrade
2,Enterprise Value,6104,5651,4306,5449,6242,5493,6229,8169,7016,10233,8276,Upgrade
3,Last Close Price,12.26,11.33,11.49,12.33,13.65,13.01,12.81,14.17,11.77,14.53,12.08,Upgrade
4,PE Ratio,13.44,12.97,10.85,9.42,9.59,6.50,7.62,9.12,8.52,15.43,10.74,Upgrade
5,Forward PE,6.90,5.76,6.68,5.68,5.44,5.28,6.30,8.18,8.11,8.94,9.14,Upgrade
6,PS Ratio,0.90,0.87,0.84,0.99,1.02,0.98,1.15,1.43,1.32,1.88,1.50,Upgrade
7,PB Ratio,0.99,0.93,0.97,1.07,1.21,1.15,1.14,1.39,1.22,1.78,1.62,Upgrade
8,P/TBV Ratio,1.16,1.16,1.27,1.21,1.36,1.28,1.28,1.57,1.37,2.10,1.88,Upgrade
9,P/FCF Ratio,8.80,8.47,7.13,8.47,8.87,8.94,9.17,9.03,7.57,10.52,10.76,Upgrade
10,P/OCF Ratio,6.36,6.36,5.35,6.92,7.47,7.53,7.88,7.49,6.11,8.69,7.37,Upgrade
11,PEG Ratio,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,Upgrade
12,EV/Sales Ratio,0.85,0.78,0.55,0.69,0.70,0.59,0.72,1.02,0.96,1.57,1.28,Upgrade
13,EV/EBITDA Ratio,4.82,4.87,3.51,3.63,3.55,2.48,2.84,3.58,3.77,7.93,5.94,Upgrade
14,EV/EBIT Ratio,7.27,6.73,4.64,4.49,4.28,2.91,3.35,4.19,4.53,10.27,7.40,Upgrade
15,EV/FCF Ratio,8.24,7.63,4.67,5.90,6.13,5.39,5.75,6.42,5.51,8.80,9.18,Upgrade
16,Debt / Equity Ratio,0.35,0.35,0.29,0.37,0.33,0.26,0.23,0.22,0.23,0.26,0.11,Upgrade
17,Debt / FCF Ratio,3.16,3.16,2.11,2.93,2.43,2.05,1.87,1.42,1.41,1.56,0.71,Upgrade
18,Return on Capital Employed (ROCE),12.06%,12.00%,12.12%,13.40%,15.98%,19.90%,18.17%,20.08%,16.22%,11.69%,17.09%,Upgrade
19,Earnings Yield,7.42%,7.71%,9.21%,10.62%,10.43%,15.39%,13.11%,10.96%,11.74%,6.48%,9.31%,Upgrade
20,FCF Yield,11.37%,11.81%,14.02%,11.80%,11.27%,11.19%,10.90%,11.08%,13.20%,9.50%,9.29%,Upgrade
21,Dividend Yield,6.53%,6.90%,6.96%,6.45%,5.86%,5.95%,6.25%,4.46%,4.25%,3.43%,3.31%,Upgrade
22,Buyback Yield / Dilution,1.78%,1.51%,2.06%,0.39%,2.17%,2.75%,1.82%,-0.64%,-5.83%,-4.45%,0.18%,Upgrade
23,Total Shareholder Return,8.31%,8.41%,9.02%,6.84%,8.03%,8.69%,8.07%,3.82%,-1.58%,-1.03%,3.49%,Upgrade
