,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,126580,106594,113256,120870,121821,104692,111354,139904,138952,206525,172142,198626,217661,178763,149797,165521,202764,198626,230075,256558,202764,Upgrade
1,Market Cap Growth,1.82%,1.82%,1.71%,-13.61%,-12.33%,-49.31%,-35.31%,-29.56%,-36.16%,15.53%,14.92%,20.00%,7.35%,-10.00%,-34.89%,-35.48%,0%,-15.19%,-7.33%,-9.88%,-48.96%,Upgrade
2,Enterprise Value,110855,116175,122837,107874,108826,106698,119718,138121,154094,221666,180551,211744,194847,183157,154191,156591,128716,154745,169841,195154,120238,Upgrade
3,Last Close Price,13300.00,11200.00,11404.17,12170.83,12266.67,10541.67,10729.20,13480.28,13388.58,19899.46,16586.21,19137.93,20971.98,17224.14,14433.19,15948.28,18606.32,18226.60,21112.48,23542.69,17679.87,Upgrade
4,PE Ratio,10.41,6.00,5.43,5.06,5.90,5.55,7.75,-,-,10.63,6.98,8.36,10.99,8.81,14.45,10.09,9.97,10.38,12.07,11.67,11.63,Upgrade
5,PS Ratio,0.68,0.46,0.49,0.50,0.52,0.45,0.54,0.78,0.59,0.82,0.48,0.60,0.69,0.57,0.60,0.45,0.51,0.49,0.51,0.62,0.54,Upgrade
6,PB Ratio,0.82,0.69,0.73,0.82,0.82,0.70,0.75,1.03,-,1.45,1.31,1.53,1.72,1.43,-,1.38,1.72,1.72,2.08,2.49,1.85,Upgrade
7,P/TBV Ratio,0.72,0.72,0.77,0.86,0.87,0.73,0.79,1.10,-,1.55,1.40,1.64,1.85,1.55,-,1.50,1.87,1.88,2.33,2.81,2.07,Upgrade
8,P/FCF Ratio,3.18,2.68,4.08,-,-,4.35,5.71,18.00,7.87,400.29,-,9.64,-,-,20.09,-,-,11.21,-,8.24,-,Upgrade
9,P/OCF Ratio,2.60,2.60,3.99,-,-,4.35,5.70,17.63,7.81,319.93,-,9.60,-,-,19.88,-,-,10.97,-,6.74,-,Upgrade
10,EV/Sales Ratio,0.60,0.50,0.53,0.45,0.46,0.46,0.58,0.77,0.66,0.88,0.50,0.64,0.61,0.59,0.62,0.43,0.32,0.38,0.38,0.47,0.32,Upgrade
11,EV/EBITDA Ratio,15.45,8.41,9.06,-,-,5.85,9.71,-,-,10.99,5.33,6.38,7.04,6.54,7.32,5.39,4.21,5.34,5.88,6.71,4.58,Upgrade
12,EV/EBIT Ratio,24.60,10.42,11.42,-,-,6.72,12.25,-,-,13.36,6.21,7.51,8.66,8.10,13.12,8.04,6.15,8.14,7.21,8.18,5.70,Upgrade
13,EV/FCF Ratio,2.79,2.92,4.43,-,-,4.44,6.14,17.77,8.73,429.64,-,10.27,-,-,20.68,-,-,8.73,-,6.27,-,Upgrade
14,Debt / Equity Ratio,0.15,0.15,0.15,0.15,0.12,0.08,0.12,0.15,-,0.15,0.20,0.21,0.20,0.14,-,0.20,0.18,0.00,0.07,0.09,0.14,Upgrade
15,Debt / EBITDA Ratio,3.27,0.45,1.03,-,-,0.22,0.54,-,-,0.78,2.64,0.86,2.16,0.21,-,2.49,1.63,-,0.20,0.61,2.29,Upgrade
16,Debt / FCF Ratio,0.59,0.59,0.84,-,-,0.47,0.89,2.59,-,41.72,-,1.33,-,-,-,-,-,0.00,-,0.31,-,Upgrade
