,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,38941,38941,13060,-,24171,26229,11524,-,17306,10351,18749,8052,39993,-,19718,29922,73827,51408,69762,76053,Upgrade
1,Short-Term Investments,-,-,220.79,-,-,-,220.79,-,-,220.79,220.79,4221,220.79,-,220.79,220.79,220.79,220.79,220.79,220.79,Upgrade
2,Trading Asset Securities,220.79,220.79,-,-,220.79,220.79,-,-,220.79,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,39162,39162,13281,26450,24392,26450,11745,-,17527,10571,18970,12273,40214,-,19939,30143,74047,51629,69982,76274,Upgrade
4,Cash Growth,60.56%,48.06%,13.08%,-,39.17%,150.20%,-38.08%,-,-56.42%,-,-4.86%,-59.28%,-45.69%,-,-71.51%,-60.48%,-20.57%,8.47%,15.89%,-6.24%,Upgrade
5,Accounts Receivable,60725,60725,48440,-,99543,101382,51290,-,103131,89350,96114,79654,141824,-,65878,61115,102902,135964,65405,54265,Upgrade
6,Other Receivables,2080,2080,13045,-,15352,1234,5722,-,1042,5120,5008,3193,1815,-,3358,5159,2937,2718,6882,5927,Upgrade
7,Receivables,62805,62805,61485,-,114896,102616,57013,-,104173,94470,101122,82847,143639,-,69236,66274,105839,138682,72286,60192,Upgrade
8,Inventory,36977,36977,45310,-,22782,34266,35840,-,26546,29989,26637,26139,21144,-,29960,27011,20722,27693,25492,25343,Upgrade
9,Prepaid Expenses,1034,1034,1279,-,681.03,717.07,1078,-,571.25,1008,1013,682.23,481.55,-,896.24,951.18,699.01,587.71,719.7,744.88,Upgrade
10,Other Current Assets,13607,13607,3750,-,7958,9100,3221,-,4998,2503,3371,2174,2150,-,2146,9209,1908,12329,12003,2351,Upgrade
11,Total Current Assets,153585,153585,125106,-,170708,173149,108897,-,153815,138541,151113,124115,207629,-,122177,133588,203216,230920,180483,164905,Upgrade
12,"Property, Plant & Equipment",5907,5907,5611,-,4973,6904,8083,-,8701,8906,9451,10042,10595,-,15776,16636,17537,20080,18833,18746,Upgrade
13,Long-Term Investments,53150,53150,53150,-,53150,53150,53150,-,53150,53150,53150,53150,53150,-,41650,34248,30232,27221,19679,18986,Upgrade
14,Other Intangible Assets,8055,8055,8249,-,6737,8482,8643,-,8594,8762,8961,9195,9644,-,9672,9879,10086,11600,11608,11867,Upgrade
15,Long-Term Accounts Receivable,39785,39785,35744,-,35165,35165,38943,-,41829,49733,47860,48089,42810,-,59621,51808,53736,43835,40523,22279,Upgrade
16,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,155.3,155.3,155.3,155.3,155.3,-,155.3,155.3,-,-,-,-,Upgrade
17,Other Long-Term Assets,5236,5236,1289,-,14539,1869,2515,-,3217,3684,3930,4144,4419,-,5235,4701,5066,4880,5117,3715,Upgrade
18,Total Assets,265717,265717,229149,-,285272,278719,220231,-,269461,262932,274619,248890,328402,-,254286,251016,319874,338536,276244,240497,Upgrade
19,Accounts Payable,15358,15358,7960,-,7052,10349,4402,-,5023,3825,2808,1975,9072,-,4573,11452,17929,7727,7270,2936,Upgrade
20,Accrued Expenses,29954,29954,15041,-,38163,56042,18803,-,53614,51191,52908,31747,109188,-,54295,45059,116977,135399,75677,39622,Upgrade
21,Short-Term Debt,23438,23438,22862,-,11396,17442,20109,-,21526,25713,27379,25392,17400,-,24333,21212,0.01,7748,9748,14870,Upgrade
22,Current Income Taxes Payable,567.59,567.59,151.39,-,1958,1958,718.01,-,147.6,4406,5966,2501,13590,-,4530,1867,4032,12046,5320,1920,Upgrade
23,Other Current Liabilities,41268,41268,34856,-,76999,43671,39887,-,47102,46335,55722,60427,54129,-,46693,53332,65279,65216,75257,71461,Upgrade
24,Total Current Liabilities,110586,110586,80871,-,135569,129462,83918,-,127413,131469,144782,122043,203379,-,134425,132922,204218,228137,173273,130810,Upgrade
25,Total Liabilities,110586,110586,80871,-,135569,129462,83918,-,127413,131469,144782,122043,203379,-,134425,132922,204218,228137,173273,130810,Upgrade
26,Common Stock,95173,95173,95173,-,95173,95173,95173,-,95173,82761,82761,82761,82761,-,82761,82761,82761,82761,82761,82761,Upgrade
27,Retained Earnings,59958,59958,53106,-,54530,54085,41140,-,46876,48703,47076,44087,42262,-,37101,35334,32895,27638,20210,26927,Upgrade
28,Treasury Stock,-0.14,-0.14,-0.14,-,-0.14,-0.14,-0.14,-,-0.14,-0.14,-0.14,-0.14,-0.14,-,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,Upgrade
29,Shareholders' Equity,155131,155131,148279,149258,149703,149258,136313,-,142049,131463,129837,126848,125023,-,119862,118094,115656,110399,102971,109688,Upgrade
30,Total Liabilities & Equity,265717,265717,229149,-,285272,278719,220231,-,269461,262932,274619,248890,328402,-,254286,251016,319874,338536,276244,240497,Upgrade
31,Total Debt,23438,23438,22862,17442,11396,17442,20109,-,21526,25713,27379,25392,17400,-,24333,21212,0.01,7748,9748,14870,Upgrade
