,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,32.02,28.38,41.7,29.88,90.06,24.88,35.36,80.02,14.7,15.28,Upgrade
1,Long-Term Investments,13.03,12.94,14.95,14.76,14.92,0.8,0.8,0.8,0.8,0.8,Upgrade
2,Loans & Lease Receivables,864,891.83,831.53,895.17,888.2,930.47,888.08,817.55,854.85,935.79,Upgrade
3,Other Receivables,0.2,2.49,23.92,1.3,25.42,25.98,18.25,17.62,15.09,35.61,Upgrade
4,"Property, Plant & Equipment",121.83,121.23,68.3,69.65,70.96,72.22,73.43,74.11,74.3,75.14,Upgrade
5,Other Current Assets,28.7,25.52,25.25,8.68,8.03,8.26,32.2,34.8,37.57,36.52,Upgrade
6,Long-Term Deferred Tax Assets,5.85,4.52,2.17,1.56,1.81,1.14,0.97,0.75,0.71,0.79,Upgrade
7,Other Long-Term Assets,47.2,48.1,102.9,105.2,107.95,113.33,80.11,76.35,75.23,78.39,Upgrade
8,Total Assets,1113,1135,1111,1126,1207,1177.0,1129,1102.0,1073,1178,Upgrade
9,Accounts Payable,9.46,5.82,6.78,8.67,10.38,8.32,7.95,5.77,-,4.32,Upgrade
10,Accrued Expenses,-,-,-,-,-,0.04,-,1.15,-,1.15,Upgrade
11,Short-Term Debt,53.7,88.78,94.72,96.47,110.5,334.58,110.52,305.9,302.38,449.45,Upgrade
12,Current Portion of Long-Term Debt,198.08,217.84,192.97,229.24,312.91,90.94,279.92,77.86,-,-,Upgrade
13,Long-Term Debt,-,0.42,0.85,0.87,0.9,0.92,0.34,22.95,100.13,99.51,Upgrade
14,Current Income Taxes Payable,5.97,1.56,6.16,2.55,5.44,1.95,14.72,8.25,12.43,6.47,Upgrade
15,Other Current Liabilities,6,0.2,5.4,0.09,5.4,0.4,5.4,0.09,12,0.09,Upgrade
16,Long-Term Deferred Tax Liabilities,4.03,3.77,3.81,3.62,3.58,3.3,3.36,3.17,3.1,2.9,Upgrade
17,Total Liabilities,277.24,318.38,310.69,341.49,449.1,440.46,422.22,425.13,430.03,563.89,Upgrade
18,Common Stock,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,Upgrade
19,Additional Paid-In Capital,103.67,103.67,103.67,103.67,103.67,103.67,103.67,103.67,103.67,103.67,Upgrade
20,Retained Earnings,627.75,608.78,592.19,576.88,550.41,528.79,499.15,469.03,435.37,406.6,Upgrade
21,Comprehensive Income & Other,100.02,100.02,100.02,100.02,100.02,100.02,100.02,100.02,100.02,100.02,Upgrade
22,Shareholders' Equity,835.58,816.62,800.03,784.72,758.24,736.62,706.98,676.86,643.2,614.43,Upgrade
23,Total Liabilities & Equity,1113,1135,1111,1126,1207,1177.0,1129,1102.0,1073,1178,Upgrade
24,Total Debt,251.78,307.04,288.54,326.57,424.31,426.44,390.79,406.71,402.5,548.96,Upgrade
25,Net Cash (Debt),-219.76,-278.66,-246.84,-296.69,-334.25,-401.56,-355.43,-326.69,-387.81,-533.68,Upgrade
26,Net Cash Per Share,-0.53,-0.67,-0.59,-0.71,-0.81,-0.97,-0.86,-0.79,-0.93,-1.29,Upgrade
27,Filing Date Shares Outstanding,415,415,415,415,415,415.0,415,415.0,415,415,Upgrade
28,Total Common Shares Outstanding,415,415,415,415,415,415.0,415,415.0,415,415,Upgrade
29,Working Capital,651.71,634.01,616.38,598.03,567.09,553.35,555.37,550.98,595.4,561.72,Upgrade
30,Book Value Per Share,2.01,1.97,1.93,1.89,1.83,1.77,1.70,1.63,1.55,1.48,Upgrade
31,Tangible Book Value,835.58,816.62,800.03,784.72,758.24,736.62,706.98,676.86,643.2,614.43,Upgrade
32,Tangible Book Value Per Share,2.01,1.97,1.93,1.89,1.83,1.77,1.70,1.63,1.55,1.48,Upgrade
