,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Interest and Dividend Income,82.96,85.78,73.15,84.2,76.77,78.59,74.9,78.36,77.14,81.02,Upgrade
1,Total Interest Expense,9.16,8.2,10.72,10.74,10.14,10.27,10.84,12.17,13.51,17.88,Upgrade
2,Net Interest Income,73.8,77.58,62.44,73.47,66.64,68.31,64.07,66.19,63.63,63.15,Upgrade
3,Other Revenue,-,-,-,-,-,0.07,-,0.48,1.26,0.27,Upgrade
4,Revenue Before Loan Losses,73.8,77.58,62.44,73.47,66.64,68.39,64.07,66.68,64.89,63.42,Upgrade
5,Provision for Loan Losses,10.58,13.93,4.06,1.86,3.9,3.23,3.28,-3.01,0.61,15.48,Upgrade
6,Revenue,63.23,63.66,58.38,71.61,62.74,65.16,60.79,69.68,64.28,47.94,Upgrade
7,Revenue Growth (YoY),8.31%,-11.11%,-6.95%,9.91%,3.21%,-6.50%,-5.44%,45.35%,4.29%,2.37%,Upgrade
8,Cost of Services Provided,7.07,-16.77,6.64,-14.59,26.27,30.17,22.89,25.17,22.17,27,Upgrade
9,Other Operating Expenses,25.62,51.15,24.13,44.37,-2.1,-1.02,-0.3,-0.21,-1.95,-0.1,Upgrade
10,Total Operating Expenses,32.69,34.37,30.77,29.77,24.18,29.15,22.59,24.96,20.21,26.9,Upgrade
11,Operating Income,30.53,29.28,27.61,41.84,38.56,36,38.2,44.72,44.07,21.04,Upgrade
12,Earnings From Equity Investments,0.09,-0.21,0.19,-0.16,0.12,-,-,-,-,-,Upgrade
13,EBT Excluding Unusual Items,30.62,29.07,27.79,41.68,38.68,36,38.2,44.72,44.07,21.04,Upgrade
14,Pretax Income,29.72,27.01,25.49,38.93,33.3,41.22,41.96,46.76,41.04,27.86,Upgrade
15,Income Tax Expense,5.36,5.03,4.78,7.06,6.28,6.19,6.44,7.7,6.87,4.32,Upgrade
16,Net Income,24.36,21.98,20.71,31.87,27.02,35.04,35.52,39.05,34.16,23.54,Upgrade
17,Net Income to Common,24.36,21.98,20.71,31.87,27.02,35.04,35.52,39.05,34.16,23.54,Upgrade
18,Net Income Growth,17.63%,-31.02%,-23.35%,-9.04%,-23.93%,-10.29%,3.95%,65.90%,6.92%,32.43%,Upgrade
19,Shares Outstanding (Basic),415,415,415,415,415,415,415,415,415,415,Upgrade
20,Shares Outstanding (Diluted),415,415,415,415,415,415,415,415,415,415,Upgrade
21,EPS (Basic),0.06,0.05,0.05,0.08,0.07,0.08,0.09,0.09,0.08,0.06,Upgrade
22,EPS (Diluted),0.06,0.05,0.05,0.08,0.07,0.08,0.09,0.09,0.08,0.06,Upgrade
23,EPS Growth,17.62%,-31.02%,-23.34%,-9.02%,-23.93%,-10.31%,3.98%,65.90%,6.89%,32.43%,Upgrade
24,Free Cash Flow,58.9,-23.08,49.86,48.34,81.4,-6.86,-28.13,72.6,146.49,-0.67,Upgrade
25,Free Cash Flow Per Share,0.14,-0.06,0.12,0.12,0.20,-0.02,-0.07,0.17,0.35,-0.00,Upgrade
26,Dividend Per Share,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,Upgrade
27,Operating Margin,48.29%,46.00%,47.29%,58.42%,61.46%,55.26%,62.84%,64.17%,68.55%,43.89%,Upgrade
28,Profit Margin,38.53%,34.54%,35.48%,44.50%,43.06%,53.77%,58.43%,56.05%,53.15%,49.10%,Upgrade
29,Free Cash Flow Margin,93.16%,-36.25%,85.40%,67.51%,129.75%,-10.52%,-46.27%,104.18%,227.89%,-1.39%,Upgrade
