,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,934.32,1042,1018,1148,619.79,1030,444.22,274.03,468.48,354.06
1,Revenue Growth (YoY),-8.21%,-9.25%,64.22%,11.45%,39.52%,275.78%,-5.18%,-22.60%,52.08%,23.31%
2,Cost of Revenue,441.41,445.91,382.12,409.33,220.14,410.99,157.59,135.4,242.54,183.45
3,Gross Profit,492.9,595.64,635.71,738.34,399.65,618.74,286.63,138.63,225.93,170.61
4,"Selling, General & Admin",97.5,136.28,134.1,174.85,119.39,159.09,81.33,27.34,71.86,57.91
5,Research & Development,67.23,66.66,73.84,75.69,49.98,54.86,37.68,27.19,26.63,22.66
6,Other Operating Expenses,0.05,-8.25,18.08,-0.07,1.76,2.67,0.57,-0.18,1.33,0.59
7,Operating Expenses,164.78,194.69,226.02,250.47,171.14,216.62,119.58,54.35,99.81,81.16
8,Operating Income,328.12,400.95,409.7,487.87,228.51,402.13,167.05,84.28,126.12,89.45
9,Interest Expense,-0.16,-0.21,-0.42,-0.37,-0.33,-0.43,-0.21,-0.12,-0.38,-0.3
10,Interest & Investment Income,-,61.97,-,20.86,-,12.01,-,7.33,-,3.38
11,Earnings From Equity Investments,-3.2,-2.67,-1.65,-2.55,0.21,-1.79,-,0.02,-0.08,-
12,Currency Exchange Gain (Loss),-1.46,-8.06,7.95,-4.55,-,-,-,-,-,-
13,Other Non Operating Income (Expenses),47.19,-28.93,46.34,-6.66,25.93,-6.11,14.31,-5.21,15.95,1.75
14,EBT Excluding Unusual Items,370.49,423.05,461.92,494.6,254.32,405.81,181.15,86.29,141.61,94.27
15,Gain (Loss) on Sale of Investments,-3.91,-1.93,-,11.71,-,11.88,-,9.28,-,3.8
16,Pretax Income,366.58,421.12,461.92,506.31,254.32,417.69,181.15,95.58,141.61,98.07
17,Income Tax Expense,56.74,99.47,57.66,62.96,17.42,63.09,35.4,6.46,9.77,7.81
18,Earnings From Continuing Operations,309.84,321.66,404.26,443.35,236.91,354.6,145.75,89.12,131.85,90.26
19,Minority Interest in Earnings,-,-0.62,0.58,0.42,0.11,-,-,-,-,-
20,Net Income,309.84,321.04,404.85,443.77,237.01,354.6,145.75,89.12,131.85,90.26
21,Net Income to Common,309.84,321.04,404.85,443.77,237.01,354.6,145.75,89.12,131.85,90.26
22,Net Income Growth,-23.47%,-27.66%,70.81%,25.15%,62.62%,297.89%,10.54%,-1.26%,87.65%,55.48%
23,Shares Outstanding (Basic),1009,1007,999,995,996,1007,1017,1017,1018,1022
24,Shares Outstanding (Diluted),1030,1016,1023,1001,999,1007,1017,1017,1018,1022
25,Shares Change (YoY),0.69%,1.56%,2.45%,-0.61%,-1.82%,-1.06%,-0.04%,-0.49%,12.94%,24.69%
26,EPS (Basic),0.31,0.32,0.41,0.45,0.24,0.35,0.14,0.09,0.13,0.09
27,EPS (Diluted),0.30,0.32,0.40,0.44,0.24,0.35,0.14,0.09,0.13,0.09
28,EPS Growth,-23.99%,-28.77%,66.71%,25.92%,69.50%,304.45%,8.07%,-1.32%,66.15%,24.83%
29,Free Cash Flow,269.54,351.43,357.89,573.7,153.17,369.33,132.21,107.43,146.07,26.24
30,Free Cash Flow Per Share,0.26,0.35,0.35,0.57,0.15,0.37,0.13,0.11,0.14,0.03
31,Dividend Per Share,-,-,-,-,-,-,-,-,-,0.028
32,Operating Margin,35.12%,38.50%,40.25%,42.51%,36.87%,39.05%,37.61%,30.75%,26.92%,25.26%
33,Profit Margin,33.16%,30.82%,39.78%,38.67%,38.24%,34.44%,32.81%,32.52%,28.14%,25.49%
34,Free Cash Flow Margin,28.85%,33.74%,35.16%,49.99%,24.71%,35.87%,29.76%,39.20%,31.18%,7.41%
35,EBITDA,330.72,403.59,412.51,490.08,231.1,403.97,168.52,85.84,127.33,90.72
36,D&A For EBITDA,2.6,2.64,2.81,2.21,2.58,1.84,1.47,1.56,1.21,1.28
37,EBIT,328.12,400.95,409.7,487.87,228.51,402.13,167.05,84.28,126.12,89.45
38,Advertising Expenses,14.02,-,45.38,-,61.66,-,48.45,-,40.42,-
