,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2256,2922,5715,3231,1727,1484,1221,1333,1160,1089,743
1,Market Cap Growth,-9.58%,-9.58%,231.03%,117.73%,41.42%,11.35%,5.26%,22.43%,56.04%,19.73%,-
2,Enterprise Value,222,789,3933,1753,227,38,280,465,482,567,245
3,Last Close Price,2.23,2.89,5.30,2.99,1.48,1.18,0.97,1.06,0.88,0.82,0.54
4,PE Ratio,3.37,4.31,7.15,3.52,2.24,2.14,1.99,4.72,4.42,4.47,4.14
5,Forward PE,-,4.82,4.82,4.48,2.37,4.05,-,-,-,-,-
6,PS Ratio,1.06,1.38,2.52,1.38,0.86,0.77,0.67,1.54,1.32,1.21,1.00
7,PB Ratio,0.86,1.12,2.24,1.50,0.86,0.87,0.81,1.24,1.23,1.38,1.12
8,P/TBV Ratio,1.12,1.12,2.24,1.50,0.87,0.87,0.81,1.24,1.23,1.38,1.12
9,P/FCF Ratio,3.38,4.38,7.31,3.21,2.10,2.42,1.98,4.62,3.85,5.76,5.43
10,P/OCF Ratio,4.24,4.24,7.20,3.20,2.08,2.40,1.96,4.59,3.79,5.57,5.31
11,EV/Sales Ratio,0.10,0.37,1.73,0.75,0.11,0.02,0.15,0.54,0.55,0.63,0.33
12,EV/EBITDA Ratio,0.28,1.00,4.37,1.80,0.28,0.05,0.40,1.52,1.90,2.37,1.35
13,EV/EBIT Ratio,0.28,1.01,4.40,1.81,0.28,0.05,0.40,1.54,1.93,2.40,1.37
14,EV/FCF Ratio,0.33,1.18,5.03,1.74,0.28,0.06,0.45,1.61,1.60,3.00,1.79
15,Debt / Equity Ratio,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.01
16,Debt / FCF Ratio,0.04,0.04,0.01,0.02,0.03,0.02,0.04,0.07,0.02,0.14,0.05
17,Return on Capital Employed (ROCE),29.64%,29.32%,34.49%,45.02%,40.07%,42.63%,45.52%,28.14%,26.35%,29.91%,26.49%
18,Earnings Yield,30.05%,23.20%,13.99%,28.38%,44.57%,46.70%,50.30%,21.19%,22.62%,22.38%,24.16%
19,FCF Yield,29.57%,22.84%,13.67%,31.15%,47.59%,41.24%,50.42%,21.62%,25.96%,17.36%,18.42%
20,Dividend Yield,10.31%,-,-,-,-,-,-,-,-,-,14.75%
21,Buyback Yield / Dilution,-1.12%,-0.69%,-1.56%,-2.45%,0.61%,1.82%,1.06%,0.04%,0.49%,-12.94%,-24.69%
22,Total Shareholder Return,9.19%,-0.69%,-1.56%,-2.45%,0.61%,1.82%,1.06%,0.04%,0.49%,-12.94%,-9.93%
