,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Revenue,85.85,85.85,135.19,66.62,66.62,84.82
1,Revenue Growth (YoY),28.87%,1.22%,-,-,-,-
2,Cost of Revenue,69.54,69.54,111.08,53.11,53.11,67.17
3,Gross Profit,16.31,16.31,24.1,13.52,13.52,17.66
4,"Selling, General & Admin",5.36,5.36,7.05,4.86,4.86,5.64
5,Other Operating Expenses,-0.04,-0.04,-1.34,0.26,0.26,-3.79
6,Operating Expenses,5.27,5.27,7.29,5.01,5.01,5.65
7,Operating Income,11.04,11.04,16.81,8.51,8.51,12.01
8,Interest Expense,-0.14,-0.14,-0.12,-0.19,-0.19,-0.15
9,Interest & Investment Income,0.19,0.19,0.02,0.05,0.05,0.05
10,Other Non Operating Income (Expenses),-2.42,-2.42,-15.98,-2.34,-2.34,0.01
11,EBT Excluding Unusual Items,8.67,8.67,0.74,6.03,6.03,11.92
12,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.02
13,Other Unusual Items,-,-,12.14,-,-,0.03
14,Pretax Income,8.67,8.67,12.88,6.03,6.03,11.97
15,Income Tax Expense,1.97,1.97,2.79,1.38,1.38,1.56
16,Net Income,6.7,6.7,10.09,4.65,4.65,10.41
17,Net Income to Common,6.7,6.7,10.09,4.65,4.65,10.41
18,Net Income Growth,44.22%,-35.62%,-,-,-,-
19,Shares Outstanding (Basic),1656,1656,1500,1500,1500,1500
20,Shares Outstanding (Diluted),1656,1656,1500,1500,1500,1500
21,Shares Change (YoY),10.41%,10.41%,-,-,-,-
22,EPS (Basic),0.00,0.00,0.01,0.00,0.00,0.01
23,EPS (Diluted),0.00,0.00,0.01,0.00,0.00,0.01
24,EPS Growth,30.64%,-41.69%,-,-,-,-
25,Free Cash Flow,6.51,6.51,-8.47,-7.11,-7.11,10.36
26,Free Cash Flow Per Share,0.00,0.00,-0.01,-0.00,-0.00,0.01
27,Gross Margin,19.00%,19.00%,17.83%,20.29%,20.29%,20.82%
28,Operating Margin,12.86%,12.86%,12.44%,12.77%,12.77%,14.16%
29,Profit Margin,7.81%,7.81%,7.46%,6.97%,6.97%,12.27%
30,Free Cash Flow Margin,7.59%,7.59%,-6.26%,-10.67%,-10.67%,12.21%
31,EBITDA,11.43,11.43,17.19,9.03,9.03,12.5
32,EBITDA Margin,13.31%,13.31%,12.71%,13.55%,13.55%,14.73%
33,D&A For EBITDA,0.39,0.39,0.37,0.52,0.52,0.49
34,EBIT,11.04,11.04,16.81,8.51,8.51,12.01
35,EBIT Margin,12.86%,12.86%,12.44%,12.77%,12.77%,14.16%
36,Effective Tax Rate,22.72%,22.72%,21.67%,22.91%,22.91%,13.05%
