,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,72.44,72.44,8.65,-,-,70.88
1,Short-Term Investments,46.05,46.05,2.36,-,-,1.76
2,Cash & Short-Term Investments,118.49,118.49,11.01,-,72.64,72.64
3,Cash Growth,63.12%,63.12%,-,-,-,-
4,Accounts Receivable,175.48,175.48,204.77,-,-,88.25
5,Other Receivables,3.07,3.07,15.34,-,-,12.93
6,Receivables,178.54,178.54,220.11,-,-,101.18
7,Prepaid Expenses,0.13,0.13,0.22,-,-,0.16
8,Other Current Assets,5.76,5.76,7.08,-,-,0.82
9,Total Current Assets,302.91,302.91,238.42,-,-,174.8
10,"Property, Plant & Equipment",11.4,11.4,11.97,-,-,17.65
11,Long-Term Deferred Tax Assets,0.75,0.75,0.77,-,-,0.53
12,Other Long-Term Assets,6.07,6.07,5.9,-,-,4.47
13,Total Assets,321.14,321.14,257.06,-,-,197.45
14,Accounts Payable,61.33,61.33,83.62,-,-,27.28
15,Accrued Expenses,8.81,8.81,12.21,-,-,7.89
16,Short-Term Debt,6.43,6.43,9.89,-,-,16.63
17,Current Portion of Leases,1.85,1.85,2.9,-,-,4.35
18,Current Income Taxes Payable,4.49,4.49,3.6,-,-,4.32
19,Current Unearned Revenue,2.73,2.73,3.2,-,-,2.2
20,Other Current Liabilities,-,-,5.31,-,-,-
21,Total Current Liabilities,85.64,85.64,120.72,-,-,62.67
22,Long-Term Leases,0.29,0.29,0.11,-,-,4.19
23,Total Liabilities,85.93,85.93,120.83,-,-,66.87
24,Common Stock,20,20,-,-,-,-
25,Additional Paid-In Capital,91.82,91.82,-,-,-,-
26,Retained Earnings,121.79,121.79,134.97,-,-,129.77
27,Comprehensive Income & Other,1.6,1.6,1.26,-,-,0.82
28,Shareholders' Equity,235.21,235.21,136.23,-,130.59,130.59
29,Total Liabilities & Equity,321.14,321.14,257.06,-,-,197.45
30,Total Debt,8.56,8.56,12.89,-,25.17,25.17
31,Net Cash (Debt),109.93,109.93,-1.88,-,47.47,47.47
32,Net Cash Growth,131.58%,131.58%,-,-,-,-
33,Net Cash Per Share,0.07,0.07,-0.00,-,0.03,0.03
34,Filing Date Shares Outstanding,2000,2000,1500,1500,1500,1500
35,Total Common Shares Outstanding,2000,2000,1500,1500,1500,1500
36,Working Capital,217.27,217.27,117.7,-,-,112.13
37,Book Value Per Share,0.12,0.12,0.09,-,0.09,0.09
38,Tangible Book Value,235.21,235.21,136.23,-,130.59,130.59
39,Tangible Book Value Per Share,0.12,0.12,0.09,-,0.09,0.09
40,Machinery,-,-,15.07,-,-,15.86
41,Leasehold Improvements,-,-,3.9,-,-,2.9
