,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,1160,1200,1160,-,-,-,-
1,Enterprise Value,1050,1202,1164,-,-,-,-
2,Last Close Price,0.58,0.60,0.58,-,-,-,-
3,PE Ratio,31.22,42.65,44.47,-,-,-,-
4,PS Ratio,2.24,3.21,3.27,-,-,-,-
5,PB Ratio,4.93,5.10,4.93,-,-,-,-
6,P/TBV Ratio,5.10,5.10,4.93,-,-,-,-
7,P/FCF Ratio,406.16,-470.96,-71.72,-,-,-,-
8,P/OCF Ratio,253.38,-1960.78,-80.19,-,-,-,-
9,EV/Sales Ratio,2.57,3.22,3.29,-,-,-,-
10,EV/EBITDA Ratio,17.47,24.49,24.94,-,-,-,-
11,EV/EBIT Ratio,19.01,25.35,25.95,-,-,-,-
12,EV/FCF Ratio,367.67,-471.70,-71.99,-,-,-,-
13,Debt / Equity Ratio,0.04,0.04,0.04,0.09,-,0.19,0.19
14,Debt / EBITDA Ratio,0.14,0.17,0.17,0.18,-,0.61,0.46
15,Debt / FCF Ratio,3.00,-3.36,-0.53,-,-,-,2.43
16,Asset Turnover,1.07,1.19,-,-,-,-,
17,Quick Ratio,3.47,3.47,3.47,1.91,-,-,2.77
18,Current Ratio,3.54,3.54,3.54,1.98,-,-,2.79
19,Return on Equity (ROE),11.40%,14.43%,-,-,14.23%,-,
20,Return on Assets (ROA),8.59%,9.55%,-,-,-,-,
21,Return on Capital (ROIC),11.32%,14.05%,-,-,13.66%,-,
22,Return on Capital Employed (ROCE),23.45%,20.13%,19.05%,33.62%,-,-,8.91%
23,Earnings Yield,2.53%,2.34%,2.25%,-,-,-,-
24,FCF Yield,0.25%,-0.21%,-1.39%,-,-,-,-
25,Payout Ratio,34.11%,74.62%,74.62%,-,215.22%,215.22%,-
26,Buyback Yield / Dilution,-5.21%,-10.41%,-10.41%,-,-,-,-
27,Total Shareholder Return,-5.21%,-10.41%,-10.41%,-,-,-,-
