,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011",+20 Quarters
0,Cash & Equivalents,85961,116162,35228,10094,14764,21456,8706,-,9479,14070,6807,9209,24264,18859,11744,11920,8618,17641,3491,23094,Upgrade
1,Short-Term Investments,86000,181000,15000,52114,-,16522,20562,-,19100,19131,19259,22632,24966,27503,26945,27336,27009,26299,50473,51809,Upgrade
2,Trading Asset Securities,154314,5639,14640,11383,60724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,326275,302801,64868,73591,75488,37978,29268,-,28579,33201,26066,31841,49230,46362,38689,39256,35627,43940,53965,74903,Upgrade
4,Cash Growth,332.22%,697.32%,121.64%,-,164.14%,14.39%,12.28%,-,-41.95%,-28.39%,-32.63%,-18.89%,38.18%,5.51%,-28.31%,-47.59%,-24.56%,5.71%,7.25%,14.14%,Upgrade
5,Accounts Receivable,2140,14173,20607,22854,22832,23171,22118,-,24342,22012,22378,25483,20835,17420,13763,15331,17409,14607,18193,15766,Upgrade
6,Other Receivables,3647,4713,28850,11846,13445,11390,12848,-,12509,10894,12597,11180,12213,12023,12578,13155,14883,11153,6876,8496,Upgrade
7,Receivables,32947,46046,53956,34700,36278,34561,34966,-,36851,32906,34975,36662,33048,29443,26341,28487,32292,25760,25069,24262,Upgrade
8,Inventory,64.65,2262,-99.94,19.1,19.1,688,19.1,-,19.1,3887,19.1,-,9280,14167,17678,24101,28442,34582,33445,38814,Upgrade
9,Prepaid Expenses,435.95,-,224.81,377.81,205.22,551.83,172.86,-,134.13,176.53,184.61,122.4,-,-,177.16,63.11,169.78,-,-,-,Upgrade
10,Other Current Assets,8595,8818,16139,15449,19488,24077,24211,-,27347,24232,27524,27400,27519,21999,26687,22160,31145,22197,22012,20474,Upgrade
11,Total Current Assets,368317,359927,135088,124137,131478,97855,88637,-,92931,94402,88769,96026,119077,111972,109571,114067,127675,126479,134491,158453,Upgrade
12,"Property, Plant & Equipment",37877,34321,46096,46772,52777,49656,49699,-,74926,76510,73100,74331,76308,85613,87112,88058,84438,84518,133560,125530,Upgrade
13,Long-Term Investments,-,-,35767,38417,35767,38567,36832,-,45832,45832,47699,48330,50102,50331,54885,54958,54958,54958,59683,58474,Upgrade
14,Goodwill,-,-,31347,-,32621,-,27398,-,25735,-,28353,-,23729,-,12285,-,12815,-,-,-,Upgrade
