,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,+20 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011",+20 Quarters
0,Market Capitalization,591988,635430,720841,257547,257547,248510,206339,191277,150612,171698,134045,99405,131033,147600,146094,135552,165673,186759,128020,177724,209351,Upgrade
1,Market Cap Growth,155.70%,155.70%,249.35%,34.65%,71.00%,44.74%,53.93%,92.42%,14.94%,16.33%,-8.25%,-26.67%,-20.91%,-20.97%,14.12%,-23.73%,-20.86%,-27.06%,-60.28%,-53.73%,-55.64%,Upgrade
2,Enterprise Value,265713,570562,655973,183956,182059,207732,177071,177182,136517,156055,126895,98537,119503,132267,131179,125843,155469,177057,115745,150820,202123,Upgrade
3,Last Close Price,40200.00,41627.06,45169.21,7382.73,6970.29,6418.25,5329.10,4940.11,3889.85,4198.56,3277.82,2430.74,3204.16,3322.18,3288.28,3050.98,3728.98,3875.17,2656.37,3367.00,3966.21,Upgrade
4,PE Ratio,11.45,15.26,16.95,6.63,7.58,10.95,13.60,17.76,11.53,22.76,15.89,12.45,-,9.02,9.30,5.75,6.62,6.48,3.32,4.80,4.99,Upgrade
5,Forward PE,-,7.61,7.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,PS Ratio,2.00,2.33,2.92,1.40,1.45,1.40,1.21,1.16,0.95,1.15,0.90,0.63,0.74,0.73,0.68,0.63,0.78,0.84,0.58,0.78,0.89,Upgrade
7,PB Ratio,1.39,1.49,1.75,0.78,0.80,0.77,0.66,0.62,-,0.56,0.44,0.33,0.44,0.47,0.47,0.44,0.54,0.59,0.40,0.55,0.66,Upgrade
8,P/TBV Ratio,1.59,1.59,1.90,1.24,1.13,1.39,1.02,1.15,-,0.92,0.63,0.55,0.65,0.77,0.66,0.67,0.82,0.90,0.59,0.66,0.79,Upgrade
9,P/FCF Ratio,1.74,-,-,-,-,5.95,-,8.44,2.74,12.56,-,8.85,-,10.59,-,2.54,-,3.35,-,6.38,12.46,Upgrade
10,P/OCF Ratio,1.86,-,-,-,-,5.72,-,7.12,2.68,11.26,-,7.49,-,6.94,-,1.91,2.93,2.62,2.42,3.64,4.57,Upgrade
11,PEG Ratio,0.59,0.59,0.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/Sales Ratio,0.90,2.09,2.66,1.00,1.03,1.17,1.03,1.08,0.86,1.05,0.86,0.62,0.67,0.65,0.61,0.59,0.73,0.80,0.53,0.66,0.86,Upgrade
13,EV/EBITDA Ratio,-,-,-,3.52,3.91,4.96,5.42,6.45,4.97,7.78,5.43,4.46,4.66,3.44,3.59,2.77,3.27,3.32,1.86,2.63,3.36,Upgrade
14,EV/EBIT Ratio,4.19,13.38,14.37,4.63,5.39,7.15,8.88,11.42,7.59,16.70,11.14,10.92,-,6.14,6.39,4.07,4.56,4.13,2.14,2.95,3.61,Upgrade
15,EV/FCF Ratio,0.78,-,-,-,-,4.97,-,7.82,2.48,11.42,-,8.77,-,9.49,-,2.36,-,3.18,-,5.42,12.03,Upgrade
16,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,0.05,0.06,0.06,0.10,0.12,0.10,0.08,0.10,0.08,0.11,0.13,0.15,Upgrade
17,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,0.78,0.65,0.59,11.14,1.19,1.42,0.51,0.55,1.04,0.60,0.76,0.62,Upgrade
18,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,1.06,-,1.68,-,2.70,-,0.45,-,0.46,-,1.50,2.86,Upgrade
19,Asset Turnover,-,-,0.57,0.51,0.51,0.58,-,-,0.44,0.48,0.42,0.40,0.40,0.55,0.60,0.66,0.52,0.50,0.53,0.70,Upgrade,
20,Inventory Turnover,180.08,-,-,-,6773.84,354.19,408.24,-,-,70.02,71.95,10843.25,31.52,10.45,9.79,8.56,7.30,5.47,3.43,4.14,4.48,Upgrade
21,Quick Ratio,9.09,9.09,6.20,7.99,8.70,2.32,3.71,4.22,-,2.25,1.87,1.88,1.70,1.51,1.40,1.37,1.11,1.16,1.12,1.10,1.04,Upgrade
22,Current Ratio,10.08,10.08,6.93,9.44,9.97,2.72,5.00,5.83,-,3.19,2.68,2.74,2.38,2.18,2.07,2.30,1.87,2.18,2.03,1.88,1.66,Upgrade
23,Return on Equity (ROE),-,-,11.12%,19.49%,10.88%,7.16%,-,-,1.42%,1.50%,8.57%,-1.49%,2.52%,0.89%,7.59%,10.05%,1.65%,10.66%,9.13%,14.43%,Upgrade,
24,Return on Assets (ROA),-,-,8.05%,6.99%,7.65%,6.26%,-,-,1.20%,2.77%,5.56%,-2.50%,2.49%,0.96%,5.15%,5.99%,1.74%,7.58%,6.58%,11.06%,Upgrade,
25,Return on Capital (ROIC),-,-,8.43%,7.67%,8.47%,6.61%,-,-,1.26%,2.90%,5.76%,-2.60%,2.64%,1.02%,5.61%,6.60%,1.91%,8.23%,7.31%,12.09%,Upgrade,
26,Return on Capital Employed (ROCE),14.62%,9.83%,10.94%,11.95%,10.46%,9.05%,6.39%,5.06%,-,3.05%,3.73%,2.97%,-,6.86%,6.58%,9.87%,11.09%,13.37%,16.95%,15.67%,17.56%,Upgrade
27,Earnings Yield,8.73%,6.55%,5.90%,15.08%,13.19%,9.13%,7.35%,5.63%,8.67%,4.39%,6.29%,8.03%,5.64%,11.09%,10.75%,17.38%,15.10%,15.44%,30.12%,20.85%,20.06%,Upgrade
28,FCF Yield,57.42%,-,-,-3.51%,6.24%,16.81%,11.08%,11.85%,36.56%,7.96%,8.82%,11.30%,2.63%,9.45%,12.98%,39.36%,17.86%,29.85%,23.33%,15.67%,8.03%,Upgrade
29,Dividend Yield,8.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.21%,Upgrade
30,Payout Ratio,55.09%,-,-,4.19%,2.72%,7.09%,135.93%,-,-,-,921.41%,-,-,-,2179.66%,-,189.92%,-,176.27%,205.93%,0.08%,Upgrade
31,Buyback Yield / Dilution,2.26%,2.22%,2.14%,-0.11%,0.14%,-0.07%,0.23%,-0.00%,-0.98%,0.26%,-0.45%,0.08%,0.72%,-0.09%,0.36%,-20.65%,0.01%,-0.06%,14.51%,17.12%,-0.00%,Upgrade
32,Total Shareholder Return,10.96%,2.22%,2.14%,-0.11%,0.14%,-0.07%,0.23%,-0.00%,-0.98%,0.26%,-0.45%,0.08%,0.72%,-0.09%,0.36%,-20.65%,0.01%,-0.06%,14.51%,17.12%,25.21%,Upgrade
