,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,283.72,296.38,284.8,234.42,326.14,311.23,306.81,178.36,305.33,224.46,241.75,213.95,281.7,252.71,210.33,248.54,248.54,168.82,168.82
1,Other Revenue,-3.58,3.58,-,6.63,-2.95,2.95,-,5.41,-1.9,1.9,-,3.77,-1.59,1.59,-,1.02,1.02,0.85,0.85
2,Revenue,280.14,299.96,284.8,241.05,323.19,314.18,306.81,183.77,303.43,226.36,241.75,217.71,280.12,254.29,210.33,249.56,249.56,169.68,169.68
3,Revenue Growth (YoY),-13.32%,-4.53%,-7.18%,31.17%,6.51%,38.80%,26.91%,-15.59%,8.32%,-10.98%,14.94%,-12.76%,12.25%,49.87%,23.96%,-,-,-,-
4,Cost of Revenue,170.3,180.41,160.25,166.79,182.18,180.48,162.04,138.54,173.63,132.38,144.33,141.58,167.54,144.41,121.48,135.58,135.58,101.78,101.78
5,Gross Profit,109.84,119.55,124.55,74.26,141,133.7,144.77,45.23,129.8,93.98,97.42,76.13,112.58,109.88,88.85,113.98,113.98,67.89,67.89
6,"Selling, General & Admin",99.12,108.39,87.92,117.02,100.65,100.28,74.33,77.5,89.96,74.73,59.55,72.83,69.75,59.38,49.5,67.7,67.7,44.42,44.42
7,Research & Development,9.05,2.25,2.43,4.76,4.72,3.14,-,0.29,0.36,-0.15,0.17,-0.2,0.56,0.01,0.27,0.45,0.45,0.05,0.05
8,Other Operating Expenses,-0.63,1.34,0.88,5.83,0.65,-0.25,0.28,5.81,0.16,-0.61,0.37,4.18,0.63,0.15,0.13,1.41,1.41,0.52,0.52
