,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3320,3696,3361,4382,4738,5591,6631,4940,4981,4314,5382,5296,-,-,-,-,-,-,-,-
1,Market Cap Growth,-33.89%,-33.89%,-49.31%,-11.29%,-4.89%,29.60%,23.19%,-6.73%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2100,2384,2033,2935,3291,4169,5245,3277,3318,2722,3682,4888,-,-,-,-,-,-,-,-
3,Last Close Price,21.38,23.80,20.84,26.93,29.11,34.36,40.75,29.66,29.91,25.90,32.32,31.36,-,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,122.74,-,84.37,95.92,78.00,-,69.33,77.80,62.68,-,-,-,-,-,-,-,-
5,Forward PE,-,39.67,39.67,39.67,39.97,47.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.04,3.34,2.93,3.77,4.00,4.96,5.98,4.84,5.21,4.36,5.57,5.33,-,-,-,-,-,-,-,-
7,PB Ratio,1.72,1.92,1.66,2.12,2.29,2.64,3.17,2.21,2.29,1.95,2.47,2.36,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.94,1.94,1.68,2.15,2.32,2.69,3.22,2.25,2.33,1.98,2.50,2.40,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-81.93,-134.49,-90.91,-,92.35,-,41.84,-,27.67,35.14,32.49,-,-,-,-,-,-,-,-
10,P/OCF Ratio,31.88,31.88,20.33,30.05,-,31.80,38.83,28.45,-,22.80,28.47,22.83,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.90,2.16,1.77,2.52,2.78,3.70,4.73,3.21,3.47,2.75,3.81,4.92,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,22.41,61.46,28.15,31.25,-,28.18,34.64,23.20,-,18.66,25.14,27.84,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-228.78,91.86,66.47,-,43.25,52.25,36.53,-,28.53,37.46,37.91,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-46.54,-52.84,-81.36,-60.89,-,68.86,-,27.75,-,17.46,24.04,29.98,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.12,0.12,0.13,0.14,0.14,0.13,0.13,0.11,0.11,0.10,0.22,-,0.23,-,-,-,-,-
16,Debt / EBITDA Ratio,2.48,4.06,1.26,1.44,3.68,1.51,1.00,0.89,2.48,1.17,1.04,1.13,0.95,-,0.70,-,-,-,-,-
17,Debt / FCF Ratio,-,-5.14,-9.92,-5.32,-,4.75,-,2.48,-,1.53,1.59,1.38,1.63,-,1.94,-,-,-,-,-
18,Asset Turnover,0.47,0.49,0.46,0.38,0.50,0.48,0.46,0.28,0.47,0.35,0.48,-,-,-,-,0.90,0.94,0.66,-,
19,Inventory Turnover,7.50,7.94,8.44,7.52,7.39,7.40,7.39,7.29,6.50,8.04,6.16,7.30,-,-,-,-,7.69,7.67,5.75,-
20,Quick Ratio,7.95,7.95,8.53,9.00,8.26,8.88,9.30,8.36,11.26,10.30,11.82,9.94,4.56,-,3.71,-,5.43,5.39,5.28,5.28
21,Current Ratio,8.57,8.57,9.13,9.63,8.94,9.46,9.96,9.89,11.88,10.84,12.47,10.50,5.15,-,4.28,-,6.36,6.36,6.26,6.26
22,Return on Equity (ROE),-1.98%,-1.33%,5.25%,-7.33%,3.70%,3.78%,10.20%,-6.12%,4.34%,2.84%,6.34%,-,-,12.51%,11.61%,13.90%,14.40%,7.42%,-,
23,Return on Assets (ROA),0.24%,0.83%,3.27%,-5.23%,3.38%,2.85%,6.48%,-3.59%,3.74%,1.86%,4.59%,-,-,-,-,10.10%,10.45%,5.48%,-,
24,Return on Capital (ROIC),0.25%,0.88%,3.47%,-5.60%,3.64%,3.07%,6.92%,-3.82%,3.98%,1.98%,4.98%,-,-,11.26%,10.05%,11.58%,12.00%,6.29%,-,
25,Return on Capital Employed (ROCE),-,-0.49%,0.99%,1.94%,-,4.04%,4.24%,3.57%,-,3.92%,4.08%,5.27%,-,-,14.51%,-,13.64%,9.11%,4.92%,2.46%
26,Earnings Yield,-0.59%,-0.53%,0.28%,0.81%,1.34%,1.19%,1.04%,1.28%,0.65%,1.44%,1.29%,1.60%,-,-,-,-,-,-,-,-
27,FCF Yield,-1.36%,-1.22%,-0.74%,-1.10%,-0.25%,1.08%,1.44%,2.39%,1.98%,3.61%,2.85%,3.08%,-,-,-,-,-,-,-,-
28,Dividend Yield,2.81%,-,-,-,2.06%,-,-,-,3.34%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,734.27%,-,-,-,463.86%,-,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-0.84%,0.91%,1.57%,0.02%,-6.19%,-0.04%,5.51%,-33.50%,-25.68%,-33.42%,-41.31%,0.01%,0.02%,0.00%,0.00%,-0.03%,-,-,-,-
31,Total Shareholder Return,1.96%,0.91%,1.57%,0.02%,-4.13%,-0.04%,5.51%,-33.50%,-22.34%,-33.42%,-41.31%,0.01%,0.02%,0.00%,0.00%,-0.03%,-,-,-,-
