,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,122.91,127.54,117.95,144.51,116.05,138.35,67.4,117.39,58.76,92.82
1,Revenue Growth (YoY),4.20%,-11.74%,1.64%,4.45%,72.16%,17.85%,14.72%,26.48%,4.64%,-
2,Cost of Revenue,98.18,115.52,92.89,107.25,82.84,94.05,37.1,49.54,34.21,40.81
3,Gross Profit,24.73,12.03,25.06,37.26,33.2,44.3,30.3,67.85,24.55,52.01
4,"Selling, General & Admin",30.48,25.84,25.08,23.9,16.82,21.37,21.11,24.07,16.04,12.09
5,Research & Development,37.65,24.11,18.2,12.07,7.07,2.12,6.75,8.47,3.47,3.16
6,Other Operating Expenses,-0.01,-8.06,0.43,-2.06,2.38,3.55,1.68,-0.09,1.32,-0.33
7,Operating Expenses,68.12,67.6,43.71,43.3,26.27,27.04,29.53,32.45,20.83,14.93
8,Operating Income,-43.4,-55.57,-18.65,-6.05,6.93,17.25,0.77,35.4,3.72,37.08
9,Interest Expense,-1.07,-0.8,-0.53,-0.74,-0.54,-0.53,-0.62,-0.49,-0.3,-0.74
10,Interest & Investment Income,4.67,5.04,3.9,2.19,1.25,0.51,0.14,0.28,0.1,0.12
11,Earnings From Equity Investments,-1.27,1.08,-0.9,1.03,-,0.02,-,-,-,-
12,Currency Exchange Gain (Loss),-0.02,0,-0.91,1.15,-2.97,-3.52,0.14,-0.11,-,0.01
13,Other Non Operating Income (Expenses),1.19,0.87,0.76,4.89,1.05,0.95,1.9,0.57,1.11,0.4
14,EBT Excluding Unusual Items,-39.88,-49.38,-16.32,2.47,5.72,14.68,2.34,35.65,4.63,36.87
15,Gain (Loss) on Sale of Investments,-4.26,4.27,-2.31,0.4,13.64,-,-,-,-,-
16,Asset Writedown,-11.26,-0.02,-8.02,-,-,-,-,-,-,-
17,Other Unusual Items,-,0.68,0.13,-1.43,-,-,-,-,-,-
18,Pretax Income,-55.4,-44.45,-26.53,1.43,19.36,14.68,2.34,35.65,4.63,36.87
19,Income Tax Expense,0.02,-1.77,0.48,1.39,1.96,2.86,1.1,6.68,1.58,6.16
20,Earnings From Continuing Operations,-55.42,-42.68,-27.01,0.04,17.4,11.82,1.23,28.98,3.05,30.71
21,Minority Interest in Earnings,0.19,0.28,0.25,0.05,0,-0,0,0,-0,-0.01
22,Net Income,-55.23,-42.4,-26.76,0.09,17.4,11.82,1.23,28.98,3.05,30.7
23,Net Income to Common,-55.23,-42.4,-26.76,0.09,17.4,11.82,1.23,28.98,3.05,30.7
24,Net Income Growth,-,-,-,-99.26%,1312.34%,-59.22%,-59.65%,-5.62%,27.05%,-
25,Shares Outstanding (Basic),827,787,787,787,787,798,794,600,600,-
26,Shares Outstanding (Diluted),827,787,787,787,787,798,794,600,600,-
27,Shares Change (YoY),5.19%,-,-,-1.41%,-1.00%,32.96%,32.41%,-,-,-
28,EPS (Basic),-0.07,-0.05,-0.03,0.00,0.02,0.01,0.00,0.05,0.01,-
29,EPS (Diluted),-0.07,-0.05,-0.03,0.00,0.02,0.01,0.00,0.05,0.01,-
30,EPS Growth,-,-,-,-99.25%,1327.23%,-69.34%,-69.54%,-,-,-
31,Free Cash Flow,-34.31,61.95,-55.75,56.96,-46.29,-58.8,-48.47,39.38,-28.21,17.01
32,Free Cash Flow Per Share,-0.04,0.08,-0.07,0.07,-0.06,-0.07,-0.06,0.07,-0.05,-
33,Operating Margin,-35.31%,-43.57%,-15.81%,-4.18%,5.97%,12.47%,1.14%,30.16%,6.33%,39.95%
34,Profit Margin,-44.93%,-33.24%,-22.69%,0.06%,14.99%,8.54%,1.83%,24.68%,5.20%,33.08%
35,Free Cash Flow Margin,-27.91%,48.57%,-47.26%,39.42%,-39.89%,-42.50%,-71.90%,33.55%,-48.01%,18.33%
36,EBITDA,-35.18,-60.94,-10.18,-9.58,12.63,17.94,1.2,34.49,5.37,37.66
37,D&A For EBITDA,8.22,-5.37,8.47,-3.54,5.7,0.69,0.43,-0.91,1.65,0.58
38,EBIT,-43.4,-55.57,-18.65,-6.05,6.93,17.25,0.77,35.4,3.72,37.08
