,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,328,2199,590,1164,1408,2092,1549,1632,-,-,-
1,Market Cap Growth,88.92%,88.92%,-58.10%,-44.36%,-9.14%,28.19%,-,-,-,-,-
2,Enterprise Value,23,1878,261,738,877,1461,777,1578,-,-,-
3,Last Close Price,0.35,2.33,0.75,1.48,1.75,2.60,1.93,1.99,-,-,-
4,PE Ratio,-,-,-,-,71.21,61.13,96.75,44.92,-,-,-
5,PS Ratio,1.05,8.17,2.18,4.10,4.78,7.02,6.13,7.34,-,-,-
6,PB Ratio,0.40,2.66,0.68,1.29,1.41,2.04,1.50,1.58,-,-,-
7,P/TBV Ratio,3.29,3.29,0.85,1.64,1.75,2.24,1.61,1.64,-,-,-
8,P/FCF Ratio,20.12,-,86.31,-,116.71,-,-,-,-,-,-
9,P/OCF Ratio,133.78,-,17.19,-,88.98,-,-,-,-,-,-
10,EV/Sales Ratio,0.08,6.98,0.97,2.60,2.98,4.90,3.08,7.10,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,40.79,33.09,36.76,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,51.56,35.14,36.27,-,-,-
13,EV/FCF Ratio,1.38,-,38.20,-,72.67,-,-,-,-,-,-
14,Debt / Equity Ratio,0.06,0.06,0.05,0.02,0.04,0.02,0.01,0.03,0.12,0.06,0.26
15,Debt / FCF Ratio,3.05,-,6.02,-,3.28,-,-,-,2.12,-,-16.19
16,Return on Capital Employed (ROCE),-,-,-,-,-,2.75%,2.14%,4.19%,19.05%,22.88%,19.62%
17,Earnings Yield,-31.96%,-4.77%,-12.92%,-2.48%,1.40%,1.64%,1.03%,2.23%,-,-,-
18,FCF Yield,4.97%,1.35%,1.16%,0.11%,0.86%,-5.88%,-8.50%,-0.67%,-,-,-
19,Buyback Yield / Dilution,-2.60%,-5.19%,-,-,1.41%,1.00%,-32.96%,-32.41%,-,-,-
20,Total Shareholder Return,-2.60%,-5.19%,-,-,1.41%,1.00%,-32.96%,-32.41%,-,-,-
