,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,43.89,44.65,25.93,28.67,35.28,48.16,45.38,63.72,39.57,71.21,79.17,50.69,60.29,51.1,68.35,41.34
1,Other Revenue,-,-0.99,0.99,-,2.47,-1.37,1.37,-,2.18,-0.19,0.19,-,0.98,-0.39,0.19,0.2
2,Revenue,43.89,43.66,26.92,28.67,37.75,46.78,46.75,63.72,41.75,71.02,79.36,50.69,61.27,50.71,68.54,41.53
3,Revenue Growth (YoY),16.27%,-6.68%,-42.41%,-55.01%,-9.59%,-34.13%,-41.09%,25.70%,-31.86%,40.05%,15.77%,22.06%,-,-,-,-
4,Cost of Revenue,-58.02,23.92,16.68,17.42,22.98,21.21,23.56,24.39,19.9,21.47,20.87,15.06,16.8,15.61,14.28,9.62
5,Gross Profit,101.91,19.74,10.24,11.25,14.77,25.57,23.19,39.33,21.85,49.55,58.48,35.63,44.48,35.1,54.26,31.91
6,"Selling, General & Admin",-39.25,12.47,16.73,10.05,15.41,12.25,9.16,12.49,9.01,14.2,7.38,8.41,10.73,8.17,9.8,7.1
7,Research & Development,-18.87,6.37,6.63,5.87,5.07,5.62,5.78,5.83,2.63,7.13,6.01,5.57,3.6,5.14,3.98,3.65
8,Other Operating Expenses,179.95,-3.16,0.15,0.1,0.21,-0.12,-0.2,0.09,3.91,-1.54,-1.07,-0.58,-0.86,-0.95,-0.09,-2.15
9,Operating Expenses,119.12,13.07,32.09,12.76,27.87,14.63,17.76,17.75,20.59,19.43,14.65,14.04,12.97,12.26,14.42,10.78
10,Operating Income,-17.21,6.66,-21.85,-1.51,-13.1,10.94,5.43,21.57,1.26,30.13,43.83,21.59,31.5,22.84,39.85,21.13
11,Interest Expense,-12.76,-1.11,-0.36,-0.67,-0.66,-0.52,-0.38,-0.12,-0.25,-0.47,-0.5,-0.46,-0.61,-0.53,-0.47,-0.47
12,Interest & Investment Income,2.14,4.34,3.77,4.66,4.6,5.05,4.99,5.59,5.82,0.92,0.01,0.01,0.04,0.03,0.03,0.01
