,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,210.06,286.42,238.36,308.3,598.93,381.21,605.96,167.52,1207,24,30.12,48.9,-,-,-
1,Short-Term Investments,-,-,628,-,720,-,700,-,1000,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,210.06,210.06,914.42,238.36,1028,598.93,1081,605.96,1168,1207,24,30.12,48.9,-,-,35.6
3,Cash Growth,-79.57%,-64.93%,-15.43%,-60.66%,-11.92%,-50.36%,4405.02%,1911.50%,2287.37%,-,-,-15.37%,-,-,-,-
4,Accounts Receivable,-,220.49,214.5,252.92,269.89,313.66,310.01,288.56,274.88,276.37,257.38,214.26,195.78,-,-,-
5,Other Receivables,-,4.78,11.16,3.52,5.36,2.79,12.2,1.59,6.1,1.34,1.19,0.19,0.78,-,-,-
6,Receivables,-,225.27,225.66,256.44,275.25,316.45,322.2,290.15,280.99,277.71,258.57,214.44,196.56,-,-,-
7,Inventory,-,21.58,18,11.69,5.65,8.61,9.86,2.48,4.28,2.93,2.73,4.42,5.85,-,-,-
8,Other Current Assets,-,722.94,36.9,760.15,30.15,461.82,20.57,565.96,18.11,13.7,6.74,5.25,4.77,-,-,-
9,Total Current Assets,-,1180,1195,1267,1339,1386,1434,1465,1471,1501,292.03,254.24,256.08,-,-,-
10,"Property, Plant & Equipment",-,498.17,485.75,498.07,443.03,356.16,318.56,202.43,199.48,174.55,142.86,137.14,130.26,-,-,-
11,Goodwill,-,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,-,-,-
12,Other Intangible Assets,-,10.76,11,11.62,12.25,12.84,13.62,5.99,5.88,6.27,5.95,6.24,6.56,-,-,-
13,Long-Term Deferred Tax Assets,-,14.55,14.62,12.14,13.2,3.78,3.8,3.44,5.18,2.36,2.34,2.08,1.99,-,-,-
14,Long-Term Deferred Charges,-,24.78,25.72,13.9,5.63,1.35,2.03,2.18,2.91,3.49,4.19,4.89,5.58,-,-,-
15,Other Long-Term Assets,-,50.61,57.01,28.53,26.53,81.81,78.19,62.99,47.48,32.08,12.29,10.02,5.87,-,-,-
16,Total Assets,-,1781,1792,1833,1843,1844,1853,1744,1734,1722,462.17,417.12,408.87,-,-,-
17,Accounts Payable,-,38.03,38.78,34.52,32.03,28.74,28.41,20.25,18.6,18.02,19.69,16.65,16.36,-,-,-
18,Accrued Expenses,-,4.32,5.05,4.16,8.51,3.9,5.62,3.62,17.95,13.96,10.32,8.95,17.28,-,-,-
19,Short-Term Debt,-,-,-,-,-,-,-,-,4.99,14.81,38.75,38.69,37,-,-,-
20,Current Portion of Leases,-,9.7,11.13,9.69,11.39,8.38,9.51,4.63,4.73,3.32,3.03,3.76,3.59,-,-,-
21,Current Income Taxes Payable,-,0.47,0.15,1.96,3.15,5.34,5.73,5.85,2.02,13.37,9.79,5.59,8.34,-,-,-
22,Current Unearned Revenue,-,-,-,3.75,-,-,-,-,-,-,-,-,-,-,-,-
23,Other Current Liabilities,-,1,1.28,0.75,1.33,1.12,1.16,6.28,3.58,0.12,0.38,0.33,0.83,-,-,-
