,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3177,2790,2279,2439,2975,4977,5160,6214,5978,6156,6577,-,-,-,-,-,-
1,Market Cap Growth,-43.95%,-43.95%,-55.84%,-60.75%,-50.24%,-19.15%,-21.54%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3060,2672,1459,2295,2473,4476,4177,5618,4793,4971,6598,-,-,-,-,-,-
3,Last Close Price,32.23,28.30,23.00,24.30,29.46,49.28,50.92,61.32,58.99,60.75,64.91,-,-,-,-,-,-
4,PE Ratio,-,-,-287.85,-,122.65,-,79.31,77.92,58.65,63.21,61.36,-,-,-,-,-,-
5,Forward PE,-,33.33,33.33,33.33,33.33,33.33,32.20,38.78,33.52,-,-,-,-,-,-,-,-
6,PS Ratio,22.79,19.49,16.63,17.41,18.60,25.52,25.93,27.84,23.37,25.35,25.07,-,-,-,-,-,-
7,PB Ratio,1.95,1.67,1.36,1.45,1.73,2.88,2.95,3.54,3.53,3.69,3.98,-,-,-,-,-,-
8,P/TBV Ratio,1.73,1.73,1.41,1.50,1.79,2.99,3.06,3.68,3.55,3.71,4.00,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-43.96,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,24.13,24.34,33.31,71.27,131.10,146.75,158.82,214.78,125.25,-,-,-,-,-,-
11,EV/Sales Ratio,21.38,18.67,10.65,16.38,15.46,22.95,20.99,25.17,18.73,20.47,25.15,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,989.61,-,89.57,-,69.13,70.94,41.49,43.27,45.87,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-48.97,-,-,-,106.53,96.21,49.52,51.35,51.94,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-39.53,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.12,0.14,0.14,-,-,0.16
16,Debt / EBITDA Ratio,-,-,0.87,-,2.16,4.08,0.77,0.82,0.09,0.41,0.16,0.23,0.45,0.30,-,-,0.35
17,Debt / FCF Ratio,-,-,-,-,-,-0.47,-,-,-,-,-,-,-,5.71,-,-,-
18,Asset Turnover,-,0.10,0.06,0.06,0.08,0.10,0.10,0.15,0.10,0.26,0.72,0.49,-,-,-,-,
19,Inventory Turnover,-,-,4.84,4.49,8.04,12.90,9.19,15.28,28.86,22.09,30.37,23.37,11.73,-,-,-,-
20,Quick Ratio,-,-,8.14,20.22,9.02,23.10,19.28,27.83,22.05,27.93,23.34,3.45,3.31,2.94,-,-,-
21,Current Ratio,-,-,22.05,21.20,23.10,23.74,29.19,28.43,36.04,28.36,23.60,3.56,3.44,3.07,-,-,-
22,Return on Equity (ROE),-4.39%,0.65%,-2.09%,0.76%,-1.88%,2.71%,3.42%,5.58%,3.54%,10.30%,42.42%,23.07%,-,-,-,-,
23,Return on Assets (ROA),-,0.93%,-3.01%,-0.20%,-1.78%,1.48%,0.75%,3.10%,0.18%,6.90%,24.92%,13.07%,-,-,-,-,
24,Return on Capital (ROIC),-2.50%,0.96%,-3.12%,-0.21%,-1.83%,1.52%,0.77%,3.19%,0.19%,7.19%,27.29%,14.45%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-1.72%,-,-,-,2.18%,3.24%,5.68%,5.75%,7.66%,31.50%,33.74%,35.43%,-,-,-
26,Earnings Yield,-0.67%,-0.76%,-0.35%,0.01%,0.82%,0.87%,1.26%,1.28%,1.71%,1.58%,1.63%,-,-,-,-,-,-
27,FCF Yield,-,-3.71%,-4.59%,-5.27%,-2.27%,-2.70%,-2.25%,-1.47%,-1.50%,-0.70%,-,-,-,-,-,-,
28,Dividend Yield,0.91%,-,-,-,-,0.63%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,0.06%,-,0.60%,0.59%,2.37%,3.39%,0.98%,0.53%,1.01%
30,Buyback Yield / Dilution,-0.98%,-108.93%,99.37%,-8.61%,10.18%,2.09%,-13.88%,-29.88%,-34.81%,-31.76%,-20.62%,-1.34%,-0.10%,-,-,-,-
31,Total Shareholder Return,-0.06%,-108.93%,99.37%,-8.61%,10.18%,2.72%,-13.88%,-29.88%,-34.81%,-31.76%,-20.62%,-1.34%,-0.10%,-,-,-,-
