,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,236.78,549.74,1375,853.77,888.38,707.07,699.12,385.1,2237,393.41
1,Trading Asset Securities,498.24,206.15,125.8,30.95,116.54,397.4,1020,2197,-,-
2,Cash & Short-Term Investments,735.02,755.89,1500,884.71,1005,1104,1719,2582,2237,393.41
3,Cash Growth,-51.01%,-14.56%,49.30%,-19.90%,-41.55%,-57.22%,-23.14%,556.32%,-,-
4,Accounts Receivable,973.05,884.22,657.19,611.22,582.35,454.68,383.19,268.84,232.21,204.21
5,Other Receivables,27.29,28.04,36.57,18.33,12.99,13.36,8.91,6.13,40.44,4.15
6,Receivables,1000,912.27,693.76,629.55,595.35,468.04,392.1,274.96,272.65,208.36
7,Inventory,266.56,279.48,210.39,204.19,148.23,136.34,91.15,59.8,56.47,53.66
8,Prepaid Expenses,-,-,-,-,-,-,-,-,0.36,6.96
9,Restricted Cash,-,12.1,-,-,-,-,-,-,-,-
10,Other Current Assets,16.38,15.85,13.88,31.02,8.94,11.92,9.58,5.55,6.23,6.15
11,Total Current Assets,2018,1976,2418,1749,1757,1721,2212,2922,2573,668.53
12,"Property, Plant & Equipment",4855,4630,3836,2999,2711,2517,1966,1366,1225,1122
13,Goodwill,3724,3724,2396,2235,2235,2235,1749,300.34,300.34,300.34
14,Other Intangible Assets,219.08,221.38,172.75,148.57,143.47,145.87,126.24,82.6,83.57,85.37
15,Long-Term Deferred Tax Assets,46.27,43.89,29.52,31.17,22.21,17.79,12.32,12.29,14.72,18.07
16,Other Long-Term Assets,141.25,138.79,108.69,78.54,38.28,50.08,148.04,17.89,25.34,18.42
17,Total Assets,11004,10735,8961,7242,6907,6687,6214,4701,4222,2213
18,Accounts Payable,633.37,687.1,402.17,396.22,330.84,308.34,199.46,118.45,107.21,123.53
19,Accrued Expenses,331.86,398.74,218.8,217.35,198.57,198.46,143.63,70.94,61.49,58.43
20,Short-Term Debt,310,212,174,119.43,-,-,-,-,-,-
21,Current Portion of Long-Term Debt,177.18,190.37,178.95,60.97,130.22,34.37,27.77,-,-,1398
22,Current Portion of Leases,0.89,0.79,1.13,2.73,1.8,0.39,1.04,1.68,1.3,1.3
23,Current Income Taxes Payable,75.24,76.68,69.38,72.85,62.15,54.85,41.31,30.55,24.82,25.45
24,Current Unearned Revenue,66.61,60.69,36.59,37.3,41.4,41.53,32.99,22.12,16.77,18.56
25,Other Current Liabilities,283.1,317.78,372.9,119.18,130.67,216.66,188.73,37.21,57.91,88.52
26,Total Current Liabilities,1878,1944,1454,1026,895.65,854.61,634.93,280.95,269.48,1714
27,Long-Term Debt,2248,2319,1424,1103,1160,1196,969.17,-,-,631.67
28,Long-Term Leases,2.19,2.44,2.92,3.13,0.27,0.42,0.61,0.81,0.66,1.31
29,Long-Term Unearned Revenue,35.69,36.08,35.54,34.57,33.55,34.43,34.78,26.69,27.15,28.31
30,Long-Term Deferred Tax Liabilities,182.19,168.41,141.13,126.98,121.16,115.25,90.83,43.6,36.53,32.67
31,Other Long-Term Liabilities,9.52,9.62,8.27,8.31,7.77,8.04,8.09,7.88,7.94,7.65
32,Total Liabilities,4356,4480,3066,2302,2218,2209,1738,359.93,341.76,2416
33,Common Stock,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-
34,Additional Paid-In Capital,7634,7634,7634,7047,7047,7083,7157,7123,6837,2731
35,Retained Earnings,1789,1404,1073,738.57,527.35,303.14,15.7,-107.83,-251.01,-253.37
36,Comprehensive Income & Other,-2796,-2805,-2832,-2852,-2910,-2930,-2781,-2748,-2772,-2681
37,Total Common Equity,6626,6233,5875,4934,4664,4456,4391,4268,3813,-202.61
38,Minority Interest,22.28,21.68,20.42,6.31,25.21,21.26,84.73,73.61,66.63,-
39,Shareholders' Equity,6649,6255,5895,4940,4689,4478,4476,4341,3880,-202.61
40,Total Liabilities & Equity,11004,10735,8961,7242,6907,6687,6214,4701,4222,2213
41,Total Debt,2738,2725,1781,1289,1292,1232,998.59,2.48,1.96,2033
42,Net Cash (Debt),-2003,-1969,-280.7,-404.4,-286.98,-127.19,720.57,2580,2235,-1639
43,Net Cash Growth,-,-,-,-,-,-,-67.76%,-,-,-
44,Net Cash Per Share,-3.17,-3.12,-0.45,-0.66,-0.47,-0.21,1.17,4.20,7.85,-5.84
45,Filing Date Shares Outstanding,631.52,631.52,631.52,616.72,616.72,618,618,618,600,600
46,Total Common Shares Outstanding,631.52,631.52,631.52,616.72,616.72,618,618,618,600,480
47,Working Capital,140.05,31.44,964.48,723.44,861.78,866.17,1577,2641,2303,-1046
48,Book Value Per Share,10.49,9.87,9.30,8.00,7.56,7.21,7.11,6.91,6.36,-0.42
49,Tangible Book Value,2683,2287,3306,2550,2285,2075,2516,3885,3430,-588.31
50,Tangible Book Value Per Share,4.25,3.62,5.24,4.13,3.71,3.36,4.07,6.29,5.72,-1.23
51,Buildings,2590,2327,1607,1363,966.69,957.82,879.85,636.18,628.37,622.3
52,Machinery,1484,1349,1086,956.53,888.62,736.29,669.04,553.08,505.3,482.81
