,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,2382,2317,1759,1669,1526,1384,931.7,769.5,632.26,570.98
1,Revenue Growth (YoY),35.37%,38.80%,15.28%,20.65%,63.81%,79.81%,47.36%,34.77%,22.80%,-
2,Cost of Revenue,1640,1615,1195,1145,1033,949.37,621.32,513.84,415.97,396.01
3,Gross Profit,742.18,702.32,564.56,523.98,493.09,434.28,310.38,255.67,216.29,174.96
4,"Selling, General & Admin",253.04,220.34,189.96,149.24,143.71,144.33,81.09,67.93,84.51,81.65
5,Other Operating Expenses,-19.25,14.15,-27.88,-0.82,-10.84,2.19,-8.56,6.44,-5.04,-10.27
6,Operating Expenses,233.79,234.49,162.08,148.42,132.88,146.52,72.53,74.37,79.46,71.38
7,Operating Income,508.39,467.83,402.48,375.56,360.21,287.76,237.85,181.3,136.83,103.58
8,Interest Expense,-37.63,-26.17,-17,-19.31,-15.57,-18.2,-4.89,-0.07,-48.1,-49.43
9,Interest & Investment Income,0.8,0.44,9.71,9.16,8.16,1.05,1.1,0.3,0.2,0.5
10,Currency Exchange Gain (Loss),-0.02,-12.33,12.26,48.13,-47.69,12.74,-2.92,-1.12,-0.21,0.34
11,EBT Excluding Unusual Items,471.54,429.78,407.44,413.54,305.1,283.35,231.14,180.41,88.72,55
12,Merger & Restructuring Charges,-,-3.03,-,-,-,-,-,-,-,-
13,Gain (Loss) on Sale of Investments,6.57,8.98,6.58,0.69,1.7,16.65,29.63,39.72,3.39,3.37
14,Gain (Loss) on Sale of Assets,-1.28,-3.16,-1.67,-0.87,0.42,-0.96,-2.41,-0.69,-1.09,-0.67
15,Asset Writedown,-,-,-,-,-,-,-,-,-,-11.36
16,Other Unusual Items,-,11.17,-,-77.27,-,15.45,-,-,-57.85,-
17,Pretax Income,476.83,443.73,412.36,336.09,307.22,314.48,258.36,219.45,33.17,46.33
18,Income Tax Expense,91.66,93.68,77.46,82.38,79.05,66.43,53.21,44.74,30.81,19.27
19,Earnings From Continuing Operations,385.17,350.05,334.9,253.71,228.16,248.05,205.15,174.71,2.36,27.07
20,Minority Interest in Earnings,-0.6,-1.26,-0.76,-1.14,-3.96,-4.2,-7.55,-6.98,-,-
21,Net Income,384.57,348.79,334.14,252.58,224.21,243.85,197.6,167.73,2.36,27.07
22,Net Income to Common,384.57,348.79,334.14,252.58,224.21,243.85,197.6,167.73,2.36,27.07
23,Net Income Growth,15.09%,38.09%,49.03%,3.58%,13.46%,45.39%,8287.27%,519.66%,-81.45%,-
24,Shares Outstanding (Basic),632,632,631,617,617,618,618,613,281,277
25,Shares Outstanding (Diluted),632,632,631,617,617,618,618,614,285,281
26,Shares Change (YoY),0.13%,2.40%,2.23%,-0.21%,-0.17%,0.63%,116.99%,118.61%,1.63%,-
27,EPS (Basic),0.61,0.55,0.53,0.41,0.36,0.39,0.32,0.27,0.01,0.10
28,EPS (Diluted),0.61,0.55,0.53,0.41,0.36,0.39,0.32,0.27,0.01,0.09
29,EPS Growth,14.94%,34.29%,47.16%,5.01%,12.59%,42.45%,5256.79%,189.33%,-86.21%,-
30,Free Cash Flow,20.03,52.99,-195.82,60.1,32.16,-149.35,-87.49,3.76,-29.53,37.88
31,Free Cash Flow Per Share,0.03,0.08,-0.31,0.10,0.05,-0.24,-0.14,0.01,-0.10,0.13
32,Operating Margin,21.34%,20.19%,22.87%,22.50%,23.60%,20.80%,25.53%,23.56%,21.64%,18.14%
33,Profit Margin,16.15%,15.05%,18.99%,15.13%,14.69%,17.62%,21.21%,21.80%,0.37%,4.74%
34,Free Cash Flow Margin,0.84%,2.29%,-11.13%,3.60%,2.11%,-10.79%,-9.39%,0.49%,-4.67%,6.63%
35,EBITDA,631.95,572.21,478.66,444.88,423.54,345.75,277.92,215.8,169.56,137.77
36,D&A For EBITDA,123.56,104.38,76.18,69.32,63.34,58,40.07,34.49,32.73,34.19
37,EBIT,508.39,467.83,402.48,375.56,360.21,287.76,237.85,181.3,136.83,103.58
