,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,8869,17777,22293,26777,34537,32162,30158,63036,30158,16020,-
1,Market Cap Growth,-33.61%,-33.61%,-35.45%,-16.74%,14.52%,-48.98%,0%,293.48%,-,-,-
2,Enterprise Value,11046,19970,22618,27241,34902,32344,29394,60060,27780,17854,-
3,Last Close Price,14.34,28.15,35.30,42.40,55.78,51.95,48.61,101.61,48.54,26.56,-
4,PE Ratio,11.51,22.56,29.63,42.24,64.07,58.66,55.65,143.47,149.31,496.25,-
5,Forward PE,9.65,16.62,21.70,29.60,42.14,43.52,45.20,113.32,67.42,-,-
6,PS Ratio,1.79,3.52,4.96,7.23,9.56,9.44,10.61,30.81,18.12,12.14,-
7,PB Ratio,1.27,2.49,3.24,4.20,6.18,5.85,5.49,11.71,5.85,3.76,-
8,P/TBV Ratio,6.17,6.17,8.85,7.50,11.98,12.01,11.84,20.83,6.54,4.26,-
9,P/FCF Ratio,113.04,226.58,-141.67,-,331.14,-234.29,-,-,-985.51,-,-
10,P/OCF Ratio,21.12,21.12,25.85,33.29,44.57,49.52,57.64,157.71,85.76,59.32,-
11,PEG Ratio,0.74,0.77,0.67,0.87,1.50,-,-,-,-,-,-
12,EV/Sales Ratio,2.19,3.96,5.04,7.35,9.66,9.49,10.34,29.35,16.69,13.52,-
13,EV/EBITDA Ratio,8.39,15.43,19.54,27.30,35.55,35.89,38.40,101.15,60.70,52.95,-
14,EV/EBIT Ratio,10.53,19.04,23.59,32.40,41.96,42.61,45.56,119.14,73.53,67.69,-
15,EV/FCF Ratio,140.78,254.53,-143.73,-,334.64,-235.62,-,-,-907.77,-,-
16,Debt / Equity Ratio,0.41,0.41,0.44,0.30,0.26,0.28,0.28,0.22,0.00,0.00,-10.03
17,Debt / FCF Ratio,37.50,37.50,-19.07,-,13.97,-11.02,-,-,-0.10,-,27.33
18,Return on Capital Employed (ROCE),10.70%,10.70%,9.90%,10.36%,11.84%,10.78%,9.01%,7.51%,7.20%,6.08%,35.80%
19,Earnings Yield,8.88%,4.43%,3.37%,2.37%,1.56%,1.70%,1.80%,0.70%,0.67%,0.20%,-
20,FCF Yield,0.88%,0.44%,-0.71%,-0.55%,0.30%,-0.43%,-0.96%,-0.16%,-0.10%,0.06%,-
21,Buyback Yield / Dilution,-1.25%,-0.13%,-2.40%,-2.23%,0.21%,0.17%,-0.63%,-116.99%,-118.61%,-1.63%,-
22,Total Shareholder Return,-1.25%,-0.13%,-2.40%,-2.23%,0.21%,0.17%,-0.63%,-116.99%,-118.61%,-1.63%,-
