,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Operating Revenue,5859282,6225966,4991026,5001987,4848977,5412765,4613824,3941910,4044050,6065221,4910164,7104075,7873351,3825124,4217541,5006797,4017177,3624274,2583471,2310715,Upgrade
1,Other Revenue,-,-,16991,-16991,-,-,-18018,18018,-,-,-,-95374,-,-,-,-,-,-,-,-,Upgrade
2,Revenue,5859282,6225966,5008017,4984996,4848977,5412765,4595807,3959927,4044050,6065221,4910164,7008700,7873351,3825124,4217541,5006797,4017177,3624274,2583471,2310715,Upgrade
3,Revenue Growth (YoY),20.84%,15.02%,8.97%,25.89%,19.90%,-10.76%,-6.40%,-43.50%,-48.64%,58.56%,16.42%,39.98%,95.99%,5.54%,63.25%,116.68%,61.00%,38.62%,28.75%,68.44%,Upgrade
4,Cost of Revenue,5251691,5623903,4550316,4596867,4328031,5027925,4202830,3699194,3573590,5659265,4589936,6542248,7263478,3551153,3912419,4687769,3762650,3392969,2409785,2167451,Upgrade
5,Gross Profit,607591,602063,457701,388129,520945,384840,392976,260734,470459,405956,320228,466453,609873,273971,305122,319029,254527,231305,173686,143264,Upgrade
6,"Selling, General & Admin",421485,494328,344192,268962,434778,261870,281478,163930,264094,187537,149917,256678,253173,177836,188907,202071,159473,142450,130375,92278,Upgrade
7,Operating Expenses,421485,494328,344192,268962,434778,261870,281478,163930,264094,187537,149917,256678,253173,177836,188907,202071,159473,142450,130375,92278,Upgrade
8,Operating Income,186106,107735,113509,119167,86167,122970,111499,96803,206365,218419,170311,209775,356700,96135,116215,116957,95054,88855,43311,50986,Upgrade
9,Interest Expense,-30025,-26201,-119900,-17945,-22802,-38443,-57080,-24134,-36864,-21773,-22002,-13822,-12006,-8434,-6252,-5195,-2354,-6392,-28526,-10485,Upgrade
10,Interest & Investment Income,-,73965,-,24004,23141,46744,-,37004,19274,38242,29651,13617,20174,48473,12217,340.13,4778,20807,-,16.66,Upgrade
11,Earnings From Equity Investments,-1501,-220.39,3226,-209.08,-3410,-169.49,2704,-2188,-705.57,878.98,-339.47,-1660,1781,-1571,-1609,-978.73,1060,1278,682.76,1155,Upgrade
12,Currency Exchange Gain (Loss),-50269,-,50269,-,26632,-,28276,-,-6429,-,-,25750,15779,-,13247,8269,10991,-,18754,3961,Upgrade
13,Other Non Operating Income (Expenses),84637,-7219,65824,-6002,8587,2688,37558,-887.32,15899,-8913,-4813,31507,21463,-424.93,12907,15653,4135,-3550,28882,8126,Upgrade
14,EBT Excluding Unusual Items,188948,148060,112928,119015,118314,133790,122957,106597,197540,226854,172808,265166,403891,134178,146726,135046,113663,100998,63104,53760,Upgrade
15,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-11089,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2232,-,-,-,Upgrade
17,Pretax Income,188948,148060,112928,119015,118314,133790,111868,106597,197540,226854,172808,265166,403891,134178,146726,135046,115895,100998,63104,53760,Upgrade
18,Income Tax Expense,42463,27018,25088,25834,28069,30488,24732,24689,41989,46560,35887,54329,79713,26922,30153,28153,16655,25811,14978,8977,Upgrade
19,Earnings From Continuing Operations,146484,121042,87840,93181,90245,103301,87136,81908,155551,180293,136921,210837,324178,107256,116572,106893,99240,75187,48126,44784,Upgrade
20,Minority Interest in Earnings,-6128,707.47,1462,-711.77,-673.5,-886.07,-4120,-2519,203.7,12.51,-36.3,1.03,-180.14,-40.64,-125.09,-179.99,-278.62,-113.79,52.59,174.43,Upgrade
21,Net Income,140356,121750,89302,92469,89572,102415,83016,79389,155754,180306,136885,210838,323997,107215,116447,106713,98961,75074,48179,44958,Upgrade
22,Net Income to Common,140356,121750,89302,92469,89572,102415,83016,79389,155754,180306,136885,210838,323997,107215,116447,106713,98961,75074,48179,44958,Upgrade
23,Net Income Growth,56.70%,18.88%,7.57%,16.48%,-42.49%,-43.20%,-39.35%,-62.35%,-51.93%,68.17%,17.55%,97.58%,227.40%,42.81%,141.70%,137.36%,91.41%,44.42%,34.78%,79.63%,Upgrade
24,Shares Outstanding (Basic),83,217,217,217,217,212,212,212,211,210,209,205,139,204,209,200,201,201,207,196,Upgrade
25,Shares Outstanding (Diluted),83,217,217,217,217,212,212,212,211,210,209,205,139,204,209,200,201,201,207,196,Upgrade
26,Shares Change (YoY),-61.95%,2.37%,2.48%,2.39%,3.10%,0.85%,1.30%,3.56%,51.72%,3.17%,0.18%,2.43%,-30.99%,1.26%,1.11%,2.02%,2.89%,2.90%,5.62%,-,Upgrade
27,EPS (Basic),1698.16,561.00,410.92,426.15,412.32,483.08,391.45,374.62,739.23,857.69,653.85,1030.28,2332.98,526.15,557.24,534.15,491.74,373.08,233.11,229.59,Upgrade
28,EPS (Diluted),1698.16,561.00,410.92,426.15,412.20,483.08,391.45,374.62,739.15,857.69,653.85,1030.28,2332.98,526.15,556.87,534.15,491.59,373.08,233.11,229.59,Upgrade
29,EPS Growth,311.98%,16.13%,4.97%,13.76%,-44.23%,-43.68%,-40.13%,-63.64%,-68.32%,63.01%,17.41%,92.88%,374.58%,41.03%,138.89%,132.65%,85.99%,40.35%,27.60%,79.63%,Upgrade
30,Free Cash Flow,420944,352070,-252799,-677244,-161916,674857,452769,-538093,324594,35727,350105,-1828738,853286,-873155,155653,1059,514604,78798,151239,69139,Upgrade
31,Free Cash Flow Per Share,5092.98,1622.27,-1163.23,-3121.16,-745.34,3183.20,2134.98,-2539.11,1540.57,169.95,1672.32,-8936.29,6144.18,-4284.97,744.86,5.30,2557.08,391.58,731.77,353.07,Upgrade
32,Dividend Per Share,-,-,-,-,384.615,-,-,-,769.231,-,-,-,427.350,-,-,-,213.675,-,-,-,Upgrade
33,Dividend Growth,-,-,-,-,-50.00%,-,-,-,80.00%,-,-,-,100.00%,-,-,-,0%,-,-,-,Upgrade
34,Gross Margin,10.37%,9.67%,9.14%,7.79%,10.74%,7.11%,8.55%,6.58%,11.63%,6.69%,6.52%,6.66%,7.75%,7.16%,7.23%,6.37%,6.34%,6.38%,6.72%,6.20%,Upgrade
35,Operating Margin,3.18%,1.73%,2.27%,2.39%,1.78%,2.27%,2.43%,2.44%,5.10%,3.60%,3.47%,2.99%,4.53%,2.51%,2.76%,2.34%,2.37%,2.45%,1.68%,2.21%,Upgrade
36,Profit Margin,2.40%,1.96%,1.78%,1.85%,1.85%,1.89%,1.81%,2.00%,3.85%,2.97%,2.79%,3.01%,4.12%,2.80%,2.76%,2.13%,2.46%,2.07%,1.86%,1.95%,Upgrade
37,Free Cash Flow Margin,7.18%,5.65%,-5.05%,-13.59%,-3.34%,12.47%,9.85%,-13.59%,8.03%,0.59%,7.13%,-26.09%,10.84%,-22.83%,3.69%,0.02%,12.81%,2.17%,5.85%,2.99%,Upgrade
38,EBITDA,204450,121610,124944,130932,98086,133455,121084,106234,209090,220639,172139,211686,358380,97678,117892,118347,96767,90592,44957,52177,Upgrade
39,EBITDA Margin,3.49%,1.95%,2.49%,2.63%,2.02%,2.47%,2.63%,2.68%,5.17%,3.64%,3.51%,3.02%,4.55%,2.55%,2.80%,2.36%,2.41%,2.50%,1.74%,2.26%,Upgrade
40,D&A For EBITDA,18344,13874,11434,11765,11919,10485,9586,9431,2724,2220,1828,1911,1680,1543,1677,1390,1713,1736,1646,1191,Upgrade
41,EBIT,186106,107735,113509,119167,86167,122970,111499,96803,206365,218419,170311,209775,356700,96135,116215,116957,95054,88855,43311,50986,Upgrade
42,EBIT Margin,3.18%,1.73%,2.27%,2.39%,1.78%,2.27%,2.43%,2.44%,5.10%,3.60%,3.47%,2.99%,4.53%,2.51%,2.76%,2.34%,2.37%,2.45%,1.68%,2.21%,Upgrade
43,Effective Tax Rate,22.47%,18.25%,22.22%,21.71%,23.72%,22.79%,22.11%,23.16%,21.26%,20.52%,20.77%,20.49%,19.74%,20.06%,20.55%,20.85%,14.37%,25.56%,23.73%,16.70%,Upgrade
44,Revenue as Reported,5859282,6225966,5008017,4984996,4848977,5412765,4595807,3959927,4044050,6065221,4910164,7008700,7873351,3825124,4217541,5006797,4017177,3624274,2583471,2310715,Upgrade
