,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,8810582,8810582,10174380,10222455,11040919,8737917,9442562,6783940,4795066,6156099,10494450,10509664,12552879,10952829,10493146,5708726,5069733,3685124,2343515,1687069,739865,Upgrade
1,Market Cap Growth,0.83%,0.83%,7.75%,50.69%,130.26%,41.94%,-10.02%,-35.45%,-61.80%,-43.79%,0.01%,84.10%,147.60%,197.22%,347.75%,238.38%,585.22%,283.31%,125.61%,92.41%,-21.91%,Upgrade
2,Enterprise Value,9923563,10386370,12001413,11810695,11950014,9231818,10632764,8462358,5952060,7543734,11931856,11953710,12179512,11472702,10087302,5562421,4821934,3948301,2609413,2109874,1231916,Upgrade
3,Last Close Price,40200.00,40200.00,46850.00,46688.50,50426.63,39898.83,43443.29,31213.14,21534.07,28324.42,48320.34,47936.85,58681.31,51201.51,49052.62,26620.06,24216.86,17602.93,11194.39,7681.78,3550.07,Upgrade
4,PE Ratio,16.62,19.85,25.88,27.35,30.05,24.66,22.45,13.61,8.68,9.00,12.32,13.49,16.55,16.74,24.44,14.37,15.41,13.79,10.66,8.57,4.01,Upgrade
5,Forward PE,17.72,19.11,20.62,19.37,24.05,17.16,19.15,16.03,6.10,8.39,12.66,13.29,15.76,18.10,21.63,13.12,13.34,13.51,10.06,7.19,1.59,Upgrade
6,PS Ratio,0.33,0.40,0.48,0.50,0.56,0.46,0.52,0.36,0.25,0.28,0.41,0.44,0.55,0.52,0.61,0.34,0.33,0.29,0.21,0.17,0.08,Upgrade
7,PB Ratio,1.12,2.93,3.58,3.64,4.06,3.33,3.55,2.66,1.91,2.54,4.68,5.10,6.29,6.15,7.20,4.10,4.01,3.18,2.21,1.64,0.76,Upgrade
8,P/TBV Ratio,3.48,3.48,4.30,4.40,4.90,4.07,4.10,3.08,2.24,3.00,4.83,5.27,6.51,6.38,7.54,4.30,4.23,3.37,2.36,1.75,0.82,Upgrade
9,P/FCF Ratio,-,-56.11,-13.75,-,-,-,10.33,24.67,-,-5.50,-17.80,-7.01,-,80.04,-,7.61,6.80,4.53,6.97,2.66,2.33,Upgrade
