,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,350.86,341.51,360.56,362.32,345.88,322.7,342.67,334.78,366.53,300.07,309.69
1,Other Revenue,-1.07,1.07,-,2.22,-1.45,1.45,-,2.26,-0.94,0.94,-
2,Revenue,349.79,342.57,360.56,364.53,344.43,324.15,342.67,337.04,365.6,301,309.69
3,Revenue Growth (YoY),1.56%,5.68%,5.22%,8.16%,-5.79%,7.69%,10.65%,-,-,-,-
4,Cost of Revenue,155.79,192.58,185.94,207.43,177.46,185.67,201.28,213.88,211.58,176.65,183.7
5,Gross Profit,194,149.99,174.62,157.1,166.96,138.48,141.4,123.16,154.02,124.35,125.99
6,"Selling, General & Admin",132.55,112.66,128.17,143.9,104.5,111.72,93.07,97.73,94.73,92.12,85.02
7,Research & Development,13.28,12.04,13.05,9.47,13.41,9.25,10.59,13.93,8.89,8.26,9.06
8,Other Operating Expenses,2.61,8.2,-4,12.16,2.57,4.26,-0.37,23.39,-12,-1.15,-1.44
9,Operating Expenses,148.32,132.41,137.62,165.56,119.9,125.46,103.24,134.63,92.1,99.88,92.61
10,Operating Income,45.68,17.59,37.01,-8.46,47.06,13.02,38.16,-11.47,61.92,24.48,33.38
11,Interest Expense,-0.3,-0.3,-0.3,-0.36,-0.36,-0.36,-0.35,-0.71,-0.37,-0.47,-0.31
12,Interest & Investment Income,11.94,8.23,7.42,5.34,4.35,7.63,2.69,4.62,1.47,5.02,3.66
13,Other Non Operating Income (Expenses),10.05,3.61,-0.03,-1.1,2.4,12.89,0.24,-0.87,0.16,0.26,0.23
14,EBT Excluding Unusual Items,67.36,29.13,44.1,-4.57,53.46,33.19,40.73,-8.44,63.19,29.29,36.95
15,Gain (Loss) on Sale of Investments,-3.43,1.27,2.89,5.11,4.71,0.4,0.88,-1.47,0.52,1.05,-
16,Gain (Loss) on Sale of Assets,-,-,-,0.01,-,-,-0.01,0.08,-,0.53,-
17,Asset Writedown,-4.21,3.66,-3.66,7.41,-7.6,3.97,-3.97,7.97,-7.97,3.78,-3.78
18,Other Unusual Items,-6.35,6.47,0.03,27.11,-,-,-,24.05,-,-,-
19,Pretax Income,53.37,40.53,43.37,35.06,50.57,37.56,37.63,22.2,55.73,34.65,33.17
20,Income Tax Expense,7.85,5.43,6.05,1.43,8.87,3.87,5.35,-6.59,8.04,4.95,4.74
21,Net Income,45.52,35.1,37.32,33.63,41.7,33.69,32.28,28.79,47.69,29.7,28.43
22,Net Income to Common,45.52,35.1,37.32,33.63,41.7,33.69,32.28,28.79,47.69,29.7,28.43
23,Net Income Growth,9.17%,4.19%,15.60%,16.82%,-12.57%,13.43%,13.54%,-,-,-,-
24,Shares Outstanding (Basic),172,175,170,169,174,171,129,130,129,129,129
25,Shares Outstanding (Diluted),172,175,170,169,174,171,129,130,129,129,129
26,Shares Change (YoY),-1.12%,2.63%,31.36%,29.50%,34.42%,32.34%,-0.08%,-,-,-,-
27,EPS (Basic),0.27,0.20,0.22,0.20,0.24,0.20,0.25,0.22,0.37,0.23,0.22
28,EPS (Diluted),0.27,0.20,0.22,0.20,0.24,0.20,0.25,0.22,0.37,0.23,0.22
29,EPS Growth,10.40%,1.52%,-12.00%,-9.79%,-34.96%,-14.29%,13.64%,-,-,-,-
30,Free Cash Flow,86.41,-0.47,38.69,30.65,55.55,19.43,1.03,28.32,3.56,43.65,-47.55
31,Free Cash Flow Per Share,0.50,-0.00,0.23,0.18,0.32,0.11,0.01,0.22,0.03,0.34,-0.37
32,Dividend Per Share,-,-,-,0.650,-,-,-,0.600,-,-,-
33,Dividend Growth,-,-,-,8.33%,-,-,-,-,-,-,-
34,Gross Margin,55.46%,43.78%,48.43%,43.10%,48.48%,42.72%,41.26%,36.54%,42.13%,41.31%,40.68%
35,Operating Margin,13.06%,5.13%,10.26%,-2.32%,13.66%,4.02%,11.14%,-3.40%,16.94%,8.13%,10.78%
36,Profit Margin,13.01%,10.25%,10.35%,9.23%,12.11%,10.39%,9.42%,8.54%,13.05%,9.87%,9.18%
37,Free Cash Flow Margin,24.70%,-0.14%,10.73%,8.41%,16.13%,5.99%,0.30%,8.40%,0.97%,14.50%,-15.35%
38,EBITDA,48.6,21.9,39.93,-5.53,49.62,15.53,40.72,-8.92,64.63,27.05,36.09
39,EBITDA Margin,13.89%,6.39%,11.07%,-1.52%,14.41%,4.79%,11.88%,-2.65%,17.68%,8.99%,11.65%
40,D&A For EBITDA,2.92,4.31,2.92,2.92,2.56,2.51,2.56,2.56,2.71,2.57,2.71
41,EBIT,45.68,17.59,37.01,-8.46,47.06,13.02,38.16,-11.47,61.92,24.48,33.38
42,EBIT Margin,13.06%,5.13%,10.26%,-2.32%,13.66%,4.02%,11.14%,-3.40%,16.94%,8.13%,10.78%
43,Effective Tax Rate,14.70%,13.40%,13.96%,4.09%,17.54%,10.31%,14.21%,-,14.42%,14.29%,14.30%
44,Revenue as Reported,349.79,342.57,360.56,364.53,344.43,324.15,342.67,337.04,365.6,301,309.69
