,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,6870,4647,4356,3767,4874,5556,5646,-,-,-,-,-
1,Market Cap Growth,-16.36%,-16.36%,-22.84%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5507,3294,2983,2553,3660,4422,4367,-,-,-,-,-
3,Last Close Price,39.90,26.99,24.67,21.33,27.60,31.46,31.97,-,-,-,-,-
4,PE Ratio,45.10,30.66,29.48,25.74,34.50,40.72,39.63,-,-,-,-,-
5,Forward PE,42.54,28.96,27.20,21.66,28.50,32.55,35.26,-,-,-,-,-
6,PS Ratio,4.82,3.28,3.08,2.70,3.54,4.12,4.12,-,-,-,-,-
7,PB Ratio,4.87,3.29,3.19,2.61,3.47,4.05,4.24,-,-,-,-,-
8,P/TBV Ratio,3.33,3.33,3.23,2.64,3.51,4.09,4.29,-,-,-,-,-
9,P/FCF Ratio,44.24,29.93,-,26.10,45.70,53.25,107.85,-,-,-,-,-
10,P/OCF Ratio,21.54,21.54,25.35,19.29,32.33,37.63,58.34,-,-,-,-,-
11,EV/Sales Ratio,3.89,2.32,2.11,1.83,2.66,3.28,3.19,-,-,-,-,-
12,EV/EBITDA Ratio,46.07,31.40,28.16,25.64,-,45.61,39.00,-,-,-,-,-
13,EV/EBIT Ratio,51.59,35.88,32.00,28.80,-,50.97,42.97,-,-,-,-,-
14,EV/FCF Ratio,35.47,21.22,-,17.69,34.31,42.38,83.42,-,-,-,-,-
15,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,0.00
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,0.00
17,Asset Turnover,0.72,0.70,0.76,0.79,0.76,0.71,0.94,-,-,-,-,
18,Inventory Turnover,3.50,2.58,3.40,3.68,4.50,3.83,3.66,3.91,-,-,-,-
19,Quick Ratio,2.91,2.91,2.69,3.22,3.48,3.28,3.25,3.33,1.12,-,-,-
20,Current Ratio,3.44,3.44,3.19,3.76,4.01,3.80,3.84,3.95,1.71,-,-,-
21,Return on Equity (ROE),13.11%,10.00%,10.48%,9.69%,12.34%,9.87%,13.29%,-,-,-,-,
22,Return on Assets (ROA),5.86%,2.26%,4.84%,-1.14%,6.51%,1.78%,6.58%,-,-,-,-,
23,Return on Capital (ROIC),8.22%,3.13%,6.50%,-1.52%,8.70%,2.38%,9.82%,-,-,-,-,
24,Return on Capital Employed (ROCE),7.27%,6.25%,6.53%,5.88%,-,5.99%,7.20%,7.62%,-,-,-,-
25,Earnings Yield,2.21%,3.26%,3.39%,3.88%,2.90%,2.46%,2.52%,-,-,-,-,-
26,FCF Yield,2.26%,3.34%,2.86%,3.83%,2.19%,1.88%,0.93%,-,-,-,-,-
27,Dividend Yield,1.63%,-,-,-,2.35%,-,-,-,-,-,-,-
28,Payout Ratio,73.84%,184.39%,79.71%,-,-,-,306.65%,-,-,-,339.12%,-
29,Buyback Yield / Dilution,-13.50%,1.12%,-2.63%,-31.36%,-29.50%,-34.42%,-32.34%,0.08%,-,-,-,-
30,Total Shareholder Return,-11.87%,1.12%,-2.63%,-31.36%,-27.15%,-34.42%,-32.34%,0.08%,-,-,-,-
