,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,386.41,454.38,466.43,533.6,625.09,898.54,1062,268.04,-,-,-
1,Trading Asset Securities,975.83,898.26,906.99,794.1,589.09,235.23,216.28,113.1,-,-,-
2,Cash & Short-Term Investments,1362,1353,1373,1328,1214,1134,1279,381.15,-,-,383.59
3,Cash Growth,12.19%,19.30%,7.42%,248.34%,-,-,233.32%,-,-,-,-
4,Accounts Receivable,40.95,45.28,53.18,45.48,44.34,54.52,47.8,51.08,-,-,-
5,Other Receivables,3.03,2.12,2.45,1.76,3.67,3.75,3.7,1.64,-,-,-
6,Receivables,43.98,47.4,55.63,47.24,48.02,58.27,51.5,52.72,-,-,-
7,Inventory,243.83,238.32,214.68,189.18,179.56,190.96,214.52,197.08,-,-,-
8,Other Current Assets,12.03,19.73,23.35,19.53,20.87,27.14,31.72,31.53,-,-,-
9,Total Current Assets,1662,1658,1667,1584,1463,1410,1576,662.48,-,-,-
10,"Property, Plant & Equipment",201.65,206.62,198.8,198.37,185.55,181.24,171.89,167.7,-,-,-
11,Long-Term Investments,52.21,51.79,51.38,50.96,146.12,145.66,93.98,146.62,-,-,-
12,Other Intangible Assets,15.48,15.8,15.95,16.18,15.44,15.73,16.02,15.63,-,-,-
13,Long-Term Deferred Tax Assets,19.13,13.98,16.61,14.06,24.67,25.09,24.84,25.02,-,-,-
14,Other Long-Term Assets,0.36,0.38,0.4,5.63,0.44,0.46,0.48,0.5,-,-,-
15,Total Assets,1951,1947,1950,1869,1835,1778,1884,1018,-,-,-
16,Accounts Payable,130.28,145.6,151.44,150.34,143.03,167.01,203.57,180.77,-,-,-
17,Accrued Expenses,39.95,134.56,25.07,157.65,29.26,120.82,23.98,135.6,-,-,-
18,Current Income Taxes Payable,19.63,4.3,6.14,1.28,21.96,0.13,8.62,0.33,-,-,-
19,Current Unearned Revenue,141.68,114.14,98.54,56.49,71.96,53.82,56.85,47.68,-,-,-
20,Other Current Liabilities,151.49,121.83,162.27,29.56,119.05,25.22,106.22,23.02,-,-,-
21,Total Current Liabilities,483.04,520.42,443.45,395.32,385.25,367.01,399.23,387.41,-,-,-
22,Long-Term Unearned Revenue,9.39,11.89,14.3,16.71,19.11,21.49,23.64,25.98,-,-,-
23,Long-Term Deferred Tax Liabilities,-,-,-,-,7.04,6.41,6.1,6.23,-,-,-
24,Other Long-Term Liabilities,-,-,-,-,-,30.41,-,-,-,-,-
25,Total Liabilities,539.63,580.9,507.63,463.58,462.41,447.57,483.17,475.66,-,-,-
26,Common Stock,172.17,172.17,172.17,172.17,172.17,172.17,172.17,129.13,-,-,-
27,Additional Paid-In Capital,996.98,996.98,996.98,996.98,996.98,996.98,996.98,214.21,-,-,-
28,Retained Earnings,244.69,199.17,275.98,238.67,205.04,163.34,232.96,200.67,-,-,-
29,Comprehensive Income & Other,-2.55,-2.55,-2.55,-2.55,-1.73,-1.73,-1.73,-1.73,-,-,-
30,Shareholders' Equity,1411,1366,1443,1405,1372,1331,1400,542.28,-,-,508.71
31,Total Liabilities & Equity,1951,1947,1950,1869,1835,1778,1884,1018,-,-,-
32,Total Debt,-,-,-,-,-,-,-,-,-,-,0.05
33,Net Cash (Debt),1362,1353,1373,1328,1214,1134,1279,381.15,-,-,383.54
34,Net Cash Growth,12.19%,19.30%,7.42%,248.34%,-,-,233.36%,-,-,-,-
35,Net Cash Per Share,7.93,7.72,8.10,7.87,6.99,6.64,9.90,2.92,-,-,2.97
36,Filing Date Shares Outstanding,172.17,172.17,172.17,172.17,172.17,172.17,172.17,129.13,129.15,129.02,129.23
37,Total Common Shares Outstanding,172.17,172.17,172.17,172.17,172.17,172.17,172.17,129.13,129.15,129.02,129.23
38,Working Capital,1179,1138,1224,1188,1077,1043,1177,275.07,-,-,-
39,Book Value Per Share,8.20,7.93,8.38,8.16,7.97,7.73,8.13,4.20,-,-,3.94
40,Tangible Book Value,1396,1350,1427,1389,1357,1315,1384,526.65,-,-,492
41,Tangible Book Value Per Share,8.11,7.84,8.29,8.07,7.88,7.64,8.04,4.08,-,-,3.81
42,Buildings,-,158.5,-,156.63,-,114.28,-,114.28,-,-,-
43,Machinery,-,197.59,-,194.17,-,166.01,-,132.54,-,-,-
44,Construction In Progress,-,27.34,-,16.43,-,69.57,-,85.05,-,-,-
